visible_surface	astro_groups	relational_roots	atom_sequence	spoken_value_de	registered_frame_de	apprentice_rule_de
aldy	1	AL	AL	Zielsektor, Zielstern oder Zielfeld	äußere Restzeichen = Schreiber-/Tafelrahmen	erkenne den längsten AR/AL/OR/OL-Kern und lies bekannte Nachbarn in Reihenfolge
alys	1	AL	AL	Zielsektor, Zielstern oder Zielfeld	äußere Restzeichen = Schreiber-/Tafelrahmen	erkenne den längsten AR/AL/OR/OL-Kern und lies bekannte Nachbarn in Reihenfolge
cheokorchey	1	OR	CHEO+OR	Auszug/Ausgabe + Ansatz/Satz	äußere Restzeichen = Schreiber-/Tafelrahmen	erkenne den längsten AR/AL/OR/OL-Kern und lies bekannte Nachbarn in Reihenfolge
chkchdar	1	AR	KCH+AR	Bearbeiten + Quelle	äußere Restzeichen = Schreiber-/Tafelrahmen	erkenne den längsten AR/AL/OR/OL-Kern und lies bekannte Nachbarn in Reihenfolge
chkchykoly	1	OL	KCH+OL	Bearbeiten + Fortsetzen	äußere Restzeichen = Schreiber-/Tafelrahmen	erkenne den längsten AR/AL/OR/OL-Kern und lies bekannte Nachbarn in Reihenfolge
chokal	1	AL	HO+AL	Eingangsposten + Ziel	äußere Restzeichen = Schreiber-/Tafelrahmen	erkenne den längsten AR/AL/OR/OL-Kern und lies bekannte Nachbarn in Reihenfolge
chpor	1	OR	OR	Bedingungs-, Tabellen- oder Wahlansatz	äußere Restzeichen = Schreiber-/Tafelrahmen	erkenne den längsten AR/AL/OR/OL-Kern und lies bekannte Nachbarn in Reihenfolge
chykar	1	AR	AR	Ausgangssektor, Ursprung oder Bezugswert	äußere Restzeichen = Schreiber-/Tafelrahmen	erkenne den längsten AR/AL/OR/OL-Kern und lies bekannte Nachbarn in Reihenfolge
cphol	1	OL	OL	im selben Ring, Band oder Satz fortsetzen	äußere Restzeichen = Schreiber-/Tafelrahmen	erkenne den längsten AR/AL/OR/OL-Kern und lies bekannte Nachbarn in Reihenfolge
daiial	1	AL	AL	Zielsektor, Zielstern oder Zielfeld	äußere Restzeichen = Schreiber-/Tafelrahmen	erkenne den längsten AR/AL/OR/OL-Kern und lies bekannte Nachbarn in Reihenfolge
dary	1	AR	AR	Ausgangssektor, Ursprung oder Bezugswert	äußere Restzeichen = Schreiber-/Tafelrahmen	erkenne den längsten AR/AL/OR/OL-Kern und lies bekannte Nachbarn in Reihenfolge
dolchedy	1	OL	OL+CHD	Fortsetzen + Umsetzen	äußere Restzeichen = Schreiber-/Tafelrahmen	erkenne den längsten AR/AL/OR/OL-Kern und lies bekannte Nachbarn in Reihenfolge
dolchsody	1	OL	OL	im selben Ring, Band oder Satz fortsetzen	äußere Restzeichen = Schreiber-/Tafelrahmen	erkenne den längsten AR/AL/OR/OL-Kern und lies bekannte Nachbarn in Reihenfolge
dosar	1	AR	AR	Ausgangssektor, Ursprung oder Bezugswert	äußere Restzeichen = Schreiber-/Tafelrahmen	erkenne den längsten AR/AL/OR/OL-Kern und lies bekannte Nachbarn in Reihenfolge
eckhear	1	AR	CKHE+AR	Seihen/Trennen + Quelle	äußere Restzeichen = Schreiber-/Tafelrahmen	erkenne den längsten AR/AL/OR/OL-Kern und lies bekannte Nachbarn in Reihenfolge
octhole	1	OL	CTH+OL	Bereitwert + Fortsetzen	äußere Restzeichen = Schreiber-/Tafelrahmen	erkenne den längsten AR/AL/OR/OL-Kern und lies bekannte Nachbarn in Reihenfolge
oear	1	AR	AR	Ausgangssektor, Ursprung oder Bezugswert	äußere Restzeichen = Schreiber-/Tafelrahmen	erkenne den längsten AR/AL/OR/OL-Kern und lies bekannte Nachbarn in Reihenfolge
oeoldan	1	OL	OL	im selben Ring, Band oder Satz fortsetzen + Bedingung oder Tabellenwert anwenden	äußere Restzeichen = Schreiber-/Tafelrahmen	erkenne den längsten AR/AL/OR/OL-Kern und lies bekannte Nachbarn in Reihenfolge
ofar	2	AR	AR	Ausgangssektor, Ursprung oder Bezugswert	äußere Restzeichen = Schreiber-/Tafelrahmen	erkenne den längsten AR/AL/OR/OL-Kern und lies bekannte Nachbarn in Reihenfolge
okchoal	1	AL	KCH+AL	Bearbeiten + Ziel	äußere Restzeichen = Schreiber-/Tafelrahmen	erkenne den längsten AR/AL/OR/OL-Kern und lies bekannte Nachbarn in Reihenfolge
okolar	1	AR+OL	OK+OL+AR	Aktivieren + Fortsetzen + Quelle	äußere Restzeichen = Schreiber-/Tafelrahmen	erkenne den längsten AR/AL/OR/OL-Kern und lies bekannte Nachbarn in Reihenfolge
olol	1	OL	OL+OL	im selben Ring, Band oder Satz fortsetzen + im selben Ring, Band oder Satz fortsetzen	äußere Restzeichen = Schreiber-/Tafelrahmen	erkenne den längsten AR/AL/OR/OL-Kern und lies bekannte Nachbarn in Reihenfolge
oly	1	OL	OL	im selben Ring, Band oder Satz fortsetzen	äußere Restzeichen = Schreiber-/Tafelrahmen	erkenne den längsten AR/AL/OR/OL-Kern und lies bekannte Nachbarn in Reihenfolge
oparchy	1	AR	AR	Ausgangssektor, Ursprung oder Bezugswert	äußere Restzeichen = Schreiber-/Tafelrahmen	erkenne den längsten AR/AL/OR/OL-Kern und lies bekannte Nachbarn in Reihenfolge
oraly	1	AL+OR	OR+AL	Ansatz/Satz + Ziel	äußere Restzeichen = Schreiber-/Tafelrahmen	erkenne den längsten AR/AL/OR/OL-Kern und lies bekannte Nachbarn in Reihenfolge
oran	1	OR	OR	Bedingungs-, Tabellen- oder Wahlansatz	äußere Restzeichen = Schreiber-/Tafelrahmen	erkenne den längsten AR/AL/OR/OL-Kern und lies bekannte Nachbarn in Reihenfolge
oteoarar	1	AR	OT+AR+AR	Folge + Quelle + Quelle	äußere Restzeichen = Schreiber-/Tafelrahmen	erkenne den längsten AR/AL/OR/OL-Kern und lies bekannte Nachbarn in Reihenfolge
otolor	1	OR+OL	OT+OL+OR	Folge + Fortsetzen + Ansatz/Satz	äußere Restzeichen = Schreiber-/Tafelrahmen	erkenne den längsten AR/AL/OR/OL-Kern und lies bekannte Nachbarn in Reihenfolge
qear	1	AR	AR	Ausgangssektor, Ursprung oder Bezugswert	äußere Restzeichen = Schreiber-/Tafelrahmen	erkenne den längsten AR/AL/OR/OL-Kern und lies bekannte Nachbarn in Reihenfolge
ror	1	OR	OR	Bedingungs-, Tabellen- oder Wahlansatz	äußere Restzeichen = Schreiber-/Tafelrahmen	erkenne den längsten AR/AL/OR/OL-Kern und lies bekannte Nachbarn in Reihenfolge
saldal	1	AL	AL+AL	Zielsektor, Zielstern oder Zielfeld + Zielsektor, Zielstern oder Zielfeld	äußere Restzeichen = Schreiber-/Tafelrahmen	erkenne den längsten AR/AL/OR/OL-Kern und lies bekannte Nachbarn in Reihenfolge
salsain	1	AL	AL+AIN	Ziel + Portion	äußere Restzeichen = Schreiber-/Tafelrahmen	erkenne den längsten AR/AL/OR/OL-Kern und lies bekannte Nachbarn in Reihenfolge
sarydy	1	AR	AR	Ausgangssektor, Ursprung oder Bezugswert	äußere Restzeichen = Schreiber-/Tafelrahmen	erkenne den längsten AR/AL/OR/OL-Kern und lies bekannte Nachbarn in Reihenfolge
sodar	1	AR	AR	Ausgangssektor, Ursprung oder Bezugswert	äußere Restzeichen = Schreiber-/Tafelrahmen	erkenne den längsten AR/AL/OR/OL-Kern und lies bekannte Nachbarn in Reihenfolge
soear	1	AR	AR	Ausgangssektor, Ursprung oder Bezugswert	äußere Restzeichen = Schreiber-/Tafelrahmen	erkenne den längsten AR/AL/OR/OL-Kern und lies bekannte Nachbarn in Reihenfolge
soraiir	1	OR	OR	Bedingungs-, Tabellen- oder Wahlansatz	äußere Restzeichen = Schreiber-/Tafelrahmen	erkenne den längsten AR/AL/OR/OL-Kern und lies bekannte Nachbarn in Reihenfolge
