feature	robust_z	raw_p	family_p	same_direction	phase_strata	folio_deletions	pass
WORD_COUNT	0.601453956723	0.48828125	1	1	0	0	0
LINE_CARRIER_ANY	1.12527462618	0.171875	0.93359375	1	1	1	0
LINE_CARRIER_T	0.830521714036	0.3203125	1	1	1	1	0
ROLE_RATE_BOUND_D	0.796320407545	0.21875	1	1	1	1	0
ROLE_RATE_BOUND_E	0.0253796990989	0.75	1	1	0	0	0
ROLE_RATE_Q	0.0542345346002	0.94140625	1	1	0	0	0
ROLE_RATE_REL_I	0.951641034126	0.28515625	0.98046875	1	1	1	0
ROLE_RATE_FREE_L	0.342386761655	0.65625	1	1	0	0	0
ROLE_RATE_FREE_R	1.03115412499	0.23046875	0.97265625	1	0	1	0
FIRST_HAS_BOUND_D	0.72846865969	0.390625	1	1	1	0	0
FIRST_HAS_BOUND_E	0.921781361399	0.28125	0.984375	1	1	1	0
FIRST_HAS_REL_I	0	1	1	0	0	0	0
FIRST_HAS_FREE_R	0.0556239187053	0.78125	1	1	0	0	0
EDGE_RATE_D_TO_Q	0.21396807686	0.6484375	1	1	0	0	0
EDGE_RATE_E_TO_Q	0.653586731131	0.375	1	1	0	0	0
