page	physical_folio	star_ordinal	ordinal_parity	color	first_color	locus	zl_marker	reading_coverage
f104v	f104	1	ODD	RED	RED	f104v.1	<%>	ZL3b|IT2a|RF1b
f104v	f104	2	EVEN	YELLOW	RED	f104v.6	<%>	ZL3b|IT2a|RF1b
f104v	f104	3	ODD	RED	RED	f104v.8	<%>	ZL3b|IT2a|RF1b
f104v	f104	4	EVEN	YELLOW	RED	f104v.12	<%>	ZL3b|IT2a|RF1b
f104v	f104	5	ODD	RED	RED	f104v.15	<%>	ZL3b|IT2a|RF1b
f104v	f104	6	EVEN	YELLOW	RED	f104v.19	<%>	ZL3b|IT2a|RF1b
f104v	f104	7	ODD	RED	RED	f104v.22	<%>	ZL3b|IT2a|RF1b
f104v	f104	8	EVEN	YELLOW	RED	f104v.27	<%>	ZL3b|IT2a|RF1b
f104v	f104	9	ODD	RED	RED	f104v.29	<%>	ZL3b|IT2a|RF1b
f104v	f104	10	EVEN	YELLOW	RED	f104v.32	<%>	ZL3b|IT2a|RF1b
f104v	f104	11	ODD	RED	RED	f104v.35	<%>	ZL3b|IT2a|RF1b
f104v	f104	12	EVEN	YELLOW	RED	f104v.37	<%>	ZL3b|IT2a|RF1b
f104v	f104	13	ODD	RED	RED	f104v.41	<%>	ZL3b|IT2a|RF1b
f105v	f105	1	ODD	RED	RED	f105v.1	<%>	ZL3b|IT2a|RF1b
f105v	f105	2	EVEN	YELLOW	RED	f105v.5	<%>	ZL3b|IT2a|RF1b
f105v	f105	3	ODD	RED	RED	f105v.8	<%>	ZL3b|IT2a|RF1b
f105v	f105	4	EVEN	YELLOW	RED	f105v.14	<%>	ZL3b|IT2a|RF1b
f105v	f105	5	ODD	RED	RED	f105v.18	<%>	ZL3b|IT2a|RF1b
f105v	f105	6	EVEN	YELLOW	RED	f105v.20	<%>	ZL3b|IT2a|RF1b
f105v	f105	7	ODD	RED	RED	f105v.23	<%>	ZL3b|IT2a|RF1b
f105v	f105	8	EVEN	YELLOW	RED	f105v.25	<%>	ZL3b|IT2a|RF1b
f105v	f105	9	ODD	RED	RED	f105v.29	<%>	ZL3b|IT2a|RF1b
f105v	f105	10	EVEN	YELLOW	RED	f105v.32	<%>	ZL3b|IT2a|RF1b
f107v	f107	1	ODD	RED	RED	f107v.1	<%>	ZL3b|IT2a|RF1b
f107v	f107	2	EVEN	YELLOW	RED	f107v.5	<%>	ZL3b|IT2a|RF1b
f107v	f107	3	ODD	RED	RED	f107v.8	<%>	ZL3b|IT2a|RF1b
f107v	f107	4	EVEN	YELLOW	RED	f107v.11	<%>	ZL3b|IT2a|RF1b
f107v	f107	5	ODD	RED	RED	f107v.16	<%>	ZL3b|IT2a|RF1b
f107v	f107	6	EVEN	YELLOW	RED	f107v.20	<%>	ZL3b|IT2a|RF1b
f107v	f107	7	ODD	RED	RED	f107v.23	<%>	ZL3b|IT2a|RF1b
f107v	f107	8	EVEN	YELLOW	RED	f107v.25	<%>	ZL3b|IT2a|RF1b
f107v	f107	9	ODD	RED	RED	f107v.29	<%>	ZL3b|IT2a|RF1b
f107v	f107	10	EVEN	YELLOW	RED	f107v.32	<%>	ZL3b|IT2a|RF1b
f107v	f107	11	ODD	RED	RED	f107v.35	<%>	ZL3b|IT2a|RF1b
f107v	f107	12	EVEN	YELLOW	RED	f107v.37	<%>	ZL3b|IT2a|RF1b
f107v	f107	13	ODD	RED	RED	f107v.41	<%>	ZL3b|IT2a|RF1b
f107v	f107	14	EVEN	YELLOW	RED	f107v.43	<%>	ZL3b|IT2a|RF1b
f107v	f107	15	ODD	RED	RED	f107v.45	<%>	ZL3b|IT2a|RF1b
f112v	f112	1	ODD	RED	RED	f112v.1	<%>	ZL3b|IT2a|RF1b
