example_id	physical_page	surface	component_recipe	predicted_context_reading_de
X01	f13r	qopchy	O+P+Y	Arbeitsgang ausführen; den aktuellen Pflanzenteil einsetzen.
X02	f13r	okchor	OK+CH+OR	Einen Teil entnehmen und als Ansatz setzen.
X03	f13r	cfholdy	CFH+OL+DY	Weiter auspressen und den Teilgang schließen.
X04	f75r	qokain	OK+AIN	Eine Teilmenge an der Station ansetzen.
X05	f75r	qokeedy	OK+EE+DY	Länger ansetzen/halten und die Stationszelle schließen.
X06	f75r	lchedy	L+CHD+DY	Zur nächsten Station leiten, umsetzen und schließen.
X07	f70v	otal	OT+AL	Zum nächsten Zielplatz gehen.
X08	f70v	otaiin	OT+AIIN	Den nächsten Tafelwert aufrufen.
X09	f70v	okair	OK+AIR	Den Ringlauf an dieser Stelle aktivieren.
X10	f88r	qokol	OK+OL	Den Gefäßansatz setzen und fortführen.
X11	f88r	cheol	CHEO+L	Den Auszug weiterleiten.
X12	f88r	saiin	S+AIIN	Den Sollwert für den Drogenposten auswählen.
