template_id	component_recipe	portable_composed_value_de	default_surface	allowed_observed_surfaces	observed_events	observed_pages	scribe_prediction_rule_de
T01	Y	DIES	dy	dy|chey|y|chy|shy|sy	116	f10r|f11r|f13r|f55v|f56r|f67r2|f69v|f70v|f75r|f81v|f82r|f83r|f88r	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
T02	AIIN	SOLLWERT	daiin	daiin|aiin	78	f10r|f11r|f13r|f55v|f56r|f67r2|f69v|f70v|f81v|f82r|f83r|f88r	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
T03	AIN	EINHEIT	dain	dain|ain	21	f10r|f11r|f55v|f67r2|f75r|f81v|f83r	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
T04	AL	ZIEL	dal	dal|al|cheal	37	f55v|f56r|f67r2|f69v|f70v|f75r|f81v|f82r|f83r|f88r	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
T05	AR	QUELLE	ar	ar|char	25	f10r|f55v|f67r2|f69v|f70v|f75r|f82r|f83r|f88r	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
T06	AIR	LAUF	air	air	5	f67r2|f69v|f70v	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
T07	OK+Y	SETZEN · DIES	qoky	qoky|oky|qokchy|choky|okchy|okchey	41	f10r|f13r|f55v|f56r|f67r2|f68r1|f69v|f70v|f75r|f81v|f82r|f83r|f88r	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
T08	OK+AIN	SETZEN · EINHEIT	qokain	qokain|okain|chokain	37	f55v|f67r2|f70v|f75r|f81v|f82r|f83r	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
T09	OK+AIIN	SETZEN · SOLLWERT	qokaiin	qokaiin|okaiin	26	f55v|f56r|f75r|f81v|f82r|f83r|f88r	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
T10	OK+AL	SETZEN · ZIEL	qokal	qokal|okal|chokal	26	f55v|f67r2|f68r1|f75r|f81v|f82r|f83r	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
T11	OK+AR	SETZEN · QUELLE	okar	okar|qokar	21	f55v|f56r|f67r2|f69v|f75r|f81v|f82r	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
T12	OK+AIR	SETZEN · LAUF	okair	okair|qokair	2	f75r|f83r	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
T13	OK+E+Y	SETZEN · KURZ · DIES	qokey	qokey|okey	15	f67r2|f69v|f70v|f75r|f81v|f82r|f83r	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
