frame_id	frozen_frame	realization_cell_count	observed_cell_count	composed_cell_count	observed_carrier_count	observed_clause_form_count	state_requirement	all_registers_covered	both_actions_covered
G493-F01	@ACTION	10	6	4	22	10	ACTIVE_ARGUMENT_REQUIRED	YES	YES
G493-F02	@ACTION+AIIN	10	5	5	13	5	SELF_CONTAINED_ARGUMENT	YES	YES
G493-F03	@ACTION+AIN	10	3	7	5	3	SELF_CONTAINED_ARGUMENT	YES	YES
G493-F04	@ACTION+AL	10	4	6	5	4	ACTIVE_ARGUMENT_REQUIRED	YES	YES
G493-F05	@ACTION+AL+Y	10	2	8	2	2	SELF_CONTAINED_ARGUMENT	YES	YES
G493-F06	@ACTION+CH+E+Y	10	2	8	2	2	SELF_CONTAINED_ARGUMENT	YES	YES
G493-F07	@ACTION+CHD+Y	10	3	7	7	3	SELF_CONTAINED_ARGUMENT	YES	YES
G493-F08	@ACTION+OL	10	5	5	11	8	ACTIVE_ARGUMENT_REQUIRED	YES	YES
G493-F09	@ACTION+OR+Y	10	2	8	2	2	SELF_CONTAINED_ARGUMENT	YES	YES
G493-F10	@ACTION+Y	10	3	7	5	3	SELF_CONTAINED_ARGUMENT	YES	YES
G493-F11	CH+@ACTION	10	2	8	2	2	ACTIVE_ARGUMENT_REQUIRED	YES	YES
