realization_cell_id	frame_id	frozen_frame	action_root	action_recipe	register	portable_component_trace_de	owner_local_slot_trace_de	state_requirement	composed_state_default	composed_working_phrase_de	evidence_status	display_phrase_de	display_phrase_provenance	observed_event_count	observed_clause_form_count	selected_observed_phrase_carrier_count	observed_pages	observed_event_ids	all_observed_clause_forms_de	observed_inherited_argument_roots	composed_phrase_observed_in_exact_cell	selected_phrase_equals_composed_phrase	display_phrase_is_observed_clause	display_phrase_is_composed_working	composed_working_label_visible	all_recipe_value_cells_observed	new_slot_value_required
G493-C001	G493-F01	@ACTION	T	T	SOURCE_SECTION_T	EINSTELLEN	T=FESTLEGEN	ACTIVE_ARGUMENT_REQUIRED	Y=POSTEN [wie zuvor]	Lege den laufenden Eintrag [wie zuvor] fest.	COMPOSED_WORKING	Lege den laufenden Eintrag [wie zuvor] fest.	GDT416_RENDERER_PLUS_OLD_REGISTER_VALUE_CELLS	0	0	0	NONE	NONE	NONE	NONE	NO_EXACT_CELL	NO_EXACT_CELL	NO	YES	YES	YES	NO
G493-C003	G493-F01	@ACTION	T	T	BIOLOGICAL	EINSTELLEN	T=STATIONSWERT EINSTELLEN	ACTIVE_ARGUMENT_REQUIRED	Y=POSTEN [wie zuvor]	Stelle den Stationsposten [wie zuvor] ein.	COMPOSED_WORKING	Stelle den Stationsposten [wie zuvor] ein.	GDT416_RENDERER_PLUS_OLD_REGISTER_VALUE_CELLS	0	0	0	NONE	NONE	NONE	NONE	NO_EXACT_CELL	NO_EXACT_CELL	NO	YES	YES	YES	NO
G493-C004	G493-F01	@ACTION	T	T	CELESTIAL	EINSTELLEN	T=WERT EINSTELLEN	ACTIVE_ARGUMENT_REQUIRED	Y=POSTEN [wie zuvor]	Stelle den Positionsposten [wie zuvor] ein.	COMPOSED_WORKING	Stelle den Positionsposten [wie zuvor] ein.	GDT416_RENDERER_PLUS_OLD_REGISTER_VALUE_CELLS	0	0	0	NONE	NONE	NONE	NONE	NO_EXACT_CELL	NO_EXACT_CELL	NO	YES	YES	YES	NO
G493-C005	G493-F01	@ACTION	T	T	PHARMA	EINSTELLEN	T=ANSATZWERT EINSTELLEN	ACTIVE_ARGUMENT_REQUIRED	Y=POSTEN [wie zuvor]	Stelle den Drogenposten [wie zuvor] ein.	COMPOSED_WORKING	Stelle den Drogenposten [wie zuvor] ein.	GDT416_RENDERER_PLUS_OLD_REGISTER_VALUE_CELLS	0	0	0	NONE	NONE	NONE	NONE	NO_EXACT_CELL	NO_EXACT_CELL	NO	YES	YES	YES	NO
G493-C011	G493-F02	@ACTION+AIIN	T	T+AIIN	SOURCE_SECTION_T	EINSTELLEN · WERT	T=FESTLEGEN · AIIN=KENNWERT	SELF_CONTAINED_ARGUMENT	NONE	Lege den Kennwert fest.	COMPOSED_WORKING	Lege den Kennwert fest.	GDT416_RENDERER_PLUS_OLD_REGISTER_VALUE_CELLS	0	0	0	NONE	NONE	NONE	NONE	NO_EXACT_CELL	NO_EXACT_CELL	NO	YES	YES	YES	NO
G493-C014	G493-F02	@ACTION+AIIN	T	T+AIIN	CELESTIAL	EINSTELLEN · WERT	T=WERT EINSTELLEN · AIIN=POSITIONSWERT	SELF_CONTAINED_ARGUMENT	NONE	Stelle den Positionswert ein.	COMPOSED_WORKING	Stelle den Positionswert ein.	GDT416_RENDERER_PLUS_OLD_REGISTER_VALUE_CELLS	0	0	0	NONE	NONE	NONE	NONE	NO_EXACT_CELL	NO_EXACT_CELL	NO	YES	YES	YES	NO
G493-C016	G493-F02	@ACTION+AIIN	R	R+AIIN	SOURCE_SECTION_T	MARKIEREN · WERT	R=KENNZEICHNEN · AIIN=KENNWERT	SELF_CONTAINED_ARGUMENT	NONE	Kennzeichne den Kennwert.	COMPOSED_WORKING	Kennzeichne den Kennwert.	GDT416_RENDERER_PLUS_OLD_REGISTER_VALUE_CELLS	0	0	0	NONE	NONE	NONE	NONE	NO_EXACT_CELL	NO_EXACT_CELL	NO	YES	YES	YES	NO
G493-C019	G493-F02	@ACTION+AIIN	R	R+AIIN	CELESTIAL	MARKIEREN · WERT	R=POSITION MARKIEREN · AIIN=POSITIONSWERT	SELF_CONTAINED_ARGUMENT	NONE	Markiere den Positionswert.	COMPOSED_WORKING	Markiere den Positionswert.	GDT416_RENDERER_PLUS_OLD_REGISTER_VALUE_CELLS	0	0	0	NONE	NONE	NONE	NONE	NO_EXACT_CELL	NO_EXACT_CELL	NO	YES	YES	YES	NO
G493-C020	G493-F02	@ACTION+AIIN	R	R+AIIN	PHARMA	MARKIEREN · WERT	R=POSTEN MARKIEREN · AIIN=MENGENWERT	SELF_CONTAINED_ARGUMENT	NONE	Markiere den Mengenwert.	COMPOSED_WORKING	Markiere den Mengenwert.	GDT416_RENDERER_PLUS_OLD_REGISTER_VALUE_CELLS	0	0	0	NONE	NONE	NONE	NONE	NO_EXACT_CELL	NO_EXACT_CELL	NO	YES	YES	YES	NO
G493-C021	G493-F03	@ACTION+AIN	T	T+AIN	SOURCE_SECTION_T	EINSTELLEN · ANTEIL	T=FESTLEGEN · AIN=TEILWERT	SELF_CONTAINED_ARGUMENT	NONE	Lege den Teilwert fest.	COMPOSED_WORKING	Lege den Teilwert fest.	GDT416_RENDERER_PLUS_OLD_REGISTER_VALUE_CELLS	0	0	0	NONE	NONE	NONE	NONE	NO_EXACT_CELL	NO_EXACT_CELL	NO	YES	YES	YES	NO
