realization_cell_id	frame_id	frozen_frame	action_root	action_recipe	register	portable_component_trace_de	owner_local_slot_trace_de	state_requirement	composed_state_default	composed_working_phrase_de	evidence_status	display_phrase_de	display_phrase_provenance	observed_event_count	observed_clause_form_count	selected_observed_phrase_carrier_count	observed_pages	observed_event_ids	all_observed_clause_forms_de	observed_inherited_argument_roots	composed_phrase_observed_in_exact_cell	selected_phrase_equals_composed_phrase	display_phrase_is_observed_clause	display_phrase_is_composed_working	composed_working_label_visible	all_recipe_value_cells_observed	new_slot_value_required
G493-C001	G493-F01	@ACTION	T	T	SOURCE_SECTION_T	EINSTELLEN	T=FESTLEGEN	ACTIVE_ARGUMENT_REQUIRED	Y=POSTEN [wie zuvor]	Lege den laufenden Eintrag [wie zuvor] fest.	COMPOSED_WORKING	Lege den laufenden Eintrag [wie zuvor] fest.	GDT416_RENDERER_PLUS_OLD_REGISTER_VALUE_CELLS	0	0	0	NONE	NONE	NONE	NONE	NO_EXACT_CELL	NO_EXACT_CELL	NO	YES	YES	YES	NO
G493-C002	G493-F01	@ACTION	T	T	HERBAL	EINSTELLEN	T=ARBEITSSTUFE EINSTELLEN	ACTIVE_ARGUMENT_REQUIRED	Y=POSTEN [wie zuvor]	Stelle den Pflanzenposten [wie zuvor] ein.	OBSERVED_CLAUSE	Stelle den Pflanzenposten [wie zuvor] ein.	GDT416_EXACT_RECIPE_REGISTER_CLAUSE	1	1	1	f56r	G407-E0858	Stelle den Pflanzenposten [wie zuvor] ein.	Y	YES	YES	YES	NO	NOT_APPLICABLE	YES	NO
G493-C003	G493-F01	@ACTION	T	T	BIOLOGICAL	EINSTELLEN	T=STATIONSWERT EINSTELLEN	ACTIVE_ARGUMENT_REQUIRED	Y=POSTEN [wie zuvor]	Stelle den Stationsposten [wie zuvor] ein.	COMPOSED_WORKING	Stelle den Stationsposten [wie zuvor] ein.	GDT416_RENDERER_PLUS_OLD_REGISTER_VALUE_CELLS	0	0	0	NONE	NONE	NONE	NONE	NO_EXACT_CELL	NO_EXACT_CELL	NO	YES	YES	YES	NO
G493-C004	G493-F01	@ACTION	T	T	CELESTIAL	EINSTELLEN	T=WERT EINSTELLEN	ACTIVE_ARGUMENT_REQUIRED	Y=POSTEN [wie zuvor]	Stelle den Positionsposten [wie zuvor] ein.	COMPOSED_WORKING	Stelle den Positionsposten [wie zuvor] ein.	GDT416_RENDERER_PLUS_OLD_REGISTER_VALUE_CELLS	0	0	0	NONE	NONE	NONE	NONE	NO_EXACT_CELL	NO_EXACT_CELL	NO	YES	YES	YES	NO
G493-C005	G493-F01	@ACTION	T	T	PHARMA	EINSTELLEN	T=ANSATZWERT EINSTELLEN	ACTIVE_ARGUMENT_REQUIRED	Y=POSTEN [wie zuvor]	Stelle den Drogenposten [wie zuvor] ein.	COMPOSED_WORKING	Stelle den Drogenposten [wie zuvor] ein.	GDT416_RENDERER_PLUS_OLD_REGISTER_VALUE_CELLS	0	0	0	NONE	NONE	NONE	NONE	NO_EXACT_CELL	NO_EXACT_CELL	NO	YES	YES	YES	NO
G493-C006	G493-F01	@ACTION	R	R	SOURCE_SECTION_T	MARKIEREN	R=KENNZEICHNEN	ACTIVE_ARGUMENT_REQUIRED	Y=POSTEN [wie zuvor]	Kennzeichne den laufenden Eintrag [wie zuvor].	OBSERVED_CLAUSE	Kennzeichne den laufenden Eintrag [wie zuvor].	GDT416_EXACT_RECIPE_REGISTER_CLAUSE	1	1	1	f1r	G407-E0110	Kennzeichne den laufenden Eintrag [wie zuvor].	Y	YES	YES	YES	NO	NOT_APPLICABLE	YES	NO
G493-C007	G493-F01	@ACTION	R	R	HERBAL	MARKIEREN	R=TEIL MARKIEREN	ACTIVE_ARGUMENT_REQUIRED	Y=POSTEN [wie zuvor]	Markiere den Pflanzenposten [wie zuvor].	OBSERVED_CLAUSE	Markiere den Pflanzenposten [wie zuvor].	GDT416_EXACT_RECIPE_REGISTER_CLAUSE	3	2	2	f24v|f56r	G407-E0644|G407-E0860|G407-E0886	Markiere den Pflanzenposten [wie zuvor]. || Markiere die Arbeitseinheit [wie zuvor].	OR|Y	YES	YES	YES	NO	NOT_APPLICABLE	YES	NO
G493-C008	G493-F01	@ACTION	R	R	BIOLOGICAL	MARKIEREN	R=STATION MARKIEREN	ACTIVE_ARGUMENT_REQUIRED	Y=POSTEN [wie zuvor]	Markiere den Stationsposten [wie zuvor].	OBSERVED_CLAUSE	Markiere den Stationsposten [wie zuvor].	GDT416_EXACT_RECIPE_REGISTER_CLAUSE	12	2	11	f75r|f76r|f77r|f81v|f82r|f83r	G407-E1463|G407-E1527|G407-E1912|G407-E2127|G407-E2152|G407-E2513|G407-E2656|G407-E3063|G407-E3237|G407-E3273|G407-E3296|G407-E3532	Markiere den Stationsposten [wie zuvor]. || Markiere.	Y	YES	YES	YES	NO	NOT_APPLICABLE	YES	NO
G493-C009	G493-F01	@ACTION	R	R	CELESTIAL	MARKIEREN	R=POSITION MARKIEREN	ACTIVE_ARGUMENT_REQUIRED	Y=POSTEN [wie zuvor]	Markiere den Positionsposten [wie zuvor].	OBSERVED_CLAUSE	Markiere den Positionsposten [wie zuvor].	GDT416_EXACT_RECIPE_REGISTER_CLAUSE	2	2	1	f67r2|f72r	G407-E0938|G407-E1249	Markiere den Positionsposten [wie zuvor]. || Markiere die Positionseinheit [wie zuvor].	OR|Y	YES	YES	YES	NO	NOT_APPLICABLE	YES	NO
G493-C010	G493-F01	@ACTION	R	R	PHARMA	MARKIEREN	R=POSTEN MARKIEREN	ACTIVE_ARGUMENT_REQUIRED	Y=POSTEN [wie zuvor]	Markiere den Drogenposten [wie zuvor].	OBSERVED_CLAUSE	Markiere den Drogenposten [wie zuvor].	GDT416_EXACT_RECIPE_REGISTER_CLAUSE	3	2	2	f88v|f89r	G407-E4030|G407-E4172|G407-E4386	Markiere den Drogenposten [wie zuvor]. || Markiere den Mengenwert [wie zuvor].	AIIN|Y	YES	YES	YES	NO	NOT_APPLICABLE	YES	NO
G493-C011	G493-F02	@ACTION+AIIN	T	T+AIIN	SOURCE_SECTION_T	EINSTELLEN · WERT	T=FESTLEGEN · AIIN=KENNWERT	SELF_CONTAINED_ARGUMENT	NONE	Lege den Kennwert fest.	COMPOSED_WORKING	Lege den Kennwert fest.	GDT416_RENDERER_PLUS_OLD_REGISTER_VALUE_CELLS	0	0	0	NONE	NONE	NONE	NONE	NO_EXACT_CELL	NO_EXACT_CELL	NO	YES	YES	YES	NO
G493-C012	G493-F02	@ACTION+AIIN	T	T+AIIN	HERBAL	EINSTELLEN · WERT	T=ARBEITSSTUFE EINSTELLEN · AIIN=ARBEITSWERT	SELF_CONTAINED_ARGUMENT	NONE	Stelle den Arbeitswert ein.	OBSERVED_CLAUSE	Stelle den Arbeitswert ein.	GDT416_EXACT_RECIPE_REGISTER_CLAUSE	2	1	2	f10r|f95v	G407-E0265|G407-E4534	Stelle den Arbeitswert ein.	NONE	YES	YES	YES	NO	NOT_APPLICABLE	YES	NO
G493-C013	G493-F02	@ACTION+AIIN	T	T+AIIN	BIOLOGICAL	EINSTELLEN · WERT	T=STATIONSWERT EINSTELLEN · AIIN=STATIONSWERT	SELF_CONTAINED_ARGUMENT	NONE	Stelle den Stationswert ein.	OBSERVED_CLAUSE	Stelle den Stationswert ein.	GDT416_EXACT_RECIPE_REGISTER_CLAUSE	2	1	2	f81r|f82r	G407-E2893|G407-E3440	Stelle den Stationswert ein.	NONE	YES	YES	YES	NO	NOT_APPLICABLE	YES	NO
G493-C014	G493-F02	@ACTION+AIIN	T	T+AIIN	CELESTIAL	EINSTELLEN · WERT	T=WERT EINSTELLEN · AIIN=POSITIONSWERT	SELF_CONTAINED_ARGUMENT	NONE	Stelle den Positionswert ein.	COMPOSED_WORKING	Stelle den Positionswert ein.	GDT416_RENDERER_PLUS_OLD_REGISTER_VALUE_CELLS	0	0	0	NONE	NONE	NONE	NONE	NO_EXACT_CELL	NO_EXACT_CELL	NO	YES	YES	YES	NO
G493-C015	G493-F02	@ACTION+AIIN	T	T+AIIN	PHARMA	EINSTELLEN · WERT	T=ANSATZWERT EINSTELLEN · AIIN=MENGENWERT	SELF_CONTAINED_ARGUMENT	NONE	Stelle den Mengenwert ein.	OBSERVED_CLAUSE	Stelle den Mengenwert ein.	GDT416_EXACT_RECIPE_REGISTER_CLAUSE	1	1	1	f89r	G407-E4161	Stelle den Mengenwert ein.	NONE	YES	YES	YES	NO	NOT_APPLICABLE	YES	NO
G493-C016	G493-F02	@ACTION+AIIN	R	R+AIIN	SOURCE_SECTION_T	MARKIEREN · WERT	R=KENNZEICHNEN · AIIN=KENNWERT	SELF_CONTAINED_ARGUMENT	NONE	Kennzeichne den Kennwert.	COMPOSED_WORKING	Kennzeichne den Kennwert.	GDT416_RENDERER_PLUS_OLD_REGISTER_VALUE_CELLS	0	0	0	NONE	NONE	NONE	NONE	NO_EXACT_CELL	NO_EXACT_CELL	NO	YES	YES	YES	NO
G493-C017	G493-F02	@ACTION+AIIN	R	R+AIIN	HERBAL	MARKIEREN · WERT	R=TEIL MARKIEREN · AIIN=ARBEITSWERT	SELF_CONTAINED_ARGUMENT	NONE	Markiere den Arbeitswert.	OBSERVED_CLAUSE	Markiere den Arbeitswert.	GDT416_EXACT_RECIPE_REGISTER_CLAUSE	1	1	1	f95v	G407-E4540	Markiere den Arbeitswert.	NONE	YES	YES	YES	NO	NOT_APPLICABLE	YES	NO
