value_cell_id	root	portable_default_de	structural_category	register	owner_local_expansion_de	mention_count	event_count	page_count	owner_count	source_atlas	observed_old_value_cell
G493-V01	T	EINSTELLEN	HANDLUNG	SOURCE_SECTION_T	FESTLEGEN	27	27	1	4	GDT415_REGISTER_EXPANSION_ATLAS	YES
G493-V02	T	EINSTELLEN	HANDLUNG	HERBAL	ARBEITSSTUFE EINSTELLEN	103	103	9	9	GDT415_REGISTER_EXPANSION_ATLAS	YES
G493-V03	T	EINSTELLEN	HANDLUNG	BIOLOGICAL	STATIONSWERT EINSTELLEN	106	105	7	14	GDT415_REGISTER_EXPANSION_ATLAS	YES
G493-V04	T	EINSTELLEN	HANDLUNG	CELESTIAL	WERT EINSTELLEN	38	38	4	13	GDT415_REGISTER_EXPANSION_ATLAS	YES
G493-V05	T	EINSTELLEN	HANDLUNG	PHARMA	ANSATZWERT EINSTELLEN	22	22	3	9	GDT415_REGISTER_EXPANSION_ATLAS	YES
G493-V06	R	MARKIEREN	HANDLUNG	SOURCE_SECTION_T	KENNZEICHNEN	6	6	1	3	GDT415_REGISTER_EXPANSION_ATLAS	YES
G493-V07	R	MARKIEREN	HANDLUNG	HERBAL	TEIL MARKIEREN	14	14	7	7	GDT415_REGISTER_EXPANSION_ATLAS	YES
G493-V08	R	MARKIEREN	HANDLUNG	BIOLOGICAL	STATION MARKIEREN	61	61	7	13	GDT415_REGISTER_EXPANSION_ATLAS	YES
G493-V09	R	MARKIEREN	HANDLUNG	CELESTIAL	POSITION MARKIEREN	14	14	4	6	GDT415_REGISTER_EXPANSION_ATLAS	YES
G493-V10	R	MARKIEREN	HANDLUNG	PHARMA	POSTEN MARKIEREN	19	19	3	7	GDT415_REGISTER_EXPANSION_ATLAS	YES
G493-V11	AIIN	WERT	ARGUMENT	SOURCE_SECTION_T	KENNWERT	27	27	1	4	GDT415_REGISTER_EXPANSION_ATLAS	YES
