contrast_id	frame_id	frozen_frame	register	t_recipe	r_recipe	t_evidence_status	r_evidence_status	pair_evidence_status	t_display_phrase_de	r_display_phrase_de	t_portable_trace_de	r_portable_trace_de	formal_remainder_unchanged	display_phrases_distinct	all_value_cells_observed
G493-TR01	G493-F01	@ACTION	SOURCE_SECTION_T	T	R	COMPOSED_WORKING	OBSERVED_CLAUSE	MIXED_OBSERVED_COMPOSED	Lege den laufenden Eintrag [wie zuvor] fest.	Kennzeichne den laufenden Eintrag [wie zuvor].	EINSTELLEN	MARKIEREN	YES	YES	YES
G493-TR02	G493-F01	@ACTION	HERBAL	T	R	OBSERVED_CLAUSE	OBSERVED_CLAUSE	BOTH_OBSERVED	Stelle den Pflanzenposten [wie zuvor] ein.	Markiere den Pflanzenposten [wie zuvor].	EINSTELLEN	MARKIEREN	YES	YES	YES
G493-TR03	G493-F01	@ACTION	BIOLOGICAL	T	R	COMPOSED_WORKING	OBSERVED_CLAUSE	MIXED_OBSERVED_COMPOSED	Stelle den Stationsposten [wie zuvor] ein.	Markiere den Stationsposten [wie zuvor].	EINSTELLEN	MARKIEREN	YES	YES	YES
G493-TR04	G493-F01	@ACTION	CELESTIAL	T	R	COMPOSED_WORKING	OBSERVED_CLAUSE	MIXED_OBSERVED_COMPOSED	Stelle den Positionsposten [wie zuvor] ein.	Markiere den Positionsposten [wie zuvor].	EINSTELLEN	MARKIEREN	YES	YES	YES
G493-TR05	G493-F01	@ACTION	PHARMA	T	R	COMPOSED_WORKING	OBSERVED_CLAUSE	MIXED_OBSERVED_COMPOSED	Stelle den Drogenposten [wie zuvor] ein.	Markiere den Drogenposten [wie zuvor].	EINSTELLEN	MARKIEREN	YES	YES	YES
G493-TR06	G493-F02	@ACTION+AIIN	SOURCE_SECTION_T	T+AIIN	R+AIIN	COMPOSED_WORKING	COMPOSED_WORKING	BOTH_COMPOSED_WORKING	Lege den Kennwert fest.	Kennzeichne den Kennwert.	EINSTELLEN · WERT	MARKIEREN · WERT	YES	YES	YES
G493-TR07	G493-F02	@ACTION+AIIN	HERBAL	T+AIIN	R+AIIN	OBSERVED_CLAUSE	OBSERVED_CLAUSE	BOTH_OBSERVED	Stelle den Arbeitswert ein.	Markiere den Arbeitswert.	EINSTELLEN · WERT	MARKIEREN · WERT	YES	YES	YES
G493-TR08	G493-F02	@ACTION+AIIN	BIOLOGICAL	T+AIIN	R+AIIN	OBSERVED_CLAUSE	OBSERVED_CLAUSE	BOTH_OBSERVED	Stelle den Stationswert ein.	Markiere den Stationswert.	EINSTELLEN · WERT	MARKIEREN · WERT	YES	YES	YES
G493-TR09	G493-F02	@ACTION+AIIN	CELESTIAL	T+AIIN	R+AIIN	COMPOSED_WORKING	COMPOSED_WORKING	BOTH_COMPOSED_WORKING	Stelle den Positionswert ein.	Markiere den Positionswert.	EINSTELLEN · WERT	MARKIEREN · WERT	YES	YES	YES
G493-TR10	G493-F02	@ACTION+AIIN	PHARMA	T+AIIN	R+AIIN	OBSERVED_CLAUSE	COMPOSED_WORKING	MIXED_OBSERVED_COMPOSED	Stelle den Mengenwert ein.	Markiere den Mengenwert.	EINSTELLEN · WERT	MARKIEREN · WERT	YES	YES	YES
G493-TR11	G493-F03	@ACTION+AIN	SOURCE_SECTION_T	T+AIN	R+AIN	COMPOSED_WORKING	COMPOSED_WORKING	BOTH_COMPOSED_WORKING	Lege den Teilwert fest.	Kennzeichne den Teilwert.	EINSTELLEN · ANTEIL	MARKIEREN · ANTEIL	YES	YES	YES
G493-TR12	G493-F03	@ACTION+AIN	HERBAL	T+AIN	R+AIN	COMPOSED_WORKING	COMPOSED_WORKING	BOTH_COMPOSED_WORKING	Stelle den Materialanteil ein.	Markiere den Materialanteil.	EINSTELLEN · ANTEIL	MARKIEREN · ANTEIL	YES	YES	YES
G493-TR13	G493-F03	@ACTION+AIN	BIOLOGICAL	T+AIN	R+AIN	OBSERVED_CLAUSE	OBSERVED_CLAUSE	BOTH_OBSERVED	Stelle den Stationsanteil ein.	Markiere den Stationsanteil.	EINSTELLEN · ANTEIL	MARKIEREN · ANTEIL	YES	YES	YES
G493-TR14	G493-F03	@ACTION+AIN	CELESTIAL	T+AIN	R+AIN	COMPOSED_WORKING	COMPOSED_WORKING	BOTH_COMPOSED_WORKING	Stelle den Sektoranteil ein.	Markiere den Sektoranteil.	EINSTELLEN · ANTEIL	MARKIEREN · ANTEIL	YES	YES	YES
G493-TR15	G493-F03	@ACTION+AIN	PHARMA	T+AIN	R+AIN	OBSERVED_CLAUSE	COMPOSED_WORKING	MIXED_OBSERVED_COMPOSED	Stelle den Drogenanteil ein.	Markiere den Drogenanteil.	EINSTELLEN · ANTEIL	MARKIEREN · ANTEIL	YES	YES	YES
G493-TR16	G493-F04	@ACTION+AL	SOURCE_SECTION_T	T+AL	R+AL	COMPOSED_WORKING	COMPOSED_WORKING	BOTH_COMPOSED_WORKING	Lege den laufenden Eintrag [wie zuvor] fest; zur Zielspalte.	Kennzeichne den laufenden Eintrag [wie zuvor]; zur Zielspalte.	EINSTELLEN · ZIELORT	MARKIEREN · ZIELORT	YES	YES	YES
