scope_pair_ordinal	event_id	statement_id	physical_page	register	surface	final_context_recipe	phrase_card_id	alignment_key	underlying_atom	outer_atom_position_zero_based	inner_atom_position_zero_based	source_outer_phrase_de	source_inner_phrase_de	scope_safe_factorization_de	working_clause_de	guard
1	G407-E1060	G407-S055	f71v	CELESTIAL	parar	P+AR+AR	GDT575-P-AR-03	AR	AR	1	2	von der Ausgangsposition im äußeren Zweig	von der Ausgangsposition im inneren Zweig	von der Ausgangsposition im äußeren und im inneren Zweig	Setze ein; von der Ausgangsposition im äußeren Zweig und von der Ausgangsposition im inneren Zweig.	BOTH_SCOPE_VALUES_RETAINED__NO_ROOT_OR_ORDER_CHANGE
2	G407-E1184	G407-S064	f72r	CELESTIAL	okalal	OK+AL+AL	GDT575-P-AL-03	AL	AL	1	2	zur Zielposition im äußeren Zweig	zur Zielposition im inneren Zweig	zur Zielposition im äußeren und im inneren Zweig	Setze dieselbe Positionseinheit; zur Zielposition im äußeren Zweig und zur Zielposition im inneren Zweig.	BOTH_SCOPE_VALUES_RETAINED__NO_ROOT_OR_ORDER_CHANGE
3	G407-E1314	G407-S073	f72r	CELESTIAL	okarar	OK+AR+AR	GDT575-P-AR-03	AR	AR	1	2	von der Ausgangsposition im äußeren Zweig	von der Ausgangsposition im inneren Zweig	von der Ausgangsposition im äußeren und im inneren Zweig	Setze denselben Positionsposten; von der Ausgangsposition im äußeren Zweig und von der Ausgangsposition im inneren Zweig.	BOTH_SCOPE_VALUES_RETAINED__NO_ROOT_OR_ORDER_CHANGE
4	G407-E1390	G407-S078	f72r	CELESTIAL	arary	P+AR+AR	GDT575-P-AR-03	AR	AR	1	2	von der Ausgangsposition im äußeren Zweig	von der Ausgangsposition im inneren Zweig	von der Ausgangsposition im äußeren und im inneren Zweig	Setze denselben Positionsposten ein; von der Ausgangsposition im äußeren Zweig und von der Ausgangsposition im inneren Zweig.	BOTH_SCOPE_VALUES_RETAINED__NO_ROOT_OR_ORDER_CHANGE
5	G407-E2722	G407-S396	f81r	BIOLOGICAL	lshl	L+SH+L	GDT575-P-L-04	L	L	0	2	über die sichtbare Verbindung im äußeren Zweig	über die sichtbare Verbindung im inneren Zweig	über die sichtbare Verbindung im äußeren und im inneren Zweig	Halte denselben Stationsposten; über die sichtbare Verbindung im äußeren Zweig und über die sichtbare Verbindung im inneren Zweig.	BOTH_SCOPE_VALUES_RETAINED__NO_ROOT_OR_ORDER_CHANGE
6	G407-E2895	G407-S433	f81r	BIOLOGICAL	lchl	L+CH+L	GDT575-P-L-04	L	L	0	2	über die sichtbare Verbindung im äußeren Zweig	über die sichtbare Verbindung im inneren Zweig	über die sichtbare Verbindung im äußeren und im inneren Zweig	Entnimm denselben Stationsposten; über die sichtbare Verbindung im äußeren Zweig und über die sichtbare Verbindung im inneren Zweig.	BOTH_SCOPE_VALUES_RETAINED__NO_ROOT_OR_ORDER_CHANGE
7	G407-E2954	G407-S446	f81v	BIOLOGICAL	dalal	AL+AL	GDT575-P-AL-04	AL	AL	0	1	zur Zielstation im äußeren Zweig	zur Zielstation im inneren Zweig	zur Zielstation im äußeren und im inneren Zweig	Im laufenden Gang bearbeite denselben Stationsposten; zur Zielstation im äußeren Zweig und zur Zielstation im inneren Zweig.	BOTH_SCOPE_VALUES_RETAINED__NO_ROOT_OR_ORDER_CHANGE
8	G407-E3849	G407-S650	f88r	PHARMA	salsaly	S+AL+S+AL+Y	GDT575-P-AL-05	AL	AL	1	3	zum Zielgefäß im äußeren Zweig	zum Zielgefäß im inneren Zweig	zum Zielgefäß im äußeren und im inneren Zweig	Wähle den Drogenposten und wähle ihn; zum Zielgefäß im äußeren Zweig und zum Zielgefäß im inneren Zweig.	BOTH_SCOPE_VALUES_RETAINED__NO_ROOT_OR_ORDER_CHANGE
9	G407-E4142	G407-S671	f89r	PHARMA	daldal	AL+AL	GDT575-P-AL-05	AL	AL	0	1	zum Zielgefäß im äußeren Zweig	zum Zielgefäß im inneren Zweig	zum Zielgefäß im äußeren und im inneren Zweig	Im laufenden Gang nimm denselben Drogenanteil; zum Zielgefäß im äußeren Zweig und zum Zielgefäß im inneren Zweig.	BOTH_SCOPE_VALUES_RETAINED__NO_ROOT_OR_ORDER_CHANGE
10	G407-E4497	G407-S700	f95v	HERBAL	okarar	OK+AR+AR	GDT575-P-AR-02	AR	AR	1	2	vom Ausgangsmaterial im äußeren Zweig	vom Ausgangsmaterial im inneren Zweig	vom Ausgangsmaterial im äußeren und im inneren Zweig	Setze denselben Pflanzenposten im Arbeitsgang an; vom Ausgangsmaterial im äußeren Zweig und vom Ausgangsmaterial im inneren Zweig.	BOTH_SCOPE_VALUES_RETAINED__NO_ROOT_OR_ORDER_CHANGE
