duplicate_group_ordinal	duplicate_group_id	event_id	statement_id	physical_page	register	surface	final_context_recipe	phrase_card_id	alignment_key	full_phrase_de	scope	phrase_occurrence_count	extra_mention_count	underlying_atom_sequence	underlying_atom_positions_zero_based	intervening_atom_sequences	duplicate_topology	action_atom_between	recommended_treatment	working_clause_de	guard
1	GDT575-D001	G407-E0001	G407-S001	f1r	SOURCE_SECTION_T	fachys	LOCAL_CHAR_F+A_ADDR+CH+Y+S	GDT575-P-ADDRESS-01	ADDRESS	an der bezeichneten Stelle	PLAIN	2	1	LOCAL_CHAR_F+A_ADDR	0+1	NONE	DIFFERENT_ROOTS_RAW_ADJACENT	NO	DIFFERENTIATE_ROOT_VOICE_BEFORE_COMPRESSION	Entnimm den laufenden Eintrag und wähle ihn; an der bezeichneten Stelle und an der bezeichneten Stelle.	EXACT_PHRASE_INVENTORY__NO_COMPRESSION_OR_ROOT_CHANGE
2	GDT575-D002	G407-E0046	G407-S001	f1r	SOURCE_SECTION_T	ydaraishy	Y+D_ADDR+AR+A_ADDR+LOCAL_CHAR_I+SH+Y	GDT575-P-ADDRESS-01	ADDRESS	an der bezeichneten Stelle	PLAIN	2	1	D_ADDR+A_ADDR	1+3	AR	DIFFERENT_ROOTS_INTERRUPTED	NO	DIFFERENTIATE_ROOT_VOICE_AND_KEEP_ORDER	Halte den äußeren laufenden Eintrag und den inneren laufenden Eintrag fest; von der Ausgangszeile; an der bezeichneten Stelle, an der bezeichneten Stelle und mit der lokalen Variante.	EXACT_PHRASE_INVENTORY__NO_COMPRESSION_OR_ROOT_CHANGE
3	GDT575-D003	G407-E0135	G407-S005	f1r	SOURCE_SECTION_T	daiy	D_ADDR+A_ADDR+LOCAL_CHAR_I+Y	GDT575-P-ADDRESS-01	ADDRESS	an der bezeichneten Stelle	PLAIN	2	1	D_ADDR+A_ADDR	0+1	NONE	DIFFERENT_ROOTS_RAW_ADJACENT	NO	DIFFERENTIATE_ROOT_VOICE_BEFORE_COMPRESSION	Im laufenden Gang lege den laufenden Eintrag fest; an der bezeichneten Stelle, an der bezeichneten Stelle und mit der lokalen Variante.	EXACT_PHRASE_INVENTORY__NO_COMPRESSION_OR_ROOT_CHANGE
4	GDT575-D004	G407-E0152	G407-S005	f1r	SOURCE_SECTION_T	dloo	D_ADDR+L+O+O	GDT575-P-O-01	O	als Ausführung	PLAIN	2	1	O+O	2+3	NONE	SAME_ROOT_RAW_ADJACENT	NO	COUNT_VOICE_CANDIDATE	Im laufenden Gang wähle denselben laufenden Eintrag; über die Eintragsverbindung; als Ausführung und als Ausführung; an der bezeichneten Stelle.	EXACT_PHRASE_INVENTORY__NO_COMPRESSION_OR_ROOT_CHANGE
5	GDT575-D005	G407-E0217	G407-S008	f10r	HERBAL	octhody	O+CH+T+O+D_ADDR+Y	GDT575-P-O-01	O	als Ausführung	PLAIN	2	1	O+O	0+3	CH+T	SAME_ROOT_INTERRUPTED	YES	KEEP_ORDER_AND_RESTORE_LOCAL_ATTACHMENT	Nimm den Pflanzenposten und stelle ihn ein; als Ausführung und als Ausführung; an der bezeichneten Stelle.	EXACT_PHRASE_INVENTORY__NO_COMPRESSION_OR_ROOT_CHANGE
6	GDT575-D006	G407-E0315	G407-S011	f11r	HERBAL	socthody	S+O+CH+T+O+D_ADDR+Y	GDT575-P-O-01	O	als Ausführung	PLAIN	2	1	O+O	1+4	CH+T	SAME_ROOT_INTERRUPTED	YES	KEEP_ORDER_AND_RESTORE_LOCAL_ATTACHMENT	Wähle den Pflanzenposten, nimm ihn und stelle ihn ein; als Ausführung und als Ausführung; an der bezeichneten Stelle.	EXACT_PHRASE_INVENTORY__NO_COMPRESSION_OR_ROOT_CHANGE
7	GDT575-D007	G407-E0333	G407-S011	f11r	HERBAL	dod	D_ADDR+O+D_ADDR	GDT575-P-ADDRESS-01	ADDRESS	an der bezeichneten Stelle	PLAIN	2	1	D_ADDR+D_ADDR	0+2	O	SAME_ROOT_INTERRUPTED	NO	KEEP_ORDER_AND_RESTORE_LOCAL_ATTACHMENT	Im laufenden Gang nimm denselben Arbeitswert; als Ausführung; an der bezeichneten Stelle und an der bezeichneten Stelle.	EXACT_PHRASE_INVENTORY__NO_COMPRESSION_OR_ROOT_CHANGE
8	GDT575-D008	G407-E0400	G407-S012	f13r	HERBAL	shorodo	SH+OR+O+D_ADDR+O	GDT575-P-O-01	O	als Ausführung	PLAIN	2	1	O+O	2+4	D_ADDR	SAME_ROOT_INTERRUPTED	NO	KEEP_ORDER_AND_RESTORE_LOCAL_ATTACHMENT	Halte die Arbeitseinheit; als Ausführung und als Ausführung; an der bezeichneten Stelle.	EXACT_PHRASE_INVENTORY__NO_COMPRESSION_OR_ROOT_CHANGE
9	GDT575-D009	G407-E0444	G407-S018	f17r	HERBAL	daram	DA+R+A_ADDR+AM_ADDR	GDT575-P-ADDRESS-01	ADDRESS	an der bezeichneten Stelle	PLAIN	2	1	A_ADDR+AM_ADDR	2+3	NONE	DIFFERENT_ROOTS_RAW_ADJACENT	NO	DIFFERENTIATE_ROOT_VOICE_BEFORE_COMPRESSION	Markiere; auf der zweiten Stufe; an der bezeichneten Stelle und an der bezeichneten Stelle.	EXACT_PHRASE_INVENTORY__NO_COMPRESSION_OR_ROOT_CHANGE
10	GDT575-D010	G407-E0465	G407-S021	f17r	HERBAL	qodam	O+D_ADDR+AM_ADDR	GDT575-P-ADDRESS-01	ADDRESS	an der bezeichneten Stelle	PLAIN	2	1	D_ADDR+AM_ADDR	1+2	NONE	DIFFERENT_ROOTS_RAW_ADJACENT	NO	DIFFERENTIATE_ROOT_VOICE_BEFORE_COMPRESSION	Im laufenden Gang wähle denselben Pflanzenposten; als Ausführung; an der bezeichneten Stelle und an der bezeichneten Stelle.	EXACT_PHRASE_INVENTORY__NO_COMPRESSION_OR_ROOT_CHANGE
11	GDT575-D011	G407-E0491	G407-S023	f17r	HERBAL	cheteg	CH+E+T+E+LOCAL_CHAR_G	GDT575-P-E-01	E	auf Grad I	PLAIN	2	1	E+E	1+3	T	SAME_ROOT_INTERRUPTED	YES	KEEP_ORDER_AND_RESTORE_LOCAL_ATTACHMENT	Nimm denselben Pflanzenposten und stelle ihn ein; auf Grad I und auf Grad I; mit der lokalen Variante.	EXACT_PHRASE_INVENTORY__NO_COMPRESSION_OR_ROOT_CHANGE
12	GDT575-D012	G407-E0522	G407-S026	f18r	HERBAL	darod	D_ADDR+AR+O+D_ADDR	GDT575-P-ADDRESS-01	ADDRESS	an der bezeichneten Stelle	PLAIN	2	1	D_ADDR+D_ADDR	0+3	AR+O	SAME_ROOT_INTERRUPTED	NO	KEEP_ORDER_AND_RESTORE_LOCAL_ATTACHMENT	Im laufenden Gang markiere; vom Ausgangsmaterial; als Ausführung; an der bezeichneten Stelle und an der bezeichneten Stelle.	EXACT_PHRASE_INVENTORY__NO_COMPRESSION_OR_ROOT_CHANGE
13	GDT575-D013	G407-E0607	G407-S030	f24v	HERBAL	opom	O+P+O+AM_ADDR	GDT575-P-O-01	O	als Ausführung	PLAIN	2	1	O+O	0+2	P	SAME_ROOT_INTERRUPTED	YES	KEEP_ORDER_AND_RESTORE_LOCAL_ATTACHMENT	Setze denselben Pflanzenposten ein; als Ausführung und als Ausführung; an der bezeichneten Stelle.	EXACT_PHRASE_INVENTORY__NO_COMPRESSION_OR_ROOT_CHANGE
14	GDT575-D014	G407-E0610	G407-S030	f24v	HERBAL	opshody	O+P+SH+O+DY	GDT575-P-O-01	O	als Ausführung	PLAIN	2	1	O+O	0+3	P+SH	SAME_ROOT_INTERRUPTED	YES	KEEP_ORDER_AND_RESTORE_LOCAL_ATTACHMENT	Setze denselben Pflanzenposten ein und halte ihn; als Ausführung und als Ausführung; schließe den Schritt.	EXACT_PHRASE_INVENTORY__NO_COMPRESSION_OR_ROOT_CHANGE
15	GDT575-D015	G407-E0628	G407-S031	f24v	HERBAL	oesearies	O+E+S+E+AR+LOCAL_CHAR_I+E+S	GDT575-P-E-01	E	auf Grad I	PLAIN	3	2	E+E+E	1+3+6	S|AR+LOCAL_CHAR_I	SAME_ROOT_INTERRUPTED	YES	KEEP_ORDER_AND_RESTORE_LOCAL_ATTACHMENT	Wähle denselben Pflanzenposten und wähle ihn; vom Ausgangsmaterial; als Ausführung, auf Grad I, auf Grad I und auf Grad I; mit der lokalen Variante.	EXACT_PHRASE_INVENTORY__NO_COMPRESSION_OR_ROOT_CHANGE
16	GDT575-D016	G407-E0664	G407-S032	f24v	HERBAL	qodom	CARRIER_Q+O+D_ADDR+O+AM_ADDR	GDT575-P-O-01	O	als Ausführung	PLAIN	2	1	O+O	1+3	D_ADDR	SAME_ROOT_INTERRUPTED	NO	KEEP_ORDER_AND_RESTORE_LOCAL_ATTACHMENT	Im laufenden Gang nimm denselben Arbeitswert; als neuen Einsatz, als Ausführung und als Ausführung; an der bezeichneten Stelle und an der bezeichneten Stelle.	EXACT_PHRASE_INVENTORY__NO_COMPRESSION_OR_ROOT_CHANGE
17	GDT575-D017	G407-E0664	G407-S032	f24v	HERBAL	qodom	CARRIER_Q+O+D_ADDR+O+AM_ADDR	GDT575-P-ADDRESS-01	ADDRESS	an der bezeichneten Stelle	PLAIN	2	1	D_ADDR+AM_ADDR	2+4	O	DIFFERENT_ROOTS_INTERRUPTED	NO	DIFFERENTIATE_ROOT_VOICE_AND_KEEP_ORDER	Im laufenden Gang nimm denselben Arbeitswert; als neuen Einsatz, als Ausführung und als Ausführung; an der bezeichneten Stelle und an der bezeichneten Stelle.	EXACT_PHRASE_INVENTORY__NO_COMPRESSION_OR_ROOT_CHANGE
18	GDT575-D018	G407-E0681	G407-S032	f24v	HERBAL	cheeodam	CH+EE+O+D_ADDR+AM_ADDR	GDT575-P-ADDRESS-01	ADDRESS	an der bezeichneten Stelle	PLAIN	2	1	D_ADDR+AM_ADDR	3+4	NONE	DIFFERENT_ROOTS_RAW_ADJACENT	NO	DIFFERENTIATE_ROOT_VOICE_BEFORE_COMPRESSION	Nimm dieselbe Arbeitseinheit; auf Grad II und als Ausführung; an der bezeichneten Stelle und an der bezeichneten Stelle.	EXACT_PHRASE_INVENTORY__NO_COMPRESSION_OR_ROOT_CHANGE
19	GDT575-D019	G407-E0690	G407-S032	f24v	HERBAL	odaiim	O+D_ADDR+AIIN+M_LOCAL	GDT575-P-ADDRESS-01	ADDRESS	an der bezeichneten Stelle	PLAIN	2	1	D_ADDR+M_LOCAL	1+3	AIIN	DIFFERENT_ROOTS_INTERRUPTED	NO	DIFFERENTIATE_ROOT_VOICE_AND_KEEP_ORDER	Im laufenden Gang nimm den Arbeitswert; als Ausführung; an der bezeichneten Stelle und an der bezeichneten Stelle.	EXACT_PHRASE_INVENTORY__NO_COMPRESSION_OR_ROOT_CHANGE
20	GDT575-D020	G407-E0695	G407-S033	f55v	HERBAL	dodyd	D_ADDR+O+DY+D_LABEL	GDT575-P-ADDRESS-01	ADDRESS	an der bezeichneten Stelle	PLAIN	2	1	D_ADDR+D_LABEL	0+3	O+DY	DIFFERENT_ROOTS_INTERRUPTED	NO	DIFFERENTIATE_ROOT_VOICE_AND_KEEP_ORDER	Im laufenden Gang: Gib denselben Arbeitswert zu; an der bezeichneten Stelle; als Ausführung; an der bezeichneten Stelle; schließe den Schritt.	EXACT_PHRASE_INVENTORY__NO_COMPRESSION_OR_ROOT_CHANGE
21	GDT575-D021	G407-E0736	G407-S036	f55v	HERBAL	sheokey	SH+E+OK+E+Y	GDT575-P-E-01	E	auf Grad I	PLAIN	2	1	E+E	1+3	OK	SAME_ROOT_INTERRUPTED	YES	KEEP_ORDER_AND_RESTORE_LOCAL_ATTACHMENT	Halte den Pflanzenposten und setze ihn im Arbeitsgang an; auf Grad I und auf Grad I.	EXACT_PHRASE_INVENTORY__NO_COMPRESSION_OR_ROOT_CHANGE
22	GDT575-D022	G407-E0802	G407-S038	f56r	HERBAL	esedy	E+S+E+DY	GDT575-P-E-01	E	auf Grad I	PLAIN	2	1	E+E	0+2	S	SAME_ROOT_INTERRUPTED	YES	KEEP_ORDER_AND_RESTORE_LOCAL_ATTACHMENT	Wähle denselben Pflanzenposten; auf Grad I und auf Grad I; schließe den Schritt.	EXACT_PHRASE_INVENTORY__NO_COMPRESSION_OR_ROOT_CHANGE
23	GDT575-D023	G407-E0902	G407-S041	f67r2	CELESTIAL	opodchol	O+P+O+D_ADDR+OL	GDT575-P-O-01	O	als Ausführung	PLAIN	2	1	O+O	0+2	P	SAME_ROOT_INTERRUPTED	YES	KEEP_ORDER_AND_RESTORE_LOCAL_ATTACHMENT	Weiter: setze ein; als Ausführung und als Ausführung; an der bezeichneten Stelle.	EXACT_PHRASE_INVENTORY__NO_COMPRESSION_OR_ROOT_CHANGE
24	GDT575-D024	G407-E0966	G407-S048	f67r2	CELESTIAL	ytoeopchey	Y+T+O+E+O+P+CH+E+Y	GDT575-P-O-01	O	als Ausführung	PLAIN	2	1	O+O	2+4	E	SAME_ROOT_INTERRUPTED	NO	KEEP_ORDER_AND_RESTORE_LOCAL_ATTACHMENT	Stelle den äußeren Positionsposten und den inneren Positionsposten ein, setze den äußeren Positionsposten und den inneren Positionsposten ein und nimm den äußeren Positionsposten und den inneren Positionsposten auf; als Ausführung, auf Grad I, als Ausführung und auf Grad I.	EXACT_PHRASE_INVENTORY__NO_COMPRESSION_OR_ROOT_CHANGE
25	GDT575-D025	G407-E0966	G407-S048	f67r2	CELESTIAL	ytoeopchey	Y+T+O+E+O+P+CH+E+Y	GDT575-P-E-01	E	auf Grad I	PLAIN	2	1	E+E	3+7	O+P+CH	SAME_ROOT_INTERRUPTED	YES	KEEP_ORDER_AND_RESTORE_LOCAL_ATTACHMENT	Stelle den äußeren Positionsposten und den inneren Positionsposten ein, setze den äußeren Positionsposten und den inneren Positionsposten ein und nimm den äußeren Positionsposten und den inneren Positionsposten auf; als Ausführung, auf Grad I, als Ausführung und auf Grad I.	EXACT_PHRASE_INVENTORY__NO_COMPRESSION_OR_ROOT_CHANGE
