phrase_card_ordinal	phrase_card_id	alignment_key	phrase_class	eligible_atoms	base_phrase_de	occurrence_count	event_count	plain_occurrence_count	outer_occurrence_count	inner_occurrence_count	duplicate_group_count	duplicate_extra_mention_count	guard
1	GDT575-P-ADDRESS-01	ADDRESS	LOCAL_ADDRESS	AM_ADDR+A_ADDR+D_ADDR+D_LABEL+LOCAL_CHAR_F+M_LOCAL+S_ADDR	an der bezeichneten Stelle	736	694	734	1	1	40	41	CURRENT_GERMAN_VOICE_CARD__NO_LEXEME_CLAIM
2	GDT575-P-E-01	E	GRADE	E	auf Grad I	1146	1106	1138	4	4	35	36	CURRENT_GERMAN_VOICE_CARD__NO_LEXEME_CLAIM
3	GDT575-P-EE-01	EE	GRADE	EE	auf Grad II	539	538	539	0	0	1	1	CURRENT_GERMAN_VOICE_CARD__NO_LEXEME_CLAIM
4	GDT575-P-EEE-01	EEE	GRADE	EEE	auf Grad III	30	30	30	0	0	0	0	CURRENT_GERMAN_VOICE_CARD__NO_LEXEME_CLAIM
5	GDT575-P-IIN-01	IIN	STAGE	IIN	auf der bezeichneten Stufe	69	69	69	0	0	0	0	CURRENT_GERMAN_VOICE_CARD__NO_LEXEME_CLAIM
6	GDT575-P-DA-01	DA	STAGE	DA	auf der zweiten Stufe	42	42	42	0	0	0	0	CURRENT_GERMAN_VOICE_CARD__NO_LEXEME_CLAIM
7	GDT575-P-O-01	O	FORMAL_CONTROL	O	als Ausführung	715	698	715	0	0	17	17	CURRENT_GERMAN_VOICE_CARD__NO_LEXEME_CLAIM
8	GDT575-P-O-02	O	FORMAL_CONTROL	O	zur Ausführung	95	93	91	2	2	0	0	CURRENT_GERMAN_VOICE_CARD__NO_LEXEME_CLAIM
9	GDT575-P-CARRIER_Q-01	CARRIER_Q	FORMAL_CONTROL	CARRIER_Q	als neuen Einsatz	69	69	69	0	0	0	0	CURRENT_GERMAN_VOICE_CARD__NO_LEXEME_CLAIM
10	GDT575-P-CARRIER_Q-02	CARRIER_Q	FORMAL_CONTROL	CARRIER_Q	mit Beginnmarker	5	5	5	0	0	0	0	CURRENT_GERMAN_VOICE_CARD__NO_LEXEME_CLAIM
11	GDT575-P-CLASS-01	CLASS	LOCAL_CLASS	AN+HO	in der bezeichneten Klasse	34	34	34	0	0	0	0	CURRENT_GERMAN_VOICE_CARD__NO_LEXEME_CLAIM
12	GDT575-P-LOCAL_VARIANT-01	LOCAL_VARIANT	LOCAL_VARIANT	G_LABEL+LOCAL_CHAR_B+LOCAL_CHAR_G+LOCAL_CHAR_I+LOCAL_CHAR_J	mit der lokalen Variante i	1	1	1	0	0	0	0	CURRENT_GERMAN_VOICE_CARD__NO_LEXEME_CLAIM
13	GDT575-P-LOCAL_VARIANT-02	LOCAL_VARIANT	LOCAL_VARIANT	G_LABEL+LOCAL_CHAR_B+LOCAL_CHAR_G+LOCAL_CHAR_I+LOCAL_CHAR_J	mit der lokalen Variante	36	35	36	0	0	1	1	CURRENT_GERMAN_VOICE_CARD__NO_LEXEME_CLAIM
14	GDT575-P-AL-01	AL	RELATION	AL	zur Zielspalte	39	38	39	0	0	1	1	CURRENT_GERMAN_VOICE_CARD__NO_LEXEME_CLAIM
15	GDT575-P-AL-02	AL	RELATION	AL	zur Zielstelle	55	55	55	0	0	0	0	CURRENT_GERMAN_VOICE_CARD__NO_LEXEME_CLAIM
16	GDT575-P-AL-03	AL	RELATION	AL	zur Zielposition	72	71	70	1	1	0	0	CURRENT_GERMAN_VOICE_CARD__NO_LEXEME_CLAIM
17	GDT575-P-AL-04	AL	RELATION	AL	zur Zielstation	178	177	176	1	1	0	0	CURRENT_GERMAN_VOICE_CARD__NO_LEXEME_CLAIM
18	GDT575-P-AL-05	AL	RELATION	AL	zum Zielgefäß	45	43	41	2	2	0	0	CURRENT_GERMAN_VOICE_CARD__NO_LEXEME_CLAIM
19	GDT575-P-AR-01	AR	RELATION	AR	von der Ausgangszeile	46	46	46	0	0	0	0	CURRENT_GERMAN_VOICE_CARD__NO_LEXEME_CLAIM
20	GDT575-P-AR-02	AR	RELATION	AR	vom Ausgangsmaterial	78	77	76	1	1	0	0	CURRENT_GERMAN_VOICE_CARD__NO_LEXEME_CLAIM
21	GDT575-P-AR-03	AR	RELATION	AR	von der Ausgangsposition	56	53	50	3	3	0	0	CURRENT_GERMAN_VOICE_CARD__NO_LEXEME_CLAIM
22	GDT575-P-AR-04	AR	RELATION	AR	von der Ausgangsstation	151	150	151	0	0	1	1	CURRENT_GERMAN_VOICE_CARD__NO_LEXEME_CLAIM
23	GDT575-P-AR-05	AR	RELATION	AR	vom Ausgangsgefäß	23	23	23	0	0	0	0	CURRENT_GERMAN_VOICE_CARD__NO_LEXEME_CLAIM
24	GDT575-P-L-01	L	RELATION	L	über die Eintragsverbindung	21	21	21	0	0	0	0	CURRENT_GERMAN_VOICE_CARD__NO_LEXEME_CLAIM
25	GDT575-P-L-02	L	RELATION	L	über die Verbindung im Pflanzenartikel	16	16	16	0	0	0	0	CURRENT_GERMAN_VOICE_CARD__NO_LEXEME_CLAIM
26	GDT575-P-L-03	L	RELATION	L	über die Ringverbindung	11	11	11	0	0	0	0	CURRENT_GERMAN_VOICE_CARD__NO_LEXEME_CLAIM
27	GDT575-P-L-04	L	RELATION	L	über die sichtbare Verbindung	220	218	216	2	2	0	0	CURRENT_GERMAN_VOICE_CARD__NO_LEXEME_CLAIM
28	GDT575-P-L-05	L	RELATION	L	über die Gefäßverbindung	27	27	27	0	0	0	0	CURRENT_GERMAN_VOICE_CARD__NO_LEXEME_CLAIM
