repeated_event_ordinal	event_id	statement_id	physical_page	register	surface	final_context_recipe	duplicate_group_ids	duplicate_full_phrases_de	duplicate_topologies	duplicate_group_count	extra_mention_count	working_clause_de	guard
1	G407-E0001	G407-S001	f1r	SOURCE_SECTION_T	fachys	LOCAL_CHAR_F+A_ADDR+CH+Y+S	GDT575-D001	an der bezeichneten Stelle	DIFFERENT_ROOTS_RAW_ADJACENT	1	1	Entnimm den laufenden Eintrag und wähle ihn; an der bezeichneten Stelle und an der bezeichneten Stelle.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
2	G407-E0046	G407-S001	f1r	SOURCE_SECTION_T	ydaraishy	Y+D_ADDR+AR+A_ADDR+LOCAL_CHAR_I+SH+Y	GDT575-D002	an der bezeichneten Stelle	DIFFERENT_ROOTS_INTERRUPTED	1	1	Halte den äußeren laufenden Eintrag und den inneren laufenden Eintrag fest; von der Ausgangszeile; an der bezeichneten Stelle, an der bezeichneten Stelle und mit der lokalen Variante.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
3	G407-E0135	G407-S005	f1r	SOURCE_SECTION_T	daiy	D_ADDR+A_ADDR+LOCAL_CHAR_I+Y	GDT575-D003	an der bezeichneten Stelle	DIFFERENT_ROOTS_RAW_ADJACENT	1	1	Im laufenden Gang lege den laufenden Eintrag fest; an der bezeichneten Stelle, an der bezeichneten Stelle und mit der lokalen Variante.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
4	G407-E0152	G407-S005	f1r	SOURCE_SECTION_T	dloo	D_ADDR+L+O+O	GDT575-D004	als Ausführung	SAME_ROOT_RAW_ADJACENT	1	1	Im laufenden Gang wähle denselben laufenden Eintrag; über die Eintragsverbindung; als Ausführung und als Ausführung; an der bezeichneten Stelle.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
5	G407-E0217	G407-S008	f10r	HERBAL	octhody	O+CH+T+O+D_ADDR+Y	GDT575-D005	als Ausführung	SAME_ROOT_INTERRUPTED	1	1	Nimm den Pflanzenposten und stelle ihn ein; als Ausführung und als Ausführung; an der bezeichneten Stelle.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
6	G407-E0315	G407-S011	f11r	HERBAL	socthody	S+O+CH+T+O+D_ADDR+Y	GDT575-D006	als Ausführung	SAME_ROOT_INTERRUPTED	1	1	Wähle den Pflanzenposten, nimm ihn und stelle ihn ein; als Ausführung und als Ausführung; an der bezeichneten Stelle.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
7	G407-E0333	G407-S011	f11r	HERBAL	dod	D_ADDR+O+D_ADDR	GDT575-D007	an der bezeichneten Stelle	SAME_ROOT_INTERRUPTED	1	1	Im laufenden Gang nimm denselben Arbeitswert; als Ausführung; an der bezeichneten Stelle und an der bezeichneten Stelle.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
8	G407-E0400	G407-S012	f13r	HERBAL	shorodo	SH+OR+O+D_ADDR+O	GDT575-D008	als Ausführung	SAME_ROOT_INTERRUPTED	1	1	Halte die Arbeitseinheit; als Ausführung und als Ausführung; an der bezeichneten Stelle.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
9	G407-E0444	G407-S018	f17r	HERBAL	daram	DA+R+A_ADDR+AM_ADDR	GDT575-D009	an der bezeichneten Stelle	DIFFERENT_ROOTS_RAW_ADJACENT	1	1	Markiere; auf der zweiten Stufe; an der bezeichneten Stelle und an der bezeichneten Stelle.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
10	G407-E0465	G407-S021	f17r	HERBAL	qodam	O+D_ADDR+AM_ADDR	GDT575-D010	an der bezeichneten Stelle	DIFFERENT_ROOTS_RAW_ADJACENT	1	1	Im laufenden Gang wähle denselben Pflanzenposten; als Ausführung; an der bezeichneten Stelle und an der bezeichneten Stelle.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
