product_handle	owner_sigil	herbal_page	statement_id	product_family	internal_workshop_name_de	predecessor_product	cards_in_statement	statement_closed	external_plant_or_product_name
A.G1	A	f10r	H1-S001	GRUNDANSATZ	erster Grundansatz der Bildpflanze A	NONE	10	NO	UNNAMED
A.G2	A	f10r	H1-S002	GRUNDANSATZ	weitergeführter wässriger Grundansatz A	NONE	4	NO	UNNAMED
A.Z1	A	f10r	H2-S001	ZWEIGANSATZ	erster abgezweigter Ansatz aus A.G2	A.G2	9	NO	UNNAMED
A.Z2	A	f10r	H2-S002	ZWEIGANSATZ	weitergeführter Zweigansatz A.Z1	A.Z1	8	NO	UNNAMED
A.Z3	A	f10r	H2-S003	ZWEIGANSATZ	ergänzter Zweigansatz der Bildpflanze A	NONE	7	NO	UNNAMED
B.X1	B	f11r	H3-S001	AUSZUG	erster geschlossener Durchgangsauszug der Bildpflanze B	NONE	7	YES	UNNAMED
B.X2	B	f11r	H3-S002	AUSZUG	nachbearbeiteter und aufgenommener Auszug B.X1	B.X1	1	NO	UNNAMED
B.X3	B	f11r	H3-S003	AUSZUGSPORTION	davon genommene Portion aus B.X2	B.X2	5	NO	UNNAMED
B.X4	B	f11r	H3-S004	AUSZUGSFORTSETZUNG	offene Fortsetzung der Auszugsportion B.X3	B.X3	4	NO	UNNAMED
C.M1	C	f55v	H4-S001	MESSANSATZ	erster gemessener Ansatz der Bildpflanze C	NONE	5	YES	UNNAMED
C.M2	C	f55v	H4-S002	MESSANSATZ	übertragener und beiseitegestellter Messansatz C.M1	C.M1	3	NO	UNNAMED
C.W1	C	f55v	H4-S003	WARMANSATZ	erwärmter zweiter Ansatz der Bildpflanze C	NONE	4	YES	UNNAMED
C.W2	C	f55v	H4-S004	WARME_ZIELPORTION	warme Zielportion aus C.W1	C.W1	6	NO	UNNAMED
D.I1	D	f56r	H5-S001	ZUTATENANSATZ	erster Zutatenansatz der Bildpflanze D	NONE	9	NO	UNNAMED
D.P1	D	f56r	H5-S002	DURCHLASSANSATZ	geschlossener Durchlassansatz aus D.I1	D.I1	4	YES	UNNAMED
D.I2	D	f56r	H5-S003	ZUTATENFORTSETZUNG	kurze Zutatenfortsetzung nach D.P1	D.P1	4	NO	UNNAMED
D.A1	D	f56r	H5-S004	ANWENDUNGSPOSTEN	Zielanwendungsposten der Bildpflanze D	NONE	3	NO	UNNAMED
D.P2	D	f56r	H5-S005	DURCHLASSPORTION	Durchlassportion aus D.A1	D.A1	4	NO	UNNAMED
D.P3	D	f56r	H5-S006	DURCHLASSFORTSETZUNG	gemessene offene Durchlassfortsetzung D.P2	D.P2	3	NO	UNNAMED
