line_no	visible_no	source_position	owner_code	microcycle	visibility_role	faulty_surface	correct_surface	surface_changed_by_corrector	source_contribution	correct_joint_tuple_id	fault_class
1	1	1	H4	C1	SOURCE	sho	sho	NO	1	2cc054357a929df85f64	NONE
1	2	2	H4	C1	SOURCE	or	or	NO	1	7a4bb8136330ee4e6e56	NONE
1	3	3	H4	C1	SOURCE	cheoar	cheoar	NO	1	807591efc3d3f7ddbfab	NONE
1	4	4	H4	C1	MARKED_ANTICIPATION	cheky	cheky	NO	0	d904bf7b044dd3922781	NONE
2	1	4	H4	C1	SOURCE	cheky	cheky	NO	1	d904bf7b044dd3922781	NONE
3	1	5	H4	C2	SOURCE	lcheey	lcheey	NO	1	5fca8fc3dee57e1d8c1f	NONE
3	2	6	H4	C2	SOURCE	cphy	cphy	NO	1	deb377381ceaf55ea310	NONE
3	3	7	H4	C2	SOURCE	checthy	checthy	NO	1	e0b630cb1b5df5e7105b	NONE
4	1	8	B3	C3	SOURCE	dy	dy	NO	1	b921a237be883a820352	NONE
4	2	9	B3	C3	SOURCE	daiin	daiin	NO	1	2f1c5e56e8f0ff459065	NONE
4	3	10	B3	C3	SOURCE	shckhy	shckhy	NO	1	2cc8bb3c2af19607888f	NONE
4	4	11	B3	C3	SOURCE	qoky	qoky	NO	1	276a7c2d74d1143446f4	NONE
5	1	12	B3	C4	SOURCE	qokeedy	qokeey	YES	1	0275fbf14e07935b0a45	ENDPOINT_DY_FOR_Y
5	2	13	B3	C4	SOURCE	qokedy	qokedy	NO	1	7db18b2f0fb7ed0fcfd3	NONE
5	3	14	B3	C4	SOURCE	talam	talam	NO	1	e026af581c99322fbd46	NONE
