source_position	board_call_only	owner_code	microcycle	faulty_surface	corrected_surface	expected_joint_tuple_id	corrected_identity_match	changed	hidden_atomic_value_de
1	H4:C1:01@2cc05435	H4	C1	sho	sho	2cc054357a929df85f64	YES	NO	Zutat
2	H4:C1:02@7a4bb813	H4	C1	or	or	7a4bb8136330ee4e6e56	YES	NO	Ansatz
3	H4:C1:03@807591ef	H4	C1	cheoar	cheoar	807591efc3d3f7ddbfab	YES	NO	Auszugnahme
4	H4:C1:04@d904bf7b	H4	C1	cheky	cheky	d904bf7b044dd3922781	YES	NO	Kurzwärme
5	H4:C2:05@5fca8fc3	H4	C2	lcheey	lcheey	5fca8fc3dee57e1d8c1f	YES	NO	Klarabzug
6	H4:C2:06@deb37738	H4	C2	cphy	cphy	deb377381ceaf55ea310	YES	NO	Nachseihen
7	H4:C2:07@e0b630cb	H4	C2	checthy	checthy	e0b630cb1b5df5e7105b	YES	NO	Bereit
8	B3:C3:08@b921a237	B3	C3	dy	dy	b921a237be883a820352	YES	NO	Diesposten
9	B3:C3:09@2f1c5e56	B3	C3	daiin	daiin	2f1c5e56e8f0ff459065	YES	NO	Sollmaß
10	B3:C3:10@2cc8bb3c	B3	C3	shckhy	shckhy	2cc8bb3c2af19607888f	YES	NO	durchleiten
11	B3:C3:11@276a7c2d	B3	C3	qoky	qoky	276a7c2d74d1143446f4	YES	NO	Einsetzen
12	B3:C4:12@0275fbf1	B3	C4	qokeedy	qokeey	0275fbf14e07935b0a45	YES	YES	Langkontakt
13	B3:C4:13@7db18b2f	B3	C4	qokedy	qokedy	7db18b2f0fb7ed0fcfd3	YES	NO	Kurzkontakt
14	B3:C4:14@e026af58	B3	C4	talam	talam	e026af581c99322fbd46	YES	NO	Verwahren
