day	session	duration_hours	instruction_de	master_present	copybook_open
1	1	2	Meister zeigt und spricht neue Zeichen	YES	YES
1	2	2	Lehrling sortiert sie in den richtigen Kasten	YES	YES
1	3	2	Bestehende Karten abschreiben und ruecklesen	YES	YES
2	1	2	Neue Hilfshandlungen mit Gesten lernen	YES	YES
2	2	2	Zwei- und Dreiaktionsketten aus dem Buch suchen	YES	YES
2	3	2	Fehlkopien verbessern und laut ruecklesen	YES	YES
3	1	2	Bildbesitzer gegen Kartenwert trennen	YES	YES
3	2	2	Quelle Ziel Lauf Ansatz und Dies an Bildern ueben	YES	YES
3	3	2	Recordabschnitte mit Besitzerwechsel kopieren	YES	YES
4	1	2	Portion Mass Stufe und Grade sprechen	YES	YES
4	2	2	Y gegen lizenzierte DY-Endkarte ueben	YES	YES
4	3	2	Drei Ganzbefehle ohne Zerlegung kopieren	YES	YES
5	1	2	Zwölf Familien hören und Rezept nennen	YES	YES
5	2	2	Karten- und Oberflaechenwahl in48 Drills	YES	YES
5	3	2	Haeufige Fehler gegenseitig korrigieren	YES	YES
6	1	2	34 Reiter und zehn Doppelzeilen benutzen	YES	YES
6	2	2	Seltene Ein- bis Dreischrittvarianten suchen	YES	YES
6	3	2	Zwölf schwerste Karten mit offenem Buch kopieren	YES	YES
7	1	2	H3 Pflanzenrecord schreiben	YES	YES
7	2	2	B1 Beckenrecord schreiben	YES	YES
7	3	2	B6 Nebenstation schreiben und alle drei ruecklesen	YES	YES
