error_id	error	symptom_de	master_correction_de
E01	MASS_AS_PORTION	AIIN als PORTION	AIIN=MASS; AIN=PORTION
E02	SOURCE_TARGET_SWAP	AR und AL vertauscht	AR=QUELLE; AL=ZIEL
E03	Y_AS_CLOSE	sichtbares dy schliesst automatisch	Y=DIES; nur lizenzierte Endkarte schliesst
E04	EE_AS_CLOSE	LANG beendet den Gang	EE ist nur Grad; Endkarte gesondert suchen
E05	OT_AS_OL	DANACH und FORTSETZEN vertauscht	OT neuer Folgegang; OL gleicher Gang
E06	FREE_SURFACE_SPELLING	Oberflaeche aus Bausteinen erfunden	nur vorhandene Kartenform kopieren
E07	WRONG_DOUBLE_VARIANT	falsche Karte einer Doppelzeile	Seite Record und lokales Exemplar vergleichen
E08	OWNER_OMITTED	DIES ohne Bildbesitzer gelesen	Besitzer vor dem Rezept merken
E09	LINE_AS_SENTENCE_END	am Zeilenende unnoetig geschlossen	Aussage darf ueber die Zeile weiterlaufen
E10	WHOLE_CARD_SPLIT	FACH oder VERWAHREN zerlegt	Nomenklatorbefehle als Ganzes lernen
