cell_id	body	head	form	occurrences	lower_stage_form	lower_stage_occurrences	current_neighbor_frames	lower_neighbor_frames	exact_shared_neighbor_frames	shared_frame_examples	transfer_reading_de	status
G637-C01	aiir	p	paiir	2	pair	4	2	4	0		paiir erhöht gegenüber pair nur die sichtbare Stufe; Kopf und Feld bleiben gleich	ATTESTED_TRANSFER
G637-C02	aiir	s	saiir	1	sair	22	1	22	0		saiir erhöht gegenüber sair nur die sichtbare Stufe; Kopf und Feld bleiben gleich	ATTESTED_TRANSFER
G637-C03	aiir	r	raiir	1	rair	4	1	4	0		raiir erhöht gegenüber rair nur die sichtbare Stufe; Kopf und Feld bleiben gleich	ATTESTED_TRANSFER
G637-C04	aiir	l	laiir	0	lair	1	0	1	0		laiir erhöht gegenüber lair nur die sichtbare Stufe; Kopf und Feld bleiben gleich	VISIBLE_PREDICTION
G637-C05	oiiin	p	poiiin	0	poiin	2	0	2	0		poiiin erhöht gegenüber poiin nur die sichtbare Stufe; Kopf und Feld bleiben gleich	VISIBLE_PREDICTION
G637-C06	oiiin	s	soiiin	3	soiin	15	3	14	0		soiiin erhöht gegenüber soiin nur die sichtbare Stufe; Kopf und Feld bleiben gleich	ATTESTED_TRANSFER
G637-C07	oiiin	r	roiiin	1	roiin	4	1	4	0		roiiin erhöht gegenüber roiin nur die sichtbare Stufe; Kopf und Feld bleiben gleich	ATTESTED_TRANSFER
G637-C08	oiiin	l	loiiin	1	loiin	4	1	4	0		loiiin erhöht gegenüber loiin nur die sichtbare Stufe; Kopf und Feld bleiben gleich	ATTESTED_TRANSFER
G637-C09	aim	p	paim	0	pam	1	0	1	0		paim erhöht gegenüber pam nur die sichtbare Stufe; Kopf und Feld bleiben gleich	VISIBLE_PREDICTION
G637-C10	aim	s	saim	2	sam	7	2	7	0		saim erhöht gegenüber sam nur die sichtbare Stufe; Kopf und Feld bleiben gleich	ATTESTED_TRANSFER
G637-C11	aim	r	raim	0	ram	11	0	11	0		raim erhöht gegenüber ram nur die sichtbare Stufe; Kopf und Feld bleiben gleich	VISIBLE_PREDICTION
G637-C12	aim	l	laim	0	lam	5	0	5	0		laim erhöht gegenüber lam nur die sichtbare Stufe; Kopf und Feld bleiben gleich	VISIBLE_PREDICTION
G637-C13	aiim	p	paiim	0	paim	0	0	0	0		paiim erhöht gegenüber paim nur die sichtbare Stufe; Kopf und Feld bleiben gleich	VISIBLE_PREDICTION
G637-C14	aiim	s	saiim	1	saim	2	1	2	0		saiim erhöht gegenüber saim nur die sichtbare Stufe; Kopf und Feld bleiben gleich	ATTESTED_TRANSFER
G637-C15	aiim	r	raiim	0	raim	0	0	0	0		raiim erhöht gegenüber raim nur die sichtbare Stufe; Kopf und Feld bleiben gleich	VISIBLE_PREDICTION
G637-C16	aiim	l	laiim	0	laim	0	0	0	0		laiim erhöht gegenüber laim nur die sichtbare Stufe; Kopf und Feld bleiben gleich	VISIBLE_PREDICTION
