rank	score	strict_eligible	page	locus	section	language	hand	token_count	known_tokens	context_licensed_tokens	ambiguous_tokens	reader_unstable_tokens	unknown_tokens	coverage_fraction	reader_exact_tokens	split_normalized_tokens	all_three_present	all_present_exact	zl3b_line	token_glosses_de	gloss_sources	scope_states	unknown_ordinals	unknown_surfaces	unknown_ordinal	unknown_surface	previous	following	proposed_default_de	proposal_basis	proposal_strength	proposed_complete_translation_de
1	6409300	1	f4r	f4r.3	H	A	1	7	6	4	0	0	1	0.857143	7	7	1	1	otchol chol chy chaiin qotaiin daiin shain	[otchol:?] | trocken; nominal trockenes Gut/Material | trocken, Grundform | trocken, Grad III | kalt, Grad III | Grad-/Maßwert III | feucht, Grad II	OPEN | V13:DRY_OL_FORM | V13:TARGET_SURFACE_DEFAULT | V13:QUALITY_DEGREE_SERIES | V13:TARGET_SURFACE_DEFAULT | V13:CONTEXTUAL_VALUE_SERIES | V13:QUALITY_DEGREE_SERIES	UNKNOWN_SURFACE | KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED | KNOWN_CONTEXT_LICENSED	1	otchol	1	otchol	<BOS>	chol	kalt-trockenes Zubereitungsmaterial	MANUAL_COMPOSITION:o frame + t cold + ch dry + ol material	HIGH	kalt-trockenes Zubereitungsmaterial; trocken; nominal trockenes Gut/Material; trocken, Grundform; trocken, Grad III; kalt, Grad III; Grad-/Maßwert III; feucht, Grad II
2	6309300	1	f47v	f47v.4	H	A	1	7	6	1	0	0	1	0.857143	7	7	1	1	qotol sheey kol sho keechy qoty cthy	kaltes Material | feucht, Bindungsstufe II | heiß; nominal heißes Gut/Material | feuchter Ansatz | [keechy:?] | kalt, Grundform | CTH-Drogenmaterial	V13:TARGET_SURFACE_DEFAULT | V13:TARGET_SURFACE_DEFAULT | V13:HOT_OL_FORM | V13:TARGET_SURFACE_DEFAULT | OPEN | V13:TARGET_SURFACE_DEFAULT | V13:TARGET_SURFACE_DEFAULT	KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE | UNKNOWN_SURFACE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE	5	keechy	5	keechy	sho	qoty	heiß gebundene Trockenform II	MANUAL_COMPOSITION:k hot + ee form II + ch-y dry base	MEDIUM	kaltes Material; feucht, Bindungsstufe II; heiß; nominal heißes Gut/Material; feuchter Ansatz; heiß gebundene Trockenform II; kalt, Grundform; CTH-Drogenmaterial
3	5309400	1	f29r	f29r.6	H	A	1	6	5	5	0	0	1	0.833333	6	6	1	1	chokshy shocthy shor shor daiin qokaiiin	[chokshy:?] | feuchte CTH-Drogenzubereitung; im Herbal feuchte Blatt-/Krautzubereitung | Blüten-/Fruchtstand; reproduktiver Teil | Blüten-/Fruchtstand; reproduktiver Teil | Menge/Portion III | heiß im qo-Rahmen, Grad IV	OPEN | V13:MOIST_CTH_PREPARATION | V13:PART_OR_FORM | V13:PART_OR_FORM | V13:CONTEXTUAL_VALUE_SERIES | V13:QUALITY_DEGREE_SERIES	UNKNOWN_SURFACE | KNOWN_CONTEXT_LICENSED | KNOWN_CONTEXT_LICENSED | KNOWN_CONTEXT_LICENSED | KNOWN_CONTEXT_LICENSED | KNOWN_CONTEXT_LICENSED	1	chokshy	1	chokshy	<BOS>	shocthy	trocken angesetzte heiß-feuchte Grundform	MANUAL_COMPOSITION:ch dry + o frame + k/sh quality pair + y base	MEDIUM	trocken angesetzte heiß-feuchte Grundform; feuchte CTH-Drogenzubereitung; im Herbal feuchte Blatt-/Krautzubereitung; Blüten-/Fruchtstand; reproduktiver Teil; Blüten-/Fruchtstand; reproduktiver Teil; Menge/Portion III; heiß im qo-Rahmen, Grad IV
4	4409500	1	f15v	f15v.10	H	A	1	5	4	1	0	0	1	0.800000	5	5	1	1	sor chor cthoiin cthy qokaiin	Samenportion | Pflanzen-/Reproduktionsteil | [cthoiin:?] | CTH-Drogenmaterial | heiß, Grad III	V13:SCOPED_CONCRETE_HEAD_FORM | V13:PART_OR_FORM | OPEN | V13:TARGET_SURFACE_DEFAULT | V13:TARGET_SURFACE_DEFAULT	KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED | UNKNOWN_SURFACE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE	3	cthoiin	3	cthoiin	chor	cthy	Blatt-/Krautzubereitung, Form III	MANUAL_COMPOSITION:cth plant-drug head + oiin form III	HIGH	Samenportion; Pflanzen-/Reproduktionsteil; Blatt-/Krautzubereitung, Form III; CTH-Drogenmaterial; heiß, Grad III
5	4409500	1	f49r	f49r.12	H	A	1	5	4	2	0	0	1	0.800000	5	5	1	1	podaiin cheo kcho daiin chcthy	Pulverzubereitung, Dosis III | trocken angesetzte Zubereitung | [kcho:?] | Grad-/Maßwert III | trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut	V13:SCOPED_RESIDUAL_HEAD_FORM | V13:TARGET_SURFACE_DEFAULT | OPEN | V13:CONTEXTUAL_VALUE_SERIES | V13:DRY_CTH_MATERIAL	KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | UNKNOWN_SURFACE | KNOWN_CONTEXT_LICENSED | KNOWN_CONTEXT_LICENSED	3	kcho	3	kcho	cheo	daiin	heiß-trockener Ansatz	MANUAL_COMPOSITION:GDT636 concrete f49r.12 span: k + ch + o	HIGH	Pulverzubereitung, Dosis III; trocken angesetzte Zubereitung; heiß-trockener Ansatz; Grad-/Maßwert III; trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut
6	4109500	1	f4r	f4r.8	H	A	1	5	4	3	0	0	1	0.800000	5	5	1	1	shor shol shol cthy cpholdy	Blüten-/Fruchtstand; reproduktiver Teil | feucht; nominal feuchtes Gut/Material | feucht; nominal feuchtes Gut/Material | CTH-Drogenmaterial | [cpholdy:?]	V13:PART_OR_FORM | V13:MOIST_OL_FORM | V13:MOIST_OL_FORM | V13:TARGET_SURFACE_DEFAULT | OPEN	KNOWN_CONTEXT_LICENSED | KNOWN_CONTEXT_LICENSED | KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE | UNKNOWN_SURFACE	5	cpholdy	5	cpholdy	cthy	<EOS>	cpholdy: ungeklärt	OPAQUE_REMAINDER_NO_FORCED_COMPOSITION	OPEN	Blüten-/Fruchtstand; reproduktiver Teil; feucht; nominal feuchtes Gut/Material; feucht; nominal feuchtes Gut/Material; CTH-Drogenmaterial; cpholdy: ungeklärt
7	3409600	1	f10r	f10r.5	H	A	1	4	3	1	0	0	1	0.750000	4	4	1	1	qokchy qotchol chol cthy	heiß-trocken | [qotchol:?] | trocken; nominal trockenes Gut/Material | CTH-Drogenmaterial	V13:TARGET_SURFACE_DEFAULT | OPEN | V13:DRY_OL_FORM | V13:TARGET_SURFACE_DEFAULT	KNOWN_EXACT_WHOLE | UNKNOWN_SURFACE | KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE	2	qotchol	2	qotchol	qokchy	chol	kalt-trockenes Material	MANUAL_COMPOSITION:qo frame + t cold + ch dry + ol material	HIGH	heiß-trocken; kalt-trockenes Material; trocken; nominal trockenes Gut/Material; CTH-Drogenmaterial
8	3409600	1	f15v	f15v.12	H	A	1	4	3	3	0	0	1	0.750000	4	4	1	1	daiin cthor chol chor	Grad-/Maßwert III | [cthor:?] | trocken; nominal trockenes Gut/Material | Pflanzen-/Reproduktionsteil	V13:CONTEXTUAL_VALUE_SERIES | OPEN | V13:DRY_OL_FORM | V13:PART_OR_FORM	KNOWN_CONTEXT_LICENSED | UNKNOWN_SURFACE | KNOWN_CONTEXT_LICENSED | KNOWN_CONTEXT_LICENSED	2	cthor	2	cthor	daiin	chol	Blatt-/Krautportion	MANUAL_COMPOSITION:cth plant-drug head + or portion	HIGH	Grad-/Maßwert III; Blatt-/Krautportion; trocken; nominal trockenes Gut/Material; Pflanzen-/Reproduktionsteil
9	3409600	1	f28v	f28v.3	H	A	1	4	3	2	0	0	1	0.750000	4	4	1	1	chor chol chy choiin	Pflanzen-/Reproduktionsteil | trocken; nominal trockenes Gut/Material | trocken, Grundform | [choiin:?]	V13:PART_OR_FORM | V13:DRY_OL_FORM | V13:TARGET_SURFACE_DEFAULT | OPEN	KNOWN_CONTEXT_LICENSED | KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE | UNKNOWN_SURFACE	4	choiin	4	choiin	chy	<EOS>	Trockenansatz, Form III	MANUAL_COMPOSITION:ch dry + oiin preparation form III	HIGH	Pflanzen-/Reproduktionsteil; trocken; nominal trockenes Gut/Material; trocken, Grundform; Trockenansatz, Form III
10	3309600	1	f93r	f93r.21	H	A	1	4	3	3	0	0	1	0.750000	4	4	1	1	dol shol daiin shcthy	[dol:?] | feucht; nominal feuchtes Gut/Material | Qualitätsgrad III | feuchte CTH-Materialform; im Herbal feuchtes Blatt-/Krautgut	OPEN | V13:MOIST_OL_FORM | V13:CONTEXTUAL_VALUE_SERIES | V13:MOIST_CTH_MATERIAL	UNKNOWN_SURFACE | KNOWN_CONTEXT_LICENSED | KNOWN_CONTEXT_LICENSED | KNOWN_CONTEXT_LICENSED	1	dol	1	dol	<BOS>	shol	abgemessenes Material	MANUAL_COMPOSITION:d value head + ol material	MEDIUM	abgemessenes Material; feucht; nominal feuchtes Gut/Material; Qualitätsgrad III; feuchte CTH-Materialform; im Herbal feuchtes Blatt-/Krautgut
