proposal_id	surface	candidate_lines	pages	strict_candidate_lines	proposed_default_de	proposal_basis	proposal_strength	example_loci	status
G637-P001	qoky	2	2	1	heiß, Grundform	MANUAL_COMPOSITION:qok quality head + terminal base y	MEDIUM	f79v.4|f13v.5	WORKSHEET_PROPOSAL_NOT_IN_V14
G637-P002	choiin	1	1	1	Trockenansatz, Form III	MANUAL_COMPOSITION:ch dry + oiin preparation form III	HIGH	f28v.3	WORKSHEET_PROPOSAL_NOT_IN_V14
G637-P003	cthoiin	1	1	1	Blatt-/Krautzubereitung, Form III	MANUAL_COMPOSITION:cth plant-drug head + oiin form III	HIGH	f15v.10	WORKSHEET_PROPOSAL_NOT_IN_V14
G637-P004	cthor	1	1	1	Blatt-/Krautportion	MANUAL_COMPOSITION:cth plant-drug head + or portion	HIGH	f15v.12	WORKSHEET_PROPOSAL_NOT_IN_V14
G637-P005	kcho	1	1	1	heiß-trockener Ansatz	MANUAL_COMPOSITION:GDT636 concrete f49r.12 span: k + ch + o	HIGH	f49r.12	WORKSHEET_PROPOSAL_NOT_IN_V14
G637-P006	oaiir	1	1	1	Zubereitungs-Teilklasse III	MANUAL_COMPOSITION:o preparation head + aiir part/sort class III	HIGH	f7r.5	WORKSHEET_PROPOSAL_NOT_IN_V14
G637-P007	otchol	1	1	1	kalt-trockenes Zubereitungsmaterial	MANUAL_COMPOSITION:o frame + t cold + ch dry + ol material	HIGH	f4r.3	WORKSHEET_PROPOSAL_NOT_IN_V14
G637-P008	qotchol	1	1	1	kalt-trockenes Material	MANUAL_COMPOSITION:qo frame + t cold + ch dry + ol material	HIGH	f10r.5	WORKSHEET_PROPOSAL_NOT_IN_V14
G637-P009	chear	1	1	1	trocken, Fraktion	VISIBLE_MULTI_FIELD_COMPOSITION	MEDIUM	f8v.17	WORKSHEET_PROPOSAL_NOT_IN_V14
G637-P010	chokshy	1	1	1	trocken angesetzte heiß-feuchte Grundform	MANUAL_COMPOSITION:ch dry + o frame + k/sh quality pair + y base	MEDIUM	f29r.6	WORKSHEET_PROPOSAL_NOT_IN_V14
G637-P011	doiin	1	1	1	Dosis der Zubereitungsform III	MANUAL_COMPOSITION:d dose/value head + oiin preparation form III	MEDIUM	f35v.21	WORKSHEET_PROPOSAL_NOT_IN_V14
G637-P012	dol	1	1	1	abgemessenes Material	MANUAL_COMPOSITION:d value head + ol material	MEDIUM	f93r.21	WORKSHEET_PROPOSAL_NOT_IN_V14
G637-P013	keechy	1	1	1	heiß gebundene Trockenform II	MANUAL_COMPOSITION:k hot + ee form II + ch-y dry base	MEDIUM	f47v.4	WORKSHEET_PROPOSAL_NOT_IN_V14
G637-P014	okeey	1	1	1	heiß, Zubereitung/Ansatz, Grundform	VISIBLE_MULTI_FIELD_COMPOSITION	MEDIUM	f75v.51	WORKSHEET_PROPOSAL_NOT_IN_V14
G637-P015	olcthr	1	1	1	Blatt-/Krautgut, Zubereitung/Ansatz	VISIBLE_MULTI_FIELD_COMPOSITION	MEDIUM	f87v.16	WORKSHEET_PROPOSAL_NOT_IN_V14
G637-P016	olekor	1	1	1	Material/Zubereitungsstoff, Zubereitung/Ansatz	VISIBLE_MULTI_FIELD_COMPOSITION	MEDIUM	f99v.28	WORKSHEET_PROPOSAL_NOT_IN_V14
G637-P017	orol	1	1	1	Material/Zubereitungsstoff, Zubereitung/Ansatz	VISIBLE_MULTI_FIELD_COMPOSITION	MEDIUM	f80v.44	WORKSHEET_PROPOSAL_NOT_IN_V14
