cell_id	body	components	body_working_value_de	family	stage	head	head_class	form	working_default_de	occurrences	pages	loci	reader_exact_occurrences	line_first	line_middle	line_last	rival_de	composition_basis	status
G637-C01	aiir	a+ii+R	Teil-/Sortierklasse III	PART_CLASS	III	p	ENTRY	paiir	Pulver: Teil-/Sortierklasse III	2	2	2	2	1	1	0	Fraktions-/Qualitätsklasse III	setzt ar/air mit genau einem zusätzlichen i-Minim fort	ATTESTED_SCOPED_LADDER_DEFAULT
G637-C02	aiir	a+ii+R	Teil-/Sortierklasse III	PART_CLASS	III	s	ENTRY	saiir	Samendroge: Teil-/Sortierklasse III	1	1	1	0	1	0	0	Fraktions-/Qualitätsklasse III	setzt ar/air mit genau einem zusätzlichen i-Minim fort	ATTESTED_SCOPED_LADDER_DEFAULT
G637-C03	aiir	a+ii+R	Teil-/Sortierklasse III	PART_CLASS	III	r	INGREDIENT	raiir	Wurzeldroge: Teil-/Sortierklasse III	1	1	1	0	0	1	0	Fraktions-/Qualitätsklasse III	setzt ar/air mit genau einem zusätzlichen i-Minim fort	ATTESTED_SCOPED_LADDER_DEFAULT
G637-C04	aiir	a+ii+R	Teil-/Sortierklasse III	PART_CLASS	III	l	INGREDIENT	laiir	Drogenholz: Teil-/Sortierklasse III	0	0	0	0	0	0	0	Fraktions-/Qualitätsklasse III	setzt ar/air mit genau einem zusätzlichen i-Minim fort	PREDICTED_UNATTESTED_CELL
G637-C05	oiiin	o+iiin	Formklasse IV	PREPARATION_FORM	IV	p	ENTRY	poiiin	Pulver: Formklasse IV	0	0	0	0	0	0	0	Zubereitungs-/Chargenklasse IV oder gelerntes Ganzwort	setzt on/oin/oiin mit der vierten sichtbaren Minimstufe fort	PREDICTED_UNATTESTED_CELL
G637-C06	oiiin	o+iiin	Formklasse IV	PREPARATION_FORM	IV	s	ENTRY	soiiin	Samendroge: Formklasse IV	3	3	3	3	2	1	0	Zubereitungs-/Chargenklasse IV oder gelerntes Ganzwort	setzt on/oin/oiin mit der vierten sichtbaren Minimstufe fort	ATTESTED_SCOPED_LADDER_DEFAULT
G637-C07	oiiin	o+iiin	Formklasse IV	PREPARATION_FORM	IV	r	INGREDIENT	roiiin	Wurzeldroge: Formklasse IV	1	1	1	0	0	0	1	Zubereitungs-/Chargenklasse IV oder gelerntes Ganzwort	setzt on/oin/oiin mit der vierten sichtbaren Minimstufe fort	ATTESTED_SCOPED_LADDER_DEFAULT
G637-C08	oiiin	o+iiin	Formklasse IV	PREPARATION_FORM	IV	l	INGREDIENT	loiiin	Drogenholz: Formklasse IV	1	1	1	1	0	1	0	Zubereitungs-/Chargenklasse IV oder gelerntes Ganzwort	setzt on/oin/oiin mit der vierten sichtbaren Minimstufe fort	ATTESTED_SCOPED_LADDER_DEFAULT
G637-C09	aim	a+i+m	Mengenklasse II	QUANTITY_CLASS	II	p	ENTRY	paim	Pulver: Mengenklasse II	0	0	0	0	0	0	0	Charge-/Mischklasse II	setzt am/aim/aiim fort; Abschlussfunktion bleibt strikt zeilenfinal	PREDICTED_UNATTESTED_CELL
G637-C10	aim	a+i+m	Mengenklasse II	QUANTITY_CLASS	II	s	ENTRY	saim	Samendroge: Mengenklasse II	2	2	2	1	0	1	1	Charge-/Mischklasse II	setzt am/aim/aiim fort; Abschlussfunktion bleibt strikt zeilenfinal	ATTESTED_SCOPED_LADDER_DEFAULT
G637-C11	aim	a+i+m	Mengenklasse II	QUANTITY_CLASS	II	r	INGREDIENT	raim	Wurzeldroge: Mengenklasse II	0	0	0	0	0	0	0	Charge-/Mischklasse II	setzt am/aim/aiim fort; Abschlussfunktion bleibt strikt zeilenfinal	PREDICTED_UNATTESTED_CELL
G637-C12	aim	a+i+m	Mengenklasse II	QUANTITY_CLASS	II	l	INGREDIENT	laim	Drogenholz: Mengenklasse II	0	0	0	0	0	0	0	Charge-/Mischklasse II	setzt am/aim/aiim fort; Abschlussfunktion bleibt strikt zeilenfinal	PREDICTED_UNATTESTED_CELL
G637-C13	aiim	a+ii+m	Mengenklasse III	QUANTITY_CLASS	III	p	ENTRY	paiim	Pulver: Mengenklasse III	0	0	0	0	0	0	0	Abschluss-/Charge-/Mischklasse III	dritte sichtbare A-M-Stufe; Abschlussfunktion bleibt strikt zeilenfinal	PREDICTED_UNATTESTED_CELL
G637-C14	aiim	a+ii+m	Mengenklasse III	QUANTITY_CLASS	III	s	ENTRY	saiim	Samendroge: Mengenklasse III	1	1	1	1	0	0	1	Abschluss-/Charge-/Mischklasse III	dritte sichtbare A-M-Stufe; Abschlussfunktion bleibt strikt zeilenfinal	ATTESTED_SCOPED_LADDER_DEFAULT
G637-C15	aiim	a+ii+m	Mengenklasse III	QUANTITY_CLASS	III	r	INGREDIENT	raiim	Wurzeldroge: Mengenklasse III	0	0	0	0	0	0	0	Abschluss-/Charge-/Mischklasse III	dritte sichtbare A-M-Stufe; Abschlussfunktion bleibt strikt zeilenfinal	PREDICTED_UNATTESTED_CELL
G637-C16	aiim	a+ii+m	Mengenklasse III	QUANTITY_CLASS	III	l	INGREDIENT	laiim	Drogenholz: Mengenklasse III	0	0	0	0	0	0	0	Abschluss-/Charge-/Mischklasse III	dritte sichtbare A-M-Stufe; Abschlussfunktion bleibt strikt zeilenfinal	PREDICTED_UNATTESTED_CELL
