context_id	page	locus	section	language	hand	cell_id	body	head	form	working_default_de	token_ordinal	line_position	previous	following	reader_exact	split_normalized	zl3b_line
G637-X01	f102v1	f102v1.13	P	A	1	G637-C14	aiim	s	saiim	Samendroge: Mengenklasse III; Eintrag abgeschlossen	10	LAST	cheey	<EOS>	1	1	toiin ol daiin qkol cheol daiin qokar oaiin cheey saiim
G637-X02	f105r	f105r.20	S	B	3	G637-C01	aiir	p	paiir	Pulver: Teil-/Sortierklasse III	6	MIDDLE	ykair	olkaiin	1	1	s aiin chey teol ykair paiir olkaiin olfaiin odar al airody al teedar dam
G637-X03	f113v	f113v.28	S	B	3	G637-C01	aiir	p	paiir	Pulver: Teil-/Sortierklasse III	1	FIRST	<BOS>	oteey	1	1	paiir oteey l kaiin oox arash eey cphedy opcheody okalchdy qotol oky
G637-X04	f66r	f66r.71	T	B	5	G637-C02	aiir	s	saiir	Samendroge: Teil-/Sortierklasse III	1	FIRST	<BOS>	cheol	0	0	saiir cheol kal sheody chcthedy dal shol qokeody chody kechody
G637-X05	f105r	f105r.26	S	B	3	G637-C03	aiir	r	raiir	Wurzeldroge: Teil-/Sortierklasse III	8	MIDDLE	qopchdy	oky	0	0	pdal sheey yqopchy airal sheey fchdy qopchdy raiir oky chdedy qodeedy qokedy
G637-X06	f46v	f46v.2	H	B	2	G637-C10	aim	s	saim	Samendroge: Mengenklasse II	11	MIDDLE	otedy	okey	1	1	ytair aiin otchdy okaly daiin qokedy otar ar oldy otedy saim okey tody daiin
G637-X07	f8r	f8r.21	H	A	1	G637-C10	aim	s	saim	Samendroge: Mengenklasse II; Eintrag abgeschlossen	2	LAST	schol	<EOS>	0	0	schol saim
G637-X08	f14r	f14r.2	H	A	1	G637-C06	oiiin	s	soiiin	Samendroge: Formklasse IV	3	MIDDLE	ykeey	chok	1	1	o ykeey soiiin chok qokchy da okol
G637-X09	f37v	f37v.15	H	A	1	G637-C06	oiiin	s	soiiin	Samendroge: Formklasse IV	1	FIRST	<BOS>	cheoky	1	1	soiiin cheoky daiin dain
G637-X10	f83r	f83r.24	B	B	2	G637-C06	oiiin	s	soiiin	Samendroge: Formklasse IV	1	FIRST	<BOS>	checthy	1	1	soiiin checthy chety otaiin olsaly shedy
G637-X11	f82v	f82v.32	B	B	2	G637-C07	oiiin	r	roiiin	Wurzeldroge: Formklasse IV	7	LAST	o	<EOS>	0	0	sar al loraiin chey qokain o roiiin
G637-X12	f102r1	f102r1.3	P	A	1	G637-C08	oiiin	l	loiiin	Drogenholz: Formklasse IV	4	MIDDLE	qoteol	oteeor	1	1	polaiin shocthy qoteol loiiin oteeor cpheodar sholdaiin
