rank	score	strict_eligible	page	locus	section	language	hand	token_count	known_tokens	context_licensed_tokens	ambiguous_tokens	reader_unstable_tokens	unknown_tokens	coverage_fraction	reader_exact_tokens	split_normalized_tokens	all_three_present	all_present_exact	zl3b_line	token_glosses_de	gloss_sources	scope_states	unknown_ordinals	unknown_surfaces	unknown_ordinal	unknown_surface	previous	following	proposed_default_de	proposal_basis	proposal_strength	proposed_complete_translation_de
1	7299200	0	f79v	f79v.4	B	B	2	8	7	1	0	2	1	0.875000	6	6	1	0	qokeedy qokeedy qotain sol chedy rchey qoky lchedy	heißer Zustand, Bindungsstufe II | heißer Zustand, Bindungsstufe II | kalt im qo-Rahmen, Grad II | Samenmaterial/Saatgut | getrockneter Zustand | Wurzel/Wurzeldroge, trocken gebunden, Form I | [qoky:?] | getrocknetes Drogenholz	V13:TARGET_SURFACE_DEFAULT | V13:TARGET_SURFACE_DEFAULT | V13:QUALITY_DEGREE_SERIES | V13:SCOPED_CONCRETE_HEAD_FORM | V13:TARGET_SURFACE_DEFAULT | V13:SCOPED_RESIDUAL_HEAD_FORM | OPEN | V13:SCOPED_CONCRETE_HEAD_FORM	KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE | UNKNOWN_SURFACE | READER_BOUNDARY_UNSTABLE	7	qoky	7	qoky	rchey	lchedy	heiß, Grundform	MANUAL_COMPOSITION:qok quality head + terminal base y	MEDIUM	heißer Zustand, Bindungsstufe II; heißer Zustand, Bindungsstufe II; kalt im qo-Rahmen, Grad II; Samenmaterial/Saatgut; getrockneter Zustand; Wurzel/Wurzeldroge, trocken gebunden, Form I; heiß, Grundform; getrocknetes Drogenholz
2	6409300	1	f4r	f4r.3	H	A	1	7	6	4	0	0	1	0.857143	7	7	1	1	otchol chol chy chaiin qotaiin daiin shain	[otchol:?] | trocken; nominal trockenes Gut/Material | trocken, Grundform | trocken, Grad III | kalt, Grad III | Grad-/Maßwert III | feucht, Grad II	OPEN | V13:DRY_OL_FORM | V13:TARGET_SURFACE_DEFAULT | V13:QUALITY_DEGREE_SERIES | V13:TARGET_SURFACE_DEFAULT | V13:CONTEXTUAL_VALUE_SERIES | V13:QUALITY_DEGREE_SERIES	UNKNOWN_SURFACE | KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED | KNOWN_CONTEXT_LICENSED	1	otchol	1	otchol	<BOS>	chol	kalt-trockenes Zubereitungsmaterial	MANUAL_COMPOSITION:o frame + t cold + ch dry + ol material	HIGH	kalt-trockenes Zubereitungsmaterial; trocken; nominal trockenes Gut/Material; trocken, Grundform; trocken, Grad III; kalt, Grad III; Grad-/Maßwert III; feucht, Grad II
3	6309300	1	f47v	f47v.4	H	A	1	7	6	1	0	0	1	0.857143	7	7	1	1	qotol sheey kol sho keechy qoty cthy	kaltes Material | feucht, Bindungsstufe II | heiß; nominal heißes Gut/Material | feuchter Ansatz | [keechy:?] | kalt, Grundform | CTH-Drogenmaterial	V13:TARGET_SURFACE_DEFAULT | V13:TARGET_SURFACE_DEFAULT | V13:HOT_OL_FORM | V13:TARGET_SURFACE_DEFAULT | OPEN | V13:TARGET_SURFACE_DEFAULT | V13:TARGET_SURFACE_DEFAULT	KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE | UNKNOWN_SURFACE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE	5	keechy	5	keechy	sho	qoty	heiß gebundene Trockenform II	MANUAL_COMPOSITION:k hot + ee form II + ch-y dry base	MEDIUM	kaltes Material; feucht, Bindungsstufe II; heiß; nominal heißes Gut/Material; feuchter Ansatz; heiß gebundene Trockenform II; kalt, Grundform; CTH-Drogenmaterial
4	5309400	1	f29r	f29r.6	H	A	1	6	5	5	0	0	1	0.833333	6	6	1	1	chokshy shocthy shor shor daiin qokaiiin	[chokshy:?] | feuchte CTH-Drogenzubereitung; im Herbal feuchte Blatt-/Krautzubereitung | Blüten-/Fruchtstand; reproduktiver Teil | Blüten-/Fruchtstand; reproduktiver Teil | Menge/Portion III | heiß im qo-Rahmen, Grad IV	OPEN | V13:MOIST_CTH_PREPARATION | V13:PART_OR_FORM | V13:PART_OR_FORM | V13:CONTEXTUAL_VALUE_SERIES | V13:QUALITY_DEGREE_SERIES	UNKNOWN_SURFACE | KNOWN_CONTEXT_LICENSED | KNOWN_CONTEXT_LICENSED | KNOWN_CONTEXT_LICENSED | KNOWN_CONTEXT_LICENSED | KNOWN_CONTEXT_LICENSED	1	chokshy	1	chokshy	<BOS>	shocthy	trocken angesetzte heiß-feuchte Grundform	MANUAL_COMPOSITION:ch dry + o frame + k/sh quality pair + y base	MEDIUM	trocken angesetzte heiß-feuchte Grundform; feuchte CTH-Drogenzubereitung; im Herbal feuchte Blatt-/Krautzubereitung; Blüten-/Fruchtstand; reproduktiver Teil; Blüten-/Fruchtstand; reproduktiver Teil; Menge/Portion III; heiß im qo-Rahmen, Grad IV
5	5299400	0	f15r	f15r.3	H	A	1	6	5	2	0	1	1	0.833333	4	4	1	0	qokaiin qotchy tydy daiin chol cthy	heiß, Grad III | kalt-trocken | [tydy:?] | Grad-/Maßwert III | trocken; nominal trockenes Gut/Material | CTH-Drogenmaterial	V13:TARGET_SURFACE_DEFAULT | V13:TARGET_SURFACE_DEFAULT | OPEN | V13:CONTEXTUAL_VALUE_SERIES | V13:DRY_OL_FORM | V13:TARGET_SURFACE_DEFAULT	KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE | UNKNOWN_SURFACE | KNOWN_CONTEXT_LICENSED | KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE	3	tydy	3	tydy	qotchy	daiin	kalt, fertig aufbereitete Form	VISIBLE_MULTI_FIELD_COMPOSITION	MEDIUM	heiß, Grad III; kalt-trocken; kalt, fertig aufbereitete Form; Grad-/Maßwert III; trocken; nominal trockenes Gut/Material; CTH-Drogenmaterial
6	5299400	0	f78r	f78r.38	B	B	2	6	5	0	1	1	1	0.833333	5	6	1	0	sar aiin oteedy ol aiin chedy	Samenfraktion I | Menge III | [oteedy:?] | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | Menge III | getrockneter Zustand	V13:SCOPED_RESIDUAL_HEAD_FORM | V13:TARGET_SURFACE_DEFAULT | OPEN | V13:QUALITY_STATE_MATERIAL_CARRIER | V13:TARGET_SURFACE_DEFAULT | V13:TARGET_SURFACE_DEFAULT	READER_BOUNDARY_UNSTABLE | KNOWN_EXACT_WHOLE | UNKNOWN_SURFACE | AMBIGUOUS_ACTIVE_RIVAL | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE	3	oteedy	3	oteedy	aiin	ol	kalt, Zubereitung/Ansatz, fertig aufbereitete Form	VISIBLE_MULTI_FIELD_COMPOSITION	MEDIUM	Samenfraktion I; Menge III; kalt, Zubereitung/Ansatz, fertig aufbereitete Form; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; Menge III; getrockneter Zustand
7	5299400	0	f81r	f81r.10	B	B	2	6	5	3	0	1	1	0.833333	5	5	1	0	chol dain otedy cheey qotain ly	trocken; nominal trockenes Gut/Material | Qualitätsgrad II | gekühlter Ansatz | [cheey:?] | kalt im qo-Rahmen, Grad II | rohes Drogenholz	V13:DRY_OL_FORM | V13:CONTEXTUAL_VALUE_SERIES | V13:TARGET_SURFACE_DEFAULT | OPEN | V13:QUALITY_DEGREE_SERIES | V13:SCOPED_RESIDUAL_HEAD_FORM	KNOWN_CONTEXT_LICENSED | KNOWN_CONTEXT_LICENSED | READER_BOUNDARY_UNSTABLE | UNKNOWN_SURFACE | KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE	4	cheey	4	cheey	otedy	qotain	trocken, Grundform	VISIBLE_MULTI_FIELD_COMPOSITION	MEDIUM	trocken; nominal trockenes Gut/Material; Qualitätsgrad II; gekühlter Ansatz; trocken, Grundform; kalt im qo-Rahmen, Grad II; rohes Drogenholz
8	5099400	0	f8v	f8v.8	H	A	1	6	5	4	0	1	1	0.833333	4	5	1	0	okcholksh chol chol chol cthaiin dain	[okcholksh:?] | trocken; nominal trockenes Gut/Material | trocken; nominal trockenes Gut/Material | trocken; nominal trockenes Gut/Material | Blatt-/Krautgut, Menge/Klasse III | Grad-/Maßwert II	OPEN | V13:DRY_OL_FORM | V13:DRY_OL_FORM | V13:DRY_OL_FORM | V13:PART_VALUE_SERIES | V13:CONTEXTUAL_VALUE_SERIES	UNKNOWN_SURFACE | KNOWN_CONTEXT_LICENSED | KNOWN_CONTEXT_LICENSED | KNOWN_CONTEXT_LICENSED | KNOWN_CONTEXT_LICENSED | READER_BOUNDARY_UNSTABLE	1	okcholksh	1	okcholksh	<BOS>	chol	okcholksh: ungeklärt	OPAQUE_REMAINDER_NO_FORCED_COMPOSITION	OPEN	okcholksh: ungeklärt; trocken; nominal trockenes Gut/Material; trocken; nominal trockenes Gut/Material; trocken; nominal trockenes Gut/Material; Blatt-/Krautgut, Menge/Klasse III; Grad-/Maßwert II
9	4409500	1	f15v	f15v.10	H	A	1	5	4	1	0	0	1	0.800000	5	5	1	1	sor chor cthoiin cthy qokaiin	Samenportion | Pflanzen-/Reproduktionsteil | [cthoiin:?] | CTH-Drogenmaterial | heiß, Grad III	V13:SCOPED_CONCRETE_HEAD_FORM | V13:PART_OR_FORM | OPEN | V13:TARGET_SURFACE_DEFAULT | V13:TARGET_SURFACE_DEFAULT	KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED | UNKNOWN_SURFACE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE	3	cthoiin	3	cthoiin	chor	cthy	Blatt-/Krautzubereitung, Form III	MANUAL_COMPOSITION:cth plant-drug head + oiin form III	HIGH	Samenportion; Pflanzen-/Reproduktionsteil; Blatt-/Krautzubereitung, Form III; CTH-Drogenmaterial; heiß, Grad III
10	4409500	1	f49r	f49r.12	H	A	1	5	4	2	0	0	1	0.800000	5	5	1	1	podaiin cheo kcho daiin chcthy	Pulverzubereitung, Dosis III | trocken angesetzte Zubereitung | [kcho:?] | Grad-/Maßwert III | trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut	V13:SCOPED_RESIDUAL_HEAD_FORM | V13:TARGET_SURFACE_DEFAULT | OPEN | V13:CONTEXTUAL_VALUE_SERIES | V13:DRY_CTH_MATERIAL	KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | UNKNOWN_SURFACE | KNOWN_CONTEXT_LICENSED | KNOWN_CONTEXT_LICENSED	3	kcho	3	kcho	cheo	daiin	heiß-trockener Ansatz	MANUAL_COMPOSITION:GDT636 concrete f49r.12 span: k + ch + o	HIGH	Pulverzubereitung, Dosis III; trocken angesetzte Zubereitung; heiß-trockener Ansatz; Grad-/Maßwert III; trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut
