card_order	master_card_id	canonical_surface	canonical_value_de	final_recipe	ordered_slots	slot_count	production_mechanic	production_instruction_de	event_support	event_count_crosscheck	contextual_renderer_override	choice_context	writer_rule
1	MC039	aiin	Sollmaß	AIIN[SUBTYPE=GENERAL_MEASURE]	AIIN	1	REGISTERED_BASE_FAMILY_CARD	Wähle die gelernte Grundkarte oder ihre registrierte Unterform.	20	20	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
2	MC153	cheol	weiter	OL[SUBTYPE=PLAIN_CONTINUATION]	OL	1	REGISTERED_BASE_FAMILY_CARD	Wähle die gelernte Grundkarte oder ihre registrierte Unterform.	19	19	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
3	MC123	chey	dies	Y	Y	1	REGISTERED_BASE_FAMILY_CARD	Wähle die gelernte Grundkarte oder ihre registrierte Unterform.	18	18	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
4	MC128	cheedy	kurz absetzen; Schluss	E_GRADE+DY+SHED[GRADE=E_SHORT]	E_GRADE>DY>SHED	3	GRADE_INSERTION_OR_LENGTHENING	Halte den Kartenrahmen fest und setze E, EE oder EEE an den lizenzierten Gradplatz.	12	12	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
5	MC074	chdy	überführen	Y+CHED_TRANSFER[SUBTYPE=SHORT_TRANSFER_FORM]	Y>CHED_TRANSFER	2	SHARED_TRANSFER_CORE_OVERLAY	Lege die beteiligten Karten am gemeinsamen CHD/CHED-Transferkörper übereinander und behalte ihre freien Slots.	11	11	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
6	MC154	al	dorthin	AL[SUBTYPE=TARGET_ADDRESS]	AL	1	REGISTERED_BASE_FAMILY_CARD	Wähle die gelernte Grundkarte oder ihre registrierte Unterform.	10	10	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
7	MC082	qokeedy	lange einwirken; Schluss	OK+E_GRADE+DY[GRADE=EE_LONG]	OK>E_GRADE>DY	3	GRADE_INSERTION_OR_LENGTHENING	Halte den Kartenrahmen fest und setze E, EE oder EEE an den lizenzierten Gradplatz.	10	10	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
8	MC026	choky	einsetzen	OK+Y[SUBTYPE=SET_CURRENT_ITEM]	OK>Y	2	ORDERED_SLOT_FRAME_ASSEMBLY	Setze Selektor, Adresse, Menge, Posten und Handlung in der im Rezept angegebenen Reihenfolge zusammen.	10	10	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
9	MC120	okaiin	bemessen	OK+AIIN	OK>AIIN	2	ORDERED_SLOT_FRAME_ASSEMBLY	Setze Selektor, Adresse, Menge, Posten und Handlung in der im Rezept angegebenen Reihenfolge zusammen.	9	9	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
10	MC155	lchedy	abführen; Schluss	L+CHED_TRANSFER[LICENSED_CLOSE=YES]	L>CHED_TRANSFER	2	SHARED_TRANSFER_CORE_OVERLAY	Lege die beteiligten Karten am gemeinsamen CHD/CHED-Transferkörper übereinander und behalte ihre freien Slots.	8	8	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
11	MC083	qokedy	kurz einwirken; Schluss	OK+E_GRADE+DY[GRADE=E_SHORT]	OK>E_GRADE>DY	3	GRADE_INSERTION_OR_LENGTHENING	Halte den Kartenrahmen fest und setze E, EE oder EEE an den lizenzierten Gradplatz.	8	8	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
12	MC017	okain	Anteil zugeben	OK+AIN	OK>AIN	2	ORDERED_SLOT_FRAME_ASSEMBLY	Setze Selektor, Adresse, Menge, Posten und Handlung in der im Rezept angegebenen Reihenfolge zusammen.	7	7	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
13	MC002	okeey	LAENGER_SETZEN_ODER_HALTEN	OK+E_GRADE+Y[GRADE=EE_LONG]	OK>E_GRADE>Y	3	GRADE_INSERTION_OR_LENGTHENING	Halte den Kartenrahmen fest und setze E, EE oder EEE an den lizenzierten Gradplatz.	7	7	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
14	MC080	chor	Ansatz	OR	OR	1	REGISTERED_BASE_FAMILY_CARD	Wähle die gelernte Grundkarte oder ihre registrierte Unterform.	7	7	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
15	MC161	checthy	bereit	Y+CTH	Y>CTH	2	ORDERED_SLOT_FRAME_ASSEMBLY	Setze Selektor, Adresse, Menge, Posten und Handlung in der im Rezept angegebenen Reihenfolge zusammen.	7	7	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
16	MC040	okal	dorthin einsetzen	OK+AL	OK>AL	2	ORDERED_SLOT_FRAME_ASSEMBLY	Setze Selektor, Adresse, Menge, Posten und Handlung in der im Rezept angegebenen Reihenfolge zusammen.	6	6	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
17	MC055	char	davon	AR[SUBTYPE=SOURCE_ORIGIN]	AR	1	REGISTERED_BASE_FAMILY_CARD	Wähle die gelernte Grundkarte oder ihre registrierte Unterform.	5	5	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
18	MC025	dchedy	überführen; Schluss	CHED_TRANSFER[LICENSED_CLOSE=YES]	CHED_TRANSFER	1	REGISTERED_BASE_FAMILY_CARD	Wähle die gelernte Grundkarte oder ihre registrierte Unterform.	4	4	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
19	MC034	cho	EINGABE_ODER_BEDINGUNG	CHO_INPUT	CHO_INPUT	1	REGISTERED_BASE_FAMILY_CARD	Wähle die gelernte Grundkarte oder ihre registrierte Unterform.	4	4	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
20	MC035	chckhy	durchleiten	Y+CKH	Y>CKH	2	ORDERED_SLOT_FRAME_ASSEMBLY	Setze Selektor, Adresse, Menge, Posten und Handlung in der im Rezept angegebenen Reihenfolge zusammen.	4	4	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
21	MC105	chkain	Portion	AIN[SUBTYPE=GENERAL_PORTION]	AIN	1	REGISTERED_BASE_FAMILY_CARD	Wähle die gelernte Grundkarte oder ihre registrierte Unterform.	3	3	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
22	MC143	shckhedy	durchlassen; Schluss	CKHE[LICENSED_CLOSE=YES]	CKHE	1	REGISTERED_BASE_FAMILY_CARD	Wähle die gelernte Grundkarte oder ihre registrierte Unterform.	3	3	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
23	MC045	olkeedy	lange sammeln; Schluss	E_GRADE+SOLK[LICENSED_CLOSE=YES]	E_GRADE>SOLK	2	GRADE_INSERTION_OR_LENGTHENING	Halte den Kartenrahmen fest und setze E, EE oder EEE an den lizenzierten Gradplatz.	3	3	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
24	MC147	cheky	kurz wärmen	E_GRADE+Y+CHK[GRADE=E_SHORT]	E_GRADE>Y>CHK	3	GRADE_INSERTION_OR_LENGTHENING	Halte den Kartenrahmen fest und setze E, EE oder EEE an den lizenzierten Gradplatz.	3	3	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
25	MC088	qokchdy	neuen Posten einsetzen; Schluss	OK+DY+CHED_TRANSFER[SUBTYPE=NEW_ITEM_TRANSFER]	OK>DY>CHED_TRANSFER	3	SHARED_TRANSFER_CORE_OVERLAY	Lege die beteiligten Karten am gemeinsamen CHD/CHED-Transferkörper übereinander und behalte ihre freien Slots.	3	3	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
26	MC103	chokchy	den laufenden Posten einsetzen und weiterbearbeiten	OK+Y[SUBTYPE=SET_AND_CONTINUE_ITEM]	OK>Y	2	ORDERED_SLOT_FRAME_ASSEMBLY	Setze Selektor, Adresse, Menge, Posten und Handlung in der im Rezept angegebenen Reihenfolge zusammen.	3	3	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
27	MC028	olchedy	weiterführen; Schluss	OL+DY+CHED_TRANSFER	OL>DY>CHED_TRANSFER	3	SHARED_TRANSFER_CORE_OVERLAY	Lege die beteiligten Karten am gemeinsamen CHD/CHED-Transferkörper übereinander und behalte ihre freien Slots.	3	3	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
28	MC060	otaiin	Folgemaß	OT+AIIN	OT>AIIN	2	ORDERED_SLOT_FRAME_ASSEMBLY	Setze Selektor, Adresse, Menge, Posten und Handlung in der im Rezept angegebenen Reihenfolge zusammen.	3	3	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
29	MC093	otal	danach dorthin	OT+AL	OT>AL	2	ORDERED_SLOT_FRAME_ASSEMBLY	Setze Selektor, Adresse, Menge, Posten und Handlung in der im Rezept angegebenen Reihenfolge zusammen.	3	3	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
30	MC113	shedal	am Ziel absetzen	AL+SHED	AL>SHED	2	ORDERED_SLOT_FRAME_ASSEMBLY	Setze Selektor, Adresse, Menge, Posten und Handlung in der im Rezept angegebenen Reihenfolge zusammen.	2	2	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
31	MC038	lshedy	Waschgang; Schluss	DY+LSH	DY>LSH	2	ORDERED_SLOT_FRAME_ASSEMBLY	Setze Selektor, Adresse, Menge, Posten und Handlung in der im Rezept angegebenen Reihenfolge zusammen.	2	2	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
