event_id	page	record	locus	statement_id	owner_de	card_no	surface	full_recipe	atomic_reading_de	earlier_component_desks	downstream_storage_desk	desk_pair	copy_rule_de
E006	f10r	H1	f10r.2	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC006	chair	CH+AIR	ABNEHMEN · LAUF	S02_PREPARATION_WET	S03_TRANSFER	S02_PREPARATION_WET>S03_TRANSFER	Fruehere Tische markieren Komponenten; der letzte beteiligte Tisch waehlt die ganze Musterkarte.
E039	f11r	H3	f11r.1	H3-S001	abgebildete dicht blau blühende Kronenpflanze	PROC026	tshol	T+SH+OL	EINTRAGEN · HALTEN · FORTSETZEN	S03_TRANSFER	S04_STATE_CONTROL	S03_TRANSFER>S04_STATE_CONTROL	Fruehere Tische markieren Komponenten; der letzte beteiligte Tisch waehlt die ganze Musterkarte.
E046	f11r	H3	f11r.1	H3-S002	abgebildete dicht blau blühende Kronenpflanze	PROC033	shoyty	SH+O+Y+T+Y	HALTEN · GANG · DIES · EINTRAGEN · DIES	S03_TRANSFER	S04_STATE_CONTROL	S03_TRANSFER>S04_STATE_CONTROL	Fruehere Tische markieren Komponenten; der letzte beteiligte Tisch waehlt die ganze Musterkarte.
E074	f56r	H5	f56r.5	H5-S001	abgebildete mehrköpfige stachelige Pflanze	PROC051	chochor	HO+CH+OR	ZUTAT · ABNEHMEN · ANSATZ	S02_PREPARATION_WET	S03_TRANSFER	S02_PREPARATION_WET>S03_TRANSFER	Fruehere Tische markieren Komponenten; der letzte beteiligte Tisch waehlt die ganze Musterkarte.
E086	f56r	H5	f56r.8	H5-S002	abgebildete mehrköpfige stachelige Pflanze	PROC057	cheeckhody	CH+EE+CKH+O+DY	ABNEHMEN · LANG · DURCHLASS · GANG · SCHLUSS	S02_PREPARATION_WET	S03_TRANSFER	S02_PREPARATION_WET>S03_TRANSFER	Fruehere Tische markieren Komponenten; der letzte beteiligte Tisch waehlt die ganze Musterkarte.
E115	f81v	B1	f81v.7	B1-S002	gemeinsame zweireihige Figuren-/Beckenstation	PROC073	sheckhal	SH+E+CKH+AL	HALTEN · KURZ · DURCHLASS · ZIEL	S02_PREPARATION_WET	S04_STATE_CONTROL	S02_PREPARATION_WET>S04_STATE_CONTROL	Fruehere Tische markieren Komponenten; der letzte beteiligte Tisch waehlt die ganze Musterkarte.
E122	f81v	B1	f81v.17	B1-S003	gemeinsame zweireihige Figuren-/Beckenstation	PROC077	sshkchdy	SH+K+CHD+DY	HALTEN · ZUDOSIEREN · UMSETZEN · SCHLUSS	S03_TRANSFER	S04_STATE_CONTROL	S03_TRANSFER>S04_STATE_CONTROL	Fruehere Tische markieren Komponenten; der letzte beteiligte Tisch waehlt die ganze Musterkarte.
E165	f81v	B1	f81v.27	B1-S020	gemeinsame zweireihige Figuren-/Beckenstation	PROC099	shckhedy	SH+CKH+E+DY	HALTEN · DURCHLASS · KURZ · SCHLUSS	S02_PREPARATION_WET	S04_STATE_CONTROL	S02_PREPARATION_WET>S04_STATE_CONTROL	Fruehere Tische markieren Komponenten; der letzte beteiligte Tisch waehlt die ganze Musterkarte.
E173	f82r	B2	f82r.2	B2-S004	oberes Beckenpaar mit Zylinder	PROC101	lcheckhy	L+CKH+Y	WEITERLEITEN · DURCHLASS · DIES	S02_PREPARATION_WET	S03_TRANSFER	S02_PREPARATION_WET>S03_TRANSFER	Fruehere Tische markieren Komponenten; der letzte beteiligte Tisch waehlt die ganze Musterkarte.
E176	f82r	B2	f82r.3	B2-S004	oberes Beckenpaar mit Zylinder	PROC103	lcheckhedy	L+CKH+E+DY	WEITERLEITEN · DURCHLASS · KURZ · SCHLUSS	S02_PREPARATION_WET	S03_TRANSFER	S02_PREPARATION_WET>S03_TRANSFER	Fruehere Tische markieren Komponenten; der letzte beteiligte Tisch waehlt die ganze Musterkarte.
E187	f82r	B2	f82r.4	B2-S006	oberes Beckenpaar mit Zylinder	PROC110	sheckhy	SH+E+CKH+Y	HALTEN · KURZ · DURCHLASS · DIES	S02_PREPARATION_WET	S04_STATE_CONTROL	S02_PREPARATION_WET>S04_STATE_CONTROL	Fruehere Tische markieren Komponenten; der letzte beteiligte Tisch waehlt die ganze Musterkarte.
E216	f82r	B2	f82r.26	B2-S016	kleine Randstationen des unteren Beckens	PROC124	ches	CH+E+S	ABNEHMEN · KURZ · TEILEN	S02_PREPARATION_WET	S03_TRANSFER	S02_PREPARATION_WET>S03_TRANSFER	Fruehere Tische markieren Komponenten; der letzte beteiligte Tisch waehlt die ganze Musterkarte.
E221	f82r	B2	f82r.27	B2-S016	kleine Randstationen des unteren Beckens	PROC125	pchedy	P+CHD+DY	EINFUELLEN · UMSETZEN · SCHLUSS	S02_PREPARATION_WET	S03_TRANSFER	S02_PREPARATION_WET>S03_TRANSFER	Fruehere Tische markieren Komponenten; der letzte beteiligte Tisch waehlt die ganze Musterkarte.
E248	f83r	B3	f83r.8	B3-S010	untere Randfigur im korbartigen Gefäß	PROC134	pchedal	P+CHD+AL	EINFUELLEN · UMSETZEN · ZIEL	S02_PREPARATION_WET	S03_TRANSFER	S02_PREPARATION_WET>S03_TRANSFER	Fruehere Tische markieren Komponenten; der letzte beteiligte Tisch waehlt die ganze Musterkarte.
E250	f83r	B3	f83r.8	B3-S011	untere Randfigur im korbartigen Gefäß	PROC136	shecthedchy	SH+E+CTH+CHD+Y	HALTEN · KURZ · BEREIT · UMSETZEN · DIES	S03_TRANSFER	S04_STATE_CONTROL	S03_TRANSFER>S04_STATE_CONTROL	Fruehere Tische markieren Komponenten; der letzte beteiligte Tisch waehlt die ganze Musterkarte.
