record	junction_events	exact_junction_cards	desk_pairs	event_ids	production_de
H1	1	1	S02_PREPARATION_WET>S03_TRANSFER	E006	Junction tray required.
H2	0	0	NONE	NONE	Pocket/core and single-desk cards suffice.
H3	2	2	S03_TRANSFER>S04_STATE_CONTROL	E039,E046	Junction tray required.
H4	0	0	NONE	NONE	Pocket/core and single-desk cards suffice.
H5	2	2	S02_PREPARATION_WET>S03_TRANSFER	E074,E086	Junction tray required.
B1	3	3	S02_PREPARATION_WET>S04_STATE_CONTROL|S03_TRANSFER>S04_STATE_CONTROL	E115,E122,E165	Junction tray required.
B2	5	5	S02_PREPARATION_WET>S03_TRANSFER|S02_PREPARATION_WET>S04_STATE_CONTROL	E173,E176,E187,E216,E221	Junction tray required.
B3	5	5	S02_PREPARATION_WET>S03_TRANSFER|S03_TRANSFER>S04_STATE_CONTROL	E248,E250,E296,E300,E303	Junction tray required.
B4	3	2	S02_PREPARATION_WET>S04_STATE_CONTROL|S02_PREPARATION_WET>S03_TRANSFER	E330,E331,E355	Junction tray required.
B5	1	1	S01_MASTER_CORRECTOR>S04_STATE_CONTROL	E371	Junction tray required.
B6	0	0	NONE	NONE	Pocket/core and single-desk cards suffice.
