card_no	surface_forms	full_recipe	atomic_reading_de	desk_pair	stored_at_desk	earlier_desk_marks	events	event_ids	records	owners_de	apprentice_rule_de
PROC006	chair	CH+AIR	ABNEHMEN · LAUF	S02_PREPARATION_WET>S03_TRANSFER	S03_TRANSFER	S02_PREPARATION_WET	1	E006	H1	abgebildete breit gezähnte radialblütige Pflanze	Lerne diese Karte als ganzes Grenzexemplar; zerlege sie beim Diktat, nicht beim Schreiben.
PROC026	tshol	T+SH+OL	EINTRAGEN · HALTEN · FORTSETZEN	S03_TRANSFER>S04_STATE_CONTROL	S04_STATE_CONTROL	S03_TRANSFER	1	E039	H3	abgebildete dicht blau blühende Kronenpflanze	Lerne diese Karte als ganzes Grenzexemplar; zerlege sie beim Diktat, nicht beim Schreiben.
PROC033	shoyty	SH+O+Y+T+Y	HALTEN · GANG · DIES · EINTRAGEN · DIES	S03_TRANSFER>S04_STATE_CONTROL	S04_STATE_CONTROL	S03_TRANSFER	1	E046	H3	abgebildete dicht blau blühende Kronenpflanze	Lerne diese Karte als ganzes Grenzexemplar; zerlege sie beim Diktat, nicht beim Schreiben.
PROC051	chochor	HO+CH+OR	ZUTAT · ABNEHMEN · ANSATZ	S02_PREPARATION_WET>S03_TRANSFER	S03_TRANSFER	S02_PREPARATION_WET	1	E074	H5	abgebildete mehrköpfige stachelige Pflanze	Lerne diese Karte als ganzes Grenzexemplar; zerlege sie beim Diktat, nicht beim Schreiben.
PROC057	cheeckhody	CH+EE+CKH+O+DY	ABNEHMEN · LANG · DURCHLASS · GANG · SCHLUSS	S02_PREPARATION_WET>S03_TRANSFER	S03_TRANSFER	S02_PREPARATION_WET	1	E086	H5	abgebildete mehrköpfige stachelige Pflanze	Lerne diese Karte als ganzes Grenzexemplar; zerlege sie beim Diktat, nicht beim Schreiben.
PROC073	sheckhal	SH+E+CKH+AL	HALTEN · KURZ · DURCHLASS · ZIEL	S02_PREPARATION_WET>S04_STATE_CONTROL	S04_STATE_CONTROL	S02_PREPARATION_WET	1	E115	B1	gemeinsame zweireihige Figuren-/Beckenstation	Lerne diese Karte als ganzes Grenzexemplar; zerlege sie beim Diktat, nicht beim Schreiben.
PROC077	sshkchdy	SH+K+CHD+DY	HALTEN · ZUDOSIEREN · UMSETZEN · SCHLUSS	S03_TRANSFER>S04_STATE_CONTROL	S04_STATE_CONTROL	S03_TRANSFER	1	E122	B1	gemeinsame zweireihige Figuren-/Beckenstation	Lerne diese Karte als ganzes Grenzexemplar; zerlege sie beim Diktat, nicht beim Schreiben.
PROC099	shckhedy	SH+CKH+E+DY	HALTEN · DURCHLASS · KURZ · SCHLUSS	S02_PREPARATION_WET>S04_STATE_CONTROL	S04_STATE_CONTROL	S02_PREPARATION_WET	3	E165,E330,E331	B1|B4	gemeinsame zweireihige Figuren-/Beckenstation | sichtbares Figurenpaar mit gemeinsamem Bogen in B4	Lerne diese Karte als ganzes Grenzexemplar; zerlege sie beim Diktat, nicht beim Schreiben.
PROC101	lcheckhy	L+CKH+Y	WEITERLEITEN · DURCHLASS · DIES	S02_PREPARATION_WET>S03_TRANSFER	S03_TRANSFER	S02_PREPARATION_WET	1	E173	B2	oberes Beckenpaar mit Zylinder	Lerne diese Karte als ganzes Grenzexemplar; zerlege sie beim Diktat, nicht beim Schreiben.
PROC103	lcheckhedy	L+CKH+E+DY	WEITERLEITEN · DURCHLASS · KURZ · SCHLUSS	S02_PREPARATION_WET>S03_TRANSFER	S03_TRANSFER	S02_PREPARATION_WET	1	E176	B2	oberes Beckenpaar mit Zylinder	Lerne diese Karte als ganzes Grenzexemplar; zerlege sie beim Diktat, nicht beim Schreiben.
PROC110	sheckhy	SH+E+CKH+Y	HALTEN · KURZ · DURCHLASS · DIES	S02_PREPARATION_WET>S04_STATE_CONTROL	S04_STATE_CONTROL	S02_PREPARATION_WET	1	E187	B2	oberes Beckenpaar mit Zylinder	Lerne diese Karte als ganzes Grenzexemplar; zerlege sie beim Diktat, nicht beim Schreiben.
PROC124	ches	CH+E+S	ABNEHMEN · KURZ · TEILEN	S02_PREPARATION_WET>S03_TRANSFER	S03_TRANSFER	S02_PREPARATION_WET	1	E216	B2	kleine Randstationen des unteren Beckens	Lerne diese Karte als ganzes Grenzexemplar; zerlege sie beim Diktat, nicht beim Schreiben.
PROC125	pchedy	P+CHD+DY	EINFUELLEN · UMSETZEN · SCHLUSS	S02_PREPARATION_WET>S03_TRANSFER	S03_TRANSFER	S02_PREPARATION_WET	1	E221	B2	kleine Randstationen des unteren Beckens	Lerne diese Karte als ganzes Grenzexemplar; zerlege sie beim Diktat, nicht beim Schreiben.
PROC134	pchedal	P+CHD+AL	EINFUELLEN · UMSETZEN · ZIEL	S02_PREPARATION_WET>S03_TRANSFER	S03_TRANSFER	S02_PREPARATION_WET	1	E248	B3	untere Randfigur im korbartigen Gefäß	Lerne diese Karte als ganzes Grenzexemplar; zerlege sie beim Diktat, nicht beim Schreiben.
PROC136	shecthedchy	SH+E+CTH+CHD+Y	HALTEN · KURZ · BEREIT · UMSETZEN · DIES	S03_TRANSFER>S04_STATE_CONTROL	S04_STATE_CONTROL	S03_TRANSFER	1	E250	B3	untere Randfigur im korbartigen Gefäß	Lerne diese Karte als ganzes Grenzexemplar; zerlege sie beim Diktat, nicht beim Schreiben.
PROC149	cheeety	EEE+T+Y	VOLL · EINTRAGEN · DIES	S03_TRANSFER>S04_STATE_CONTROL	S04_STATE_CONTROL	S03_TRANSFER	1	E296	B3	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	Lerne diese Karte als ganzes Grenzexemplar; zerlege sie beim Diktat, nicht beim Schreiben.
PROC150	schedair	CHD+AIR	UMSETZEN · LAUF	S02_PREPARATION_WET>S03_TRANSFER	S03_TRANSFER	S02_PREPARATION_WET	1	E300	B3	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	Lerne diese Karte als ganzes Grenzexemplar; zerlege sie beim Diktat, nicht beim Schreiben.
PROC151	chedain	CHD+AIN	UMSETZEN · PORTION	S02_PREPARATION_WET>S03_TRANSFER	S03_TRANSFER	S02_PREPARATION_WET	1	E303	B3	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	Lerne diese Karte als ganzes Grenzexemplar; zerlege sie beim Diktat, nicht beim Schreiben.
PROC163	chckhal	CH+CKH+AL	ABNEHMEN · DURCHLASS · ZIEL	S02_PREPARATION_WET>S03_TRANSFER	S03_TRANSFER	S02_PREPARATION_WET	1	E355	B4	linke Hauptstation mit offenem Fransenlauf	Lerne diese Karte als ganzes Grenzexemplar; zerlege sie beim Diktat, nicht beim Schreiben.
PROC169	daiiin	DA+IIN	ZWEIT · STUFE	S01_MASTER_CORRECTOR>S04_STATE_CONTROL	S04_STATE_CONTROL	S01_MASTER_CORRECTOR	1	E371	B5	linke Fransenstation im B5-Nachtrag	Lerne diese Karte als ganzes Grenzexemplar; zerlege sie beim Diktat, nicht beim Schreiben.
