event_id	statement_id	record	page	locus	surface	card_no	owner_code	morphological_class	expanded_semantic_parts	literal_card_reading_de	procedure_tokens	contextual_reading_rule
E001	H1-S001	H1	f10r	f10r.2	dchey	PROC001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	FULL_COMPONENT_COMPOSITION	CH+E+Y	abziehen · kurz · dies	SOURCE_DRAW	Bind DIES/DORT/STELLE to owner; execute procedure; CLOSE only when emitted.
E002	H1-S001	H1	f10r	f10r.2	cthoor	PROC002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	FULL_COMPONENT_COMPOSITION	CTH+O+OR	bereit · Arbeitsgang · Ansatz	ACTIVATE_CHARGE	Bind DIES/DORT/STELLE to owner; execute procedure; CLOSE only when emitted.
E003	H1-S001	H1	f10r	f10r.2	char	PROC003	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	ATOMIC_CORE_CARD	AR	von dort	SOURCE_DRAW	Bind DIES/DORT/STELLE to owner; execute procedure; CLOSE only when emitted.
E004	H1-S001	H1	f10r	f10r.2	chty	PROC004	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	FULL_COMPONENT_COMPOSITION	T+Y	eintragen · dies	ACTIVATE_CHARGE	Bind DIES/DORT/STELLE to owner; execute procedure; CLOSE only when emitted.
E005	H1-S001	H1	f10r	f10r.2	os	PROC005	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	MEMORIZED_WHOLE_SIGN	PROC005	Arbeitsfach	TARGET_HANDOFF	Bind DIES/DORT/STELLE to owner; execute procedure; CLOSE only when emitted.
E006	H1-S001	H1	f10r	f10r.2	chair	PROC006	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	FULL_COMPONENT_COMPOSITION	CH+AIR	abziehen · Lauf	SOURCE_DRAW	Bind DIES/DORT/STELLE to owner; execute procedure; CLOSE only when emitted.
E007	H1-S001	H1	f10r	f10r.2	otytchol	PROC007	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	FULL_COMPONENT_COMPOSITION	OT+Y+T+CH+OL	danach · dies · eintragen · abziehen · fortsetzen	SOURCE_DRAW	Bind DIES/DORT/STELLE to owner; execute procedure; CLOSE only when emitted.
E008	H1-S001	H1	f10r	f10r.2	oky	PROC008	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	FULL_COMPONENT_COMPOSITION	OK+Y	ansetzen · dies	CONTINUE_USE	Bind DIES/DORT/STELLE to owner; execute procedure; CLOSE only when emitted.
E009	H1-S001	H1	f10r	f10r.2	daiin	PROC009	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	ATOMIC_CORE_CARD	AIIN	Maß	METER_CHECK	Bind DIES/DORT/STELLE to owner; execute procedure; CLOSE only when emitted.
E010	H1-S001	H1	f10r	f10r.2	etyd	PROC010	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	FULL_COMPONENT_COMPOSITION	E+T+Y	kurz · eintragen · dies	ACTIVATE_CHARGE	Bind DIES/DORT/STELLE to owner; execute procedure; CLOSE only when emitted.
