card_no	joint_tuple_id	surfaces	events	event_ids	registers	records	source_component_parse	expanded_semantic_parts	semantic_part_count	morphological_class	literal_pocket_reading_de	apprentice_rule_de
PROC001	65f320e75510b2f38182	dchey	1	E001	HERBAL	H1	CH+E+Y	CH+E+Y	3	FULL_COMPONENT_COMPOSITION	abziehen · kurz · dies	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC002	dedc383b600397a301ee	cthoor	1	E002	HERBAL	H1	CTH+O+OR	CTH+O+OR	3	FULL_COMPONENT_COMPOSITION	bereit · Arbeitsgang · Ansatz	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC003	4d4559019a961b834aa1	char|dar|sar	5	E003|E031|E105|E199|E238	BIOLOGICAL|HERBAL	B1|B2|B3|H1|H2	AR	AR	1	ATOMIC_CORE_CARD	von dort	Kernwert direkt lesen.
PROC004	80ebbbbf238eee9f0aef	chety|chty	2	E004|E311	BIOLOGICAL|HERBAL	B3|H1	T+Y	T+Y	2	FULL_COMPONENT_COMPOSITION	eintragen · dies	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC005	df1098831679a8ad1b39	os	1	E005	HERBAL	H1	OS	PROC005	1	MEMORIZED_WHOLE_SIGN	Arbeitsfach	Ganzzeichen als einen kurzen Werkstattwert lernen.
PROC006	12efe866f335461823a6	chair	1	E006	HERBAL	H1	CH+AIR	CH+AIR	2	FULL_COMPONENT_COMPOSITION	abziehen · Lauf	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC007	62ff059766b21c7de083	otytchol	1	E007	HERBAL	H1	OT+Y+T+CH+OL	OT+Y+T+CH+OL	5	FULL_COMPONENT_COMPOSITION	danach · dies · eintragen · abziehen · fortsetzen	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC008	276a7c2d74d1143446f4	choky|oky|qoky	10	E008|E081|E085|E140|E188|E195|E247|E251|E298|E323	BIOLOGICAL|HERBAL	B1|B2|B3|B4|H1|H5	OK+Y	OK+Y	2	FULL_COMPONENT_COMPOSITION	ansetzen · dies	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC009	2f1c5e56e8f0ff459065	aiin|chaiin|daiin|saiin|taiin	20	E009|E022|E030|E051|E057|E061|E068|E077|E100|E116|E118|E207|E217|E233|E274|E299|E332|E338|E369|E377	BIOLOGICAL|HERBAL	B1|B2|B3|B4|B5|B6|H1|H2|H3|H4|H5	AIIN	AIIN	1	ATOMIC_CORE_CARD	Maß	Kernwert direkt lesen.
PROC010	a6939862e33ece5a0483	etyd	1	E010	HERBAL	H1	E+T+Y	E+T+Y	3	FULL_COMPONENT_COMPOSITION	kurz · eintragen · dies	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
