statement_id	record	page	events	surfaces	card_classes	literal_component_chain_de	procedure_program	whole_sign_events
B1-S001	B1	f81v	1	qokedy	FULL_COMPONENT_COMPOSITION	ansetzen · kurz · Schluss	HOLD_STATE>CLOSE	0
B1-S002	B1	f81v	19	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	FULL_COMPONENT_COMPOSITION|FULL_COMPONENT_COMPOSITION|FULL_COMPONENT_COMPOSITION|ATOMIC_CORE_CARD|ATOMIC_CORE_CARD|FULL_COMPONENT_COMPOSITION|FULL_COMPONENT_COMPOSITION|ATOMIC_CORE_CARD|ATOMIC_CORE_CARD|FULL_COMPONENT_COMPOSITION|ATOMIC_CORE_CARD|FULL_COMPONENT_COMPOSITION|ATOMIC_CORE_CARD|FULL_COMPONENT_COMPOSITION|ATOMIC_CORE_CARD|FULL_COMPONENT_COMPOSITION|ATOMIC_CORE_CARD|FULL_COMPONENT_COMPOSITION|FULL_COMPONENT_COMPOSITION	ansetzen · Maß ; zuführen · Lauf ; ansetzen · Zielstelle ; von dort ; fortsetzen ; zuführen · Portion ; fortsetzen · zuführen · Portion ; Zielstelle ; fortsetzen ; abkühlen · fortsetzen ; führen ; fortsetzen · Ansatz ; fortsetzen ; halten · kurz · Durchlass · Zielstelle ; Maß ; ansetzen · länger · Zielstelle ; Maß ; Durchlass · dies ; umsetzen · Schluss	METER_CHECK>MOVE_PASS>TARGET_HANDOFF>SOURCE_DRAW>CONTINUE_USE>ACTIVATE_CHARGE>ACTIVATE_CHARGE>TARGET_HANDOFF>CONTINUE_USE>HOLD_STATE>MOVE_PASS>ACTIVATE_CHARGE>CONTINUE_USE>HOLD_STATE>METER_CHECK>HOLD_STATE>METER_CHECK>MOVE_PASS>MOVE_PASS>CLOSE	0
B1-S003	B1	f81v	2	qol sshkchdy	ATOMIC_CORE_CARD|FULL_COMPONENT_COMPOSITION	fortsetzen ; halten · zuführen · umsetzen · Schluss	CONTINUE_USE>HOLD_STATE>CLOSE	0
B1-S004	B1	f81v	3	chedy ol shedy	FULL_COMPONENT_COMPOSITION|ATOMIC_CORE_CARD|FULL_COMPONENT_COMPOSITION	umsetzen · dies ; fortsetzen ; absetzen · Schluss	MOVE_PASS>CONTINUE_USE>HOLD_STATE>CLOSE	0
B1-S005	B1	f81v	1	qolchedy	FULL_COMPONENT_COMPOSITION	fortsetzen · umsetzen · Schluss	MOVE_PASS>CLOSE	0
B1-S006	B1	f81v	4	qokain shckhy dl ral	FULL_COMPONENT_COMPOSITION|FULL_COMPONENT_COMPOSITION|ATOMIC_CORE_CARD|FULL_COMPONENT_COMPOSITION	ansetzen · Portion ; Durchlass · dies ; führen ; abkühlen · Zielstelle	ACTIVATE_CHARGE>MOVE_PASS>MOVE_PASS>HOLD_STATE	0
B1-S007	B1	f81v	1	qokchdy	FULL_COMPONENT_COMPOSITION	ansetzen · umsetzen · Schluss	ACTIVATE_CHARGE>CLOSE	0
B1-S008	B1	f81v	5	chey ol cheky ol shedy	ATOMIC_CORE_CARD|ATOMIC_CORE_CARD|FULL_COMPONENT_COMPOSITION|ATOMIC_CORE_CARD|FULL_COMPONENT_COMPOSITION	dies ; fortsetzen ; wärmen · kurz · dies ; fortsetzen ; absetzen · Schluss	CONTINUE_USE>CONTINUE_USE>HOLD_STATE>CONTINUE_USE>HOLD_STATE>CLOSE	0
B1-S009	B1	f81v	1	qokedy	FULL_COMPONENT_COMPOSITION	ansetzen · kurz · Schluss	HOLD_STATE>CLOSE	0
B1-S010	B1	f81v	1	qokedy	FULL_COMPONENT_COMPOSITION	ansetzen · kurz · Schluss	HOLD_STATE>CLOSE	0
B1-S011	B1	f81v	2	chckhy qoky	FULL_COMPONENT_COMPOSITION|FULL_COMPONENT_COMPOSITION	Durchlass · dies ; ansetzen · dies	MOVE_PASS>ACTIVATE_CHARGE	0
B1-S012	B1	f81v	3	lsho qokey lshedy	FULL_COMPONENT_COMPOSITION|FULL_COMPONENT_COMPOSITION|FULL_COMPONENT_COMPOSITION	Waschgang · Arbeitsgang ; ansetzen · kurz · dies ; Waschgang · kurz · Schluss	CONTINUE_USE>HOLD_STATE>HOLD_STATE>CLOSE	0
B1-S013	B1	f81v	1	lshedy	FULL_COMPONENT_COMPOSITION	Waschgang · kurz · Schluss	HOLD_STATE>CLOSE	0
B1-S014	B1	f81v	5	chedy qolky lchedal qol otar	FULL_COMPONENT_COMPOSITION|FULL_COMPONENT_COMPOSITION|FULL_COMPONENT_COMPOSITION|ATOMIC_CORE_CARD|FULL_COMPONENT_COMPOSITION	umsetzen · dies ; auffangen · dies ; führen · umsetzen · Zielstelle ; fortsetzen ; danach · von dort	MOVE_PASS>HOLD_STATE>TARGET_HANDOFF>CONTINUE_USE>SOURCE_DRAW	0
B1-S015	B1	f81v	2	ytey okchedy	FULL_COMPONENT_COMPOSITION|FULL_COMPONENT_COMPOSITION	eintragen · kurz · dies ; ansetzen · umsetzen · Schluss	HOLD_STATE>ACTIVATE_CHARGE>CLOSE	0
B1-S016	B1	f81v	4	qokal okeey qol cheedy	FULL_COMPONENT_COMPOSITION|FULL_COMPONENT_COMPOSITION|ATOMIC_CORE_CARD|FULL_COMPONENT_COMPOSITION	ansetzen · Zielstelle ; ansetzen · länger · dies ; fortsetzen ; absetzen · Schluss	TARGET_HANDOFF>HOLD_STATE>CONTINUE_USE>HOLD_STATE>CLOSE	0
B1-S017	B1	f81v	3	sal teol dchdy	ATOMIC_CORE_CARD|FULL_COMPONENT_COMPOSITION|FULL_COMPONENT_COMPOSITION	Zielstelle ; kurz · fortsetzen ; umsetzen · Schluss	TARGET_HANDOFF>HOLD_STATE>MOVE_PASS>CLOSE	0
B1-S018	B1	f81v	4	ly dsheol oiiin olkeedy	FULL_COMPONENT_COMPOSITION|FULL_COMPONENT_COMPOSITION|FULL_COMPONENT_COMPOSITION|FULL_COMPONENT_COMPOSITION	führen · dies ; halten · kurz · fortsetzen ; Arbeitsgang · Sollstufe ; auffangen · länger · Schluss	MOVE_PASS>HOLD_STATE>METER_CHECK>HOLD_STATE>CLOSE	0
