intake_id	parent_residual_id	target_occurrence_id	page	physical_folio	locus	section	language	hand	ol_ordinal	right_ordinal	right_surface	right_reader_exact	parent_residual_reason	parent_gdt779_default_de	frozen_two_whole_deck_member	selected_by_pure_rule	selection_rule	selection_uses_occurrence_id	selection_uses_page_or_locus	selection_uses_neighbor_or_frequency	selection_uses_substring	default_is_translation	confirmed_lexeme	component_export_credit
G780-I001	G779-R001	G769-T0001	f100v	f100	f100v.20	P	A	1	7	8	chockhar	1	NO_V99R7_COMPLETE_WORD_CARD_READER_EXACT	Ansatz-/Zubereitungsposten	0	0	GDT779_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_EEES_SHEEOL	0	0	0	0	0	0	0
G780-I002	G779-R002	G769-T0006	f102v2	f102	f102v2.20	P	A	1	9	10	sheeoy	1	NO_V99R7_COMPLETE_WORD_CARD_READER_EXACT	Ansatz-/Zubereitungsposten	0	0	GDT779_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_EEES_SHEEOL	0	0	0	0	0	0	0
G780-I003	G779-R008	G769-T0034	f104v	f104	f104v.1	S	B	3	6	7	ear	1	NO_V99R7_COMPLETE_WORD_CARD_READER_EXACT	Ansatz-/Zubereitungsposten	0	0	GDT779_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_EEES_SHEEOL	0	0	0	0	0	0	0
G780-I004	G779-R018	G769-T0106	f112v	f112	f112v.23	S	B	3	5	6	cheedaiin	1	NO_V99R7_COMPLETE_WORD_CARD_READER_EXACT	Ansatz-/Zubereitungsposten	0	0	GDT779_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_EEES_SHEEOL	0	0	0	0	0	0	0
G780-I005	G779-R021	G769-T0119	f113v	f113	f113v.25	S	B	3	9	10	keeor	1	NO_V99R7_COMPLETE_WORD_CARD_READER_EXACT	Ansatz-/Zubereitungsposten	0	0	GDT779_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_EEES_SHEEOL	0	0	0	0	0	0	0
G780-I006	G779-R023	G769-T0123	f114r	f114	f114r.2	S	B	3	11	12	keeed	1	NO_V99R7_COMPLETE_WORD_CARD_READER_EXACT	Ansatz-/Zubereitungsposten	0	0	GDT779_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_EEES_SHEEOL	0	0	0	0	0	0	0
G780-I007	G779-R026	G769-T0136	f115r	f115	f115r.24	S	B	@	11	12	otlaiin	1	NO_V99R7_COMPLETE_WORD_CARD_READER_EXACT	Ansatz-/Zubereitungsposten	0	0	GDT779_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_EEES_SHEEOL	0	0	0	0	0	0	0
G780-I008	G779-R028	G769-T0141	f115v	f115	f115v.30	S	B	3	2	3	chlor	1	NO_V99R7_COMPLETE_WORD_CARD_READER_EXACT	Ansatz-/Zubereitungsposten	0	0	GDT779_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_EEES_SHEEOL	0	0	0	0	0	0	0
G780-I009	G779-R030	G769-T0152	f116r	f116	f116r.49	S	B	3	11	12	lkan	1	NO_V99R7_COMPLETE_WORD_CARD_READER_EXACT	Ansatz-/Zubereitungsposten	0	0	GDT779_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_EEES_SHEEOL	0	0	0	0	0	0	0
G780-I010	G779-R034	G769-T0176	f30r	f30	f30r.8	H	A	1	2	3	chesey	1	NO_V99R7_COMPLETE_WORD_CARD_READER_EXACT	Ansatz-/Zubereitungsposten	0	0	GDT779_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_EEES_SHEEOL	0	0	0	0	0	0	0
G780-I011	G779-R036	G769-T0184	f34r	f34	f34r.5	H	B	2	4	5	okes	1	NO_V99R7_COMPLETE_WORD_CARD_READER_EXACT	Ansatz-/Zubereitungsposten	0	0	GDT779_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_EEES_SHEEOL	0	0	0	0	0	0	0
G780-I012	G779-R045	G769-T0208	f43v	f43	f43v.16	H	B	2	1	2	eees	1	NO_V99R7_COMPLETE_WORD_CARD_READER_EXACT	Ansatz-/Zubereitungsposten	1	1	GDT779_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_EEES_SHEEOL	0	0	0	0	0	0	0
G780-I013	G779-R052	G769-T0246	f66r	f66	f66r.69	T	B	5	4	5	kcheeky	1	NO_V99R7_COMPLETE_WORD_CARD_READER_EXACT	Ansatz-/Zubereitungsposten	0	0	GDT779_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_EEES_SHEEOL	0	0	0	0	0	0	0
G780-I014	G779-R064	G769-T0287	f76r	f76	f76r.53	T	B	2	4	5	chedor	1	NO_V99R7_COMPLETE_WORD_CARD_READER_EXACT	Ansatz-/Zubereitungsposten	0	0	GDT779_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_EEES_SHEEOL	0	0	0	0	0	0	0
G780-I015	G779-R066	G769-T0292	f77r	f77	f77r.32	B	B	2	4	5	chealor	1	NO_V99R7_COMPLETE_WORD_CARD_READER_EXACT	Ansatz-/Zubereitungsposten	0	0	GDT779_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_EEES_SHEEOL	0	0	0	0	0	0	0
G780-I016	G779-R080	G769-T0325	f78v	f78	f78v.20	B	B	2	8	9	okalor	1	NO_V99R7_COMPLETE_WORD_CARD_READER_EXACT	Ansatz-/Zubereitungsposten	0	0	GDT779_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_EEES_SHEEOL	0	0	0	0	0	0	0
G780-I017	G779-R105	G769-T0409	f81r	f81	f81r.6	B	B	2	2	3	eses	1	NO_V99R7_COMPLETE_WORD_CARD_READER_EXACT	Ansatz-/Zubereitungsposten	0	0	GDT779_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_EEES_SHEEOL	0	0	0	0	0	0	0
G780-I018	G779-R108	G769-T0425	f81v	f81	f81v.7	B	B	2	2	3	sheckhal	1	NO_V99R7_COMPLETE_WORD_CARD_READER_EXACT	Ansatz-/Zubereitungsposten	0	0	GDT779_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_EEES_SHEEOL	0	0	0	0	0	0	0
G780-I019	G779-R114	G769-T0450	f85r1	f85	f85r1.11	T	B	2	2	3	shdair	1	NO_V99R7_COMPLETE_WORD_CARD_READER_EXACT	Ansatz-/Zubereitungsposten	0	0	GDT779_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_EEES_SHEEOL	0	0	0	0	0	0	0
G780-I020	G779-R117	G769-T0462	f85r2	f85	f85r2.23	C	B	2	4	5	sheoly	1	NO_V99R7_COMPLETE_WORD_CARD_READER_EXACT	Ansatz-/Zubereitungsposten	0	0	GDT779_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_EEES_SHEEOL	0	0	0	0	0	0	0
G780-I021	G779-R119	G769-T0466	f86v5	f86	f86v5.15	T	B	2	11	12	chsky	1	NO_V99R7_COMPLETE_WORD_CARD_READER_EXACT	Ansatz-/Zubereitungsposten	0	0	GDT779_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_EEES_SHEEOL	0	0	0	0	0	0	0
G780-I022	G779-R123	G769-T0487	f88r	f88	f88r.21	P	A	1	6	7	sheeol	1	NO_V99R7_COMPLETE_WORD_CARD_READER_EXACT	Ansatz-/Zubereitungsposten	1	1	GDT779_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_EEES_SHEEOL	0	0	0	0	0	0	0
G780-I023	G779-R124	G769-T0488	f88r	f88	f88r.22	P	A	1	5	6	chorcholsal	1	NO_V99R7_COMPLETE_WORD_CARD_READER_EXACT	Ansatz-/Zubereitungsposten	0	0	GDT779_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_EEES_SHEEOL	0	0	0	0	0	0	0
G780-I024	G779-R126	G769-T0492	f89v1	f89	f89v1.9	P	A	1	7	8	cheokchey	1	NO_V99R7_COMPLETE_WORD_CARD_READER_EXACT	Ansatz-/Zubereitungsposten	0	0	GDT779_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_EEES_SHEEOL	0	0	0	0	0	0	0
G780-I025	G779-R128	G769-T0497	f90r1	f90	f90r1.5	H	A	1	5	6	okachey	1	NO_V99R7_COMPLETE_WORD_CARD_READER_EXACT	Ansatz-/Zubereitungsposten	0	0	GDT779_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_EEES_SHEEOL	0	0	0	0	0	0	0
