record	page	instruction_count	clause_count	visible_event_count	record_final_status	process_state_article_de
H1	f10r	1	8	14	RECORD_FINAL_OPEN	Für den ersten Arbeitsabschnitt der abgebildeten breit gezähnten radialblütigen Pflanze gilt: Zuerst ihn kurz abnehmen; dann ihn von dort im Arbeitsgang bis bereit eintragen; dann ihn im Lauf ablaufen lassen; danach ihn weiter eintragen und abnehmen; dann ihn einsetzen; dann ihn nach vorgeschriebenem Maß kurz eintragen; dann ihn einsetzen; danach ihn weiter bis bereit abnehmen.
H2	f10r	1	5	24	RECORD_FINAL_OPEN	Im zweiten Arbeitsabschnitt derselben abgebildeten Pflanze gilt: Zuerst ihn kurz abziehen; danach ihn weiter nach vorgeschriebenem Maß im Arbeitsgang bis bereit abziehen; danach ihn weiter von dort nach vorgeschriebenem Maß im Arbeitsgang zugeben; dann ihn bis zur Sollstufe zugeben; dann ihn nach vorgeschriebenem Maß im Arbeitsgang abziehen.
H3	f11r	2	10	17	RECORD_FINAL_OPEN	Für die abgebildete dicht blau blühende Kronenpflanze gilt: Zuerst ihn weiter eintragen und halten; dann ihn an der bezeichneten Stelle im Arbeitsgang an Ort halten; dann ihn auswringen; dann ihn nach vorgeschriebenem Maß halten; dann ihn hineingeben; dann ihn länger halten; dann ihn im Arbeitsgang eintragen und abziehen und den Schritt schließen. Danach ihn im Arbeitsgang halten und eintragen; dann ihn weiter zugeben; danach ihn weiter nach vorgeschriebenem Maß bis bereit einsetzen.
H4	f55v	3	10	18	RECORD_FINAL_OPEN	Für die abgebildete breitblättrige rispige Pflanze gilt: Zuerst ihn nach vorgeschriebenem Maß einsetzen; dann ihn nach vorgeschriebenem Maß als Portion dosiert zugeben; dann ihn als Portion im Arbeitsgang zugeben und den Schritt schließen. Danach ihn nach vorgeschriebenem Maß abmessen und umsetzen; dann ihn verwahren; dann ihn nach vorgeschriebenem Maß dosiert zugeben; dann ihn von dort im Arbeitsgang kurz entnehmen; dann ihn weiter länger temperieren und den Schritt schließen. Anschließend ihn nach vorgeschriebenem Maß an der bezeichneten Stelle anlegen; dann ihn weiter als Portion eintragen.
H5	f56r	2	15	27	RECORD_FINAL_OPEN	Für die abgebildete mehrköpfige stachelige Pflanze gilt: Zuerst den Ansatz abziehen; dann ihn weiter nach vorgeschriebenem Maß an der bezeichneten Stelle zuführen; danach den Ansatz abziehen; dann ihn einsetzen; dann ihn weiter an der bezeichneten Stelle anlegen; dann ihn durch den Durchlass im Arbeitsgang länger ablaufen lassen und den Schritt schließen. Danach ihn halten; dann ihn kurz zugeben; dann ihn erneut einsetzen; dann ihn einsetzen; dann ihn im Arbeitsgang kurz ansetzen und abziehen; dann ihn an der bezeichneten Stelle zuführen; dann ihn ansetzen; dann die Gabe von dort zugeben; danach ihn weiter nach vorgeschriebenem Maß als Portion im Arbeitsgang kurz zugeben.
B1	f81v	18	44	66	RECORD_FINAL_OPEN	An der gemeinsamen zweireihigen Figuren- und Beckenstation gilt: Zuerst ihn kurz einwirken lassen und den Schritt schließen. Danach ihn nach vorgeschriebenem Maß einsetzen; dann ihn im Lauf einspeisen; dann ihn an der bezeichneten Stelle anlegen; dann eine Portion weiter von dort dosiert zugeben; dann eine Portion weiter dosiert zugeben; dann ihn weiter an der bezeichneten Stelle abkühlen lassen; dann ihn führen; dann den Ansatz weiter an der bezeichneten Stelle durch den Durchlass kurz zurückhalten; dann ihn nach vorgeschriebenem Maß an der bezeichneten Stelle länger anlegen; dann ihn nach vorgeschriebenem Maß durch den Durchlass durchleiten und den Schritt schließen. Anschließend ihn weiter halten und zugeben und überführen und den Schritt schließen. Sodann ihn umsetzen; dann ihn weiter absetzen lassen und den Schritt schließen. Danach ihn weiter überführen und den Schritt schließen. Anschließend eine Portion einsetzen; dann ihn durch den Durchlass durchleiten; dann ihn an der bezeichneten Stelle abkühlen lassen; dann ihn einsetzen und überführen und den Schritt schließen. Sodann ihn weiter kurz warm halten; dann ihn weiter absetzen lassen und den Schritt schließen. Danach ihn kurz einwirken lassen und den Schritt schließen. Anschließend ihn kurz einwirken lassen und den Schritt schließen. Sodann ihn durch den Durchlass einleiten; dann ihn im Arbeitsgang waschen; dann ihn kurz wirken lassen; dann ihn kurz waschen und den Schritt schließen. Danach ihn kurz waschen und den Schritt schließen. Anschließend ihn umsetzen; dann ihn auffangen; dann ihn an der bezeichneten Stelle hinleiten und umfüllen; danach ihn weiter von dort kurz eintragen; dann ihn einsetzen und überführen und den Schritt schließen. Sodann ihn an der bezeichneten Stelle anlegen; dann ihn länger wirken lassen; dann ihn weiter absetzen lassen und den Schritt schließen. Danach ihn weiter an der bezeichneten Stelle kurz umfüllen und den Schritt schließen. Anschließend ihn führen; dann ihn weiter kurz halten; dann ihn im Arbeitsgang länger bis zur Sollstufe auffangen und den Schritt schließen. Sodann ihn absetzen lassen und den Schritt schließen. Danach ihn kurz warm halten; dann ihn durch den Durchlass kurz zurückhalten und den Schritt schließen. Anschließend an der bezeichneten Stelle weiterarbeiten.
B2	f82r	19	47	62	COMMITTED_CLOSE	An den lokalen Stationen von f82r gilt: Zuerst ihn überführen und den Schritt schließen. Danach ihn weiter überführen und den Schritt schließen. Anschließend eine Portion einsetzen; dann ihn länger einwirken lassen und den Schritt schließen. Sodann ihn an der bezeichneten Stelle anlegen; dann ihn durch den Durchlass durchleiten; dann ihn führen und umsetzen; dann ihn länger wirken lassen; dann ihn durch den Durchlass kurz durchleiten und den Schritt schließen. Danach ihn an der bezeichneten Stelle anlegen; dann ihn nach vorgeschriebenem Maß auffangen; dann ihn nach vorgeschriebenem Maß durch den Durchlass einleiten; dann ihn weiter im Arbeitsgang zunächst kurz, dann länger bis bereit warm halten; dann ihn abführen und den Schritt schließen. Anschließend ihn an der bezeichneten Stelle länger anlegen; dann ihn durch den Durchlass kurz zurückhalten; dann ihn einsetzen; dann ihn kurz ruhen lassen und den Schritt schließen. Sodann ihn von dort nach vorgeschriebenem Maß einsetzen; dann ihn absetzen lassen und den Schritt schließen. Danach ihn weiter kurz ruhen lassen und den Schritt schließen. Anschließend ihn länger wirken lassen; dann ihn einsetzen; dann ihn weiter länger halten; dann eine Portion einsetzen; dann eine Portion von dort einsetzen; dann ihn länger einwirken lassen und den Schritt schließen. Sodann ihn führen und abnehmen; dann ihn länger halten; dann ihn zunächst kurz, dann länger bis bereit wirken lassen; dann ihn länger führen; dann ihn nach vorgeschriebenem Maß vollständig einsetzen und den Schritt schließen. Danach ihn abführen und überführen und den Schritt schließen. Anschließend ihn von dort ableiten; dann ihn kurz halten; dann ihn länger einwirken lassen und den Schritt schließen. Sodann ihn von dort an der bezeichneten Stelle ableiten und umfüllen; dann ihn kurz abnehmen und teilen; danach ihn nach vorgeschriebenem Maß länger einsetzen; dann ihn kurz wirken lassen; dann ihn hineingeben und überführen und den Schritt schließen. Danach ihn an der bezeichneten Stelle kurz abkühlen lassen und ruhen lassen und den Schritt schließen. Anschließend ihn länger einwirken lassen und den Schritt schließen. Sodann ihn auskühlen lassen und absetzen lassen und den Schritt schließen. Danach länger einwirken lassen und den Schritt schließen. Anschließend ihn länger einwirken lassen und den Schritt schließen. Sodann ihn im Arbeitsgang abführen und überführen und den Schritt schließen.
B3	f83r	31	57	86	COMMITTED_CLOSE	Vom Rand bis zum sichtbaren Figurenpaar in B3 gilt: Zuerst ihn länger auffangen und den Schritt schließen. Danach ihn an der bezeichneten Stelle länger anwärmen und den Schritt schließen. Anschließend ihn nach vorgeschriebenem Maß abführen und abmessen und umsetzen und den Schritt schließen. Sodann ihn nach vorgeschriebenem Maß einsetzen; danach ihn von dort an der bezeichneten Stelle umfüllen und den Schritt schließen. Danach ihn umsetzen; dann ihn an der bezeichneten Stelle anlegen; dann ihn weiter überführen und den Schritt schließen. Anschließend ihn nach vorgeschriebenem Maß einsetzen; dann ihn umsetzen; dann ihn länger einwirken lassen und den Schritt schließen. Sodann ihn abführen und überführen und den Schritt schließen. Danach ihn einsetzen; danach ihn an der bezeichneten Stelle kurz hineingeben und umfüllen und den Schritt schließen. Anschließend ihn kurz bis bereit halten und umsetzen; dann ihn einsetzen; dann ihn umsetzen; dann ihn von dort absetzen lassen und den Schritt schließen. Sodann ihn nach vorgeschriebenem Maß einsetzen; dann eine Portion dosiert zugeben; dann ihn kurz bis bereit einwirken lassen und den Schritt schließen. Danach ihn im Lauf einleiten; dann ihn länger ruhen lassen und den Schritt schließen. Anschließend ihn abführen und überführen und den Schritt schließen. Sodann ihn im Arbeitsgang führen; dann ihn einsetzen und überführen und den Schritt schließen. Danach ihn länger einwirken lassen und den Schritt schließen. Anschließend ihn absetzen lassen und den Schritt schließen. Sodann ihn kurz einwirken lassen und ruhen lassen und den Schritt schließen. Danach ihn an der bezeichneten Stelle hinleiten und umfüllen und den Schritt schließen. Anschließend ihn nach vorgeschriebenem Maß einsetzen; dann ihn nach vorgeschriebenem Maß an der bezeichneten Stelle bis bereit ablagern; dann ihn kurz bis bereit halten; dann ihn an der bezeichneten Stelle bis bereit umfüllen und den Schritt schließen. Sodann ihn überführen und den Schritt schließen. Danach ihn abführen und überführen und den Schritt schließen. Anschließend ihn überführen und den Schritt schließen. Sodann ihn einsetzen und überführen und den Schritt schließen. Danach ihn von dort nach vorgeschriebenem Maß länger ableiten; dann ihn umsetzen; dann eine Portion einsetzen; dann ihn an der bezeichneten Stelle bis bereit abkühlen lassen; dann ihn länger auffangen und den Schritt schließen. Anschließend länger einwirken lassen und den Schritt schließen. Sodann ihn länger wirken lassen; dann ihn kurz einwirken lassen und den Schritt schließen. Danach ihn weiter vollständig eintragen; dann ihn kurz einwirken lassen und den Schritt schließen. Anschließend ihn einsetzen; dann ihn nach vorgeschriebenem Maß im Lauf durchleiten; danach ihn überführen und den Schritt schließen. Sodann ihn länger einwirken lassen und den Schritt schließen. Danach eine Portion abmessen und umsetzen; danach ihn nach vorgeschriebenem Maß kurz abmessen und umsetzen und den Schritt schließen. Anschließend ihn abführen und den Schritt schließen. Sodann ihn im Arbeitsgang bis bereit bis zur Sollstufe eintragen; danach ihn weiter nach vorgeschriebenem Maß an der bezeichneten Stelle ablagern und den Schritt schließen.
B4	f83r	16	35	47	COMMITTED_CLOSE	Am Figurenpaar und an den beiden Seitenstationen in B4 gilt: Zuerst ihn länger einwirken lassen und den Schritt schließen. Danach ihn weiter länger wirken lassen; dann ihn kurz einwirken lassen und den Schritt schließen. Anschließend ihn umsetzen; danach ihn an der bezeichneten Stelle länger anlegen; dann ihn einsetzen; dann ihn weiter absetzen lassen und den Schritt schließen. Sodann ihn einsetzen und befestigen und den Schritt schließen. Danach ihn als Portion abmessen und umsetzen; dann ihn länger einwirken lassen und den Schritt schließen. Anschließend ihn durch den Durchlass kurz zurückhalten und den Schritt schließen. Sodann ihn durch den Durchlass kurz zurückhalten und den Schritt schließen. Danach ihn nach vorgeschriebenem Maß länger warm halten; dann ihn länger halten; dann ihn kurz einwirken lassen und den Schritt schließen. Anschließend ihn absetzen lassen und den Schritt schließen. Sodann weiterarbeiten und den Schritt schließen. Danach ihn nach vorgeschriebenem Maß kurz warm halten; dann ihn weiter länger wirken lassen; dann eine Portion einsetzen; dann ihn umsetzen; dann ihn weiter kurz abführen und zugeben und den Schritt schließen. Anschließend ihn abführen und überführen und den Schritt schließen. Sodann ihn weiter einsetzen; dann ihn absetzen lassen und den Schritt schließen. Danach den Ansatz mit dem laufenden Bestand kurz durch den Durchlass führen und den Schritt schließen. Anschließend eine Portion einsetzen; dann ihn länger halten; dann eine Portion dosiert zugeben; dann ihn an der bezeichneten Stelle durch den Durchlass ablaufen lassen; dann ihn kurz auffangen; dann ihn abführen und überführen und den Schritt schließen. Sodann eine Portion weiter dosiert zugeben; dann ihn von dort an der bezeichneten Stelle zuführen; dann ihn absetzen lassen und den Schritt schließen.
B5	f83r	3	6	11	RECORD_FINAL_OPEN	Im linken Fransenstations-Nachtrag gilt: Zuerst ihn überführen und den Schritt schließen. Danach ihn einsetzen und überführen und den Schritt schließen. Anschließend ihn an der bezeichneten Stelle ablagern; dann ihn weiter an der bezeichneten Stelle hinleiten; dann ihn an der bezeichneten Stelle umfüllen; dann ihn weiter nach vorgeschriebenem Maß bis zur zweiten Sollstufe abmessen und umsetzen.
