occurrence_no	clause_id	instruction_id	record	page	action_component	frame_code	frame_conditioned_verb_de	trigger	narrowed_from_base	member_card_nos	source_position_ids	component_values_changed
1	I001-C01	I001	H1	f10r	CH	TAKE_OFF	abnehmen	CH ohne Stoffrahmen	YES	PROC001	SRC_E001	NO
2	I001-C03	I001	H1	f10r	CH	PATH_DRAW	ablaufen lassen	CH plus Lauf/Durchlass	YES	PROC005|PROC006	SRC_E005|SRC_E006	NO
3	I001-C04	I001	H1	f10r	CH	TAKE_OFF	abnehmen	CH ohne Stoffrahmen	YES	PROC007	SRC_E007	NO
4	I001-C08	I001	H1	f10r	CH	TAKE_OFF	abnehmen	CH ohne Stoffrahmen	YES	PROC012|PROC013|PROC014	SRC_E012|SRC_E013|SRC_E014	NO
5	I002-C01	I002	H2	f10r	CH	PREPARATION_DRAW	abziehen	CH plus Ansatz/Arbeitsgang/Gabe	NO	PROC015	SRC_E015	NO
6	I002-C02	I002	H2	f10r	CH	PREPARATION_DRAW	abziehen	CH plus Ansatz/Arbeitsgang/Gabe	NO	PROC014|PROC016|PROC017|PROC018|PROC019|PROC019|PROC009|PROC019|PROC020	SRC_E016|SRC_E017|SRC_E018|SRC_E019|SRC_E020|SRC_E021|SRC_E022|SRC_E023|SRC_E024	NO
7	I002-C05	I002	H2	f10r	CH	PREPARATION_DRAW	abziehen	CH plus Ansatz/Arbeitsgang/Gabe	NO	PROC019|PROC025	SRC_E037|SRC_E038	NO
8	I003-C01	I003	H3	f11r	SH	HOLD	halten	SH ohne engeren Rahmen	NO	PROC026	SRC_E039	NO
9	I003-C02	I003	H3	f11r	SH	TARGET_HOLD	an Ort halten	SH plus Ziel	YES	PROC027	SRC_E040	NO
10	I003-C04	I003	H3	f11r	SH	HOLD	halten	SH ohne engeren Rahmen	NO	PROC029	SRC_E042	NO
11	I003-C06	I003	H3	f11r	SH	TIMED_HOLD	halten	SH plus Grad ohne Schluss	NO	PROC031	SRC_E044	NO
12	I003-C07	I003	H3	f11r	CH	PREPARATION_DRAW	abziehen	CH plus Ansatz/Arbeitsgang/Gabe	NO	PROC032	SRC_E045	NO
13	I004-C01	I004	H3	f11r	SH	HOLD	halten	SH ohne engeren Rahmen	NO	PROC033	SRC_E046	NO
14	I006-C04	I006	H4	f55v	CH	SOURCE_TAKE	entnehmen	CH plus Quelle	YES	PROC045	SRC_E065	NO
15	I006-C05	I006	H4	f55v	CHK	COMMIT_TEMPER	temperieren	CHK plus Schluss	YES	PROC046|PROC047	SRC_E066|SRC_E067	NO
16	I008-C01	I008	H5	f56r	CH	PREPARATION_DRAW	abziehen	CH plus Ansatz/Arbeitsgang/Gabe	NO	PROC051	SRC_E074	NO
17	I008-C03	I008	H5	f56r	CH	PREPARATION_DRAW	abziehen	CH plus Ansatz/Arbeitsgang/Gabe	NO	PROC020	SRC_E080	NO
18	I008-C06	I008	H5	f56r	CH	PATH_DRAW	ablaufen lassen	CH plus Lauf/Durchlass	YES	PROC057	SRC_E086	NO
19	I009-C01	I009	H5	f56r	SH	HOLD	halten	SH ohne engeren Rahmen	NO	PROC058	SRC_E087	NO
20	I009-C05	I009	H5	f56r	CH	PREPARATION_DRAW	abziehen	CH plus Ansatz/Arbeitsgang/Gabe	NO	PROC061	SRC_E092	NO
21	I011-C06	I011	B1	f81v	R	TARGET_COOL	abkühlen lassen	R plus Ziel	YES	PROC055|PROC013|PROC071	SRC_E109|SRC_E110|SRC_E111	NO
22	I011-C08	I011	B1	f81v	SH	PATH_HOLD	zurückhalten	SH plus Lauf/Durchlass	YES	PROC022|PROC013|PROC073	SRC_E113|SRC_E114|SRC_E115	NO
23	I012-C01	I012	B1	f81v	SH	HOLD	halten	SH ohne engeren Rahmen	NO	PROC013|PROC077	SRC_E121|SRC_E122	NO
24	I013-C02	I013	B1	f81v	SHED	COMMIT_SETTLE	absetzen lassen	SHED plus Schluss	YES	PROC013|PROC078	SRC_E124|SRC_E125	NO
25	I015-C03	I015	B1	f81v	R	TARGET_COOL	abkühlen lassen	R plus Ziel	YES	PROC081	SRC_E130	NO
26	I016-C01	I016	B1	f81v	CHK	HOLD_WARM	warm halten	CHK plus Grad	YES	PROC019|PROC013|PROC083	SRC_E132|SRC_E133|SRC_E134	NO
27	I016-C02	I016	B1	f81v	SHED	COMMIT_SETTLE	absetzen lassen	SHED plus Schluss	YES	PROC013|PROC078	SRC_E135|SRC_E136	NO
28	I022-C03	I022	B1	f81v	SHED	COMMIT_SETTLE	absetzen lassen	SHED plus Schluss	YES	PROC013|PROC078	SRC_E154|SRC_E155	NO
29	I024-C02	I024	B1	f81v	SH	TIMED_HOLD	halten	SH plus Grad ohne Schluss	NO	PROC096	SRC_E160	NO
30	I025-C01	I025	B1	f81v	SHED	COMMIT_SETTLE	absetzen lassen	SHED plus Schluss	YES	PROC078	SRC_E163	NO
31	I026-C01	I026	B1	f81v	CHK	HOLD_WARM	warm halten	CHK plus Grad	YES	PROC083	SRC_E164	NO
32	I026-C02	I026	B1	f81v	SH	PATH_HOLD	zurückhalten	SH plus Lauf/Durchlass	YES	PROC099	SRC_E165	NO
33	I032-C04	I032	B2	f82r	CHK	HOLD_WARM	warm halten	CHK plus Grad	YES	PROC106|PROC107	SRC_E182|SRC_E183	NO
34	I033-C02	I033	B2	f82r	SH	PATH_HOLD	zurückhalten	SH plus Lauf/Durchlass	YES	PROC110	SRC_E187	NO
35	I033-C04	I033	B2	f82r	SH	TIMED_REST	ruhen lassen	SH plus Grad und Schluss	YES	PROC111	SRC_E189	NO
36	I034-C02	I034	B2	f82r	SHED	COMMIT_SETTLE	absetzen lassen	SHED plus Schluss	YES	PROC078	SRC_E192	NO
37	I035-C01	I035	B2	f82r	SH	TIMED_REST	ruhen lassen	SH plus Grad und Schluss	YES	PROC114	SRC_E193	NO
38	I036-C03	I036	B2	f82r	SH	TIMED_HOLD	halten	SH plus Grad ohne Schluss	NO	PROC115|PROC031	SRC_E196|SRC_E197	NO
39	I037-C01	I037	B2	f82r	CH	TAKE_OFF	abnehmen	CH ohne Stoffrahmen	YES	PROC116	SRC_E202	NO
40	I037-C02	I037	B2	f82r	SH	TIMED_HOLD	halten	SH plus Grad ohne Schluss	NO	PROC031	SRC_E203	NO
41	I039-C02	I039	B2	f82r	SH	TIMED_HOLD	halten	SH plus Grad ohne Schluss	NO	PROC122	SRC_E212	NO
42	I040-C02	I040	B2	f82r	CH	TAKE_OFF	abnehmen	CH ohne Stoffrahmen	YES	PROC124	SRC_E216	NO
43	I041-C01	I041	B2	f82r	SH	TIMED_REST	ruhen lassen	SH plus Grad und Schluss	YES	PROC126|PROC127	SRC_E222|SRC_E223	NO
44	I041-C01	I041	B2	f82r	R	TARGET_COOL	abkühlen lassen	R plus Ziel	YES	PROC126|PROC127	SRC_E222|SRC_E223	NO
45	I043-C01	I043	B2	f82r	SHED	COMMIT_SETTLE	absetzen lassen	SHED plus Schluss	YES	PROC128	SRC_E225	NO
