frame_rule_no	action_component	frame_code	frame_conditioned_verb_de	trigger	occurrences	narrowed_from_base
PS01	CH	PATH_DRAW	ablaufen lassen	CH plus Lauf/Durchlass	3	YES
PS02	CH	PREPARATION_DRAW	abziehen	CH plus Ansatz/Arbeitsgang/Gabe	7	NO
PS03	CH	SOURCE_TAKE	entnehmen	CH plus Quelle	1	YES
PS04	CH	TAKE_OFF	abnehmen	CH ohne Stoffrahmen	5	YES
PS05	CHK	COMMIT_TEMPER	temperieren	CHK plus Schluss	1	YES
PS06	CHK	HOLD_WARM	warm halten	CHK plus Grad	5	YES
PS07	CHK	TARGET_WARM	anwärmen	CHK plus Ziel	1	YES
PS08	R	COMMIT_COOL	auskühlen lassen	R plus Schluss	1	YES
PS09	R	TARGET_COOL	abkühlen lassen	R plus Ziel	5	YES
PS10	SH	HOLD	halten	SH ohne engeren Rahmen	5	NO
PS11	SH	PATH_HOLD	zurückhalten	SH plus Lauf/Durchlass	5	YES
PS12	SH	TARGET_HOLD	an Ort halten	SH plus Ziel	1	YES
PS13	SH	TIMED_HOLD	halten	SH plus Grad ohne Schluss	9	NO
PS14	SH	TIMED_REST	ruhen lassen	SH plus Grad und Schluss	5	YES
PS15	SHED	COMMIT_SETTLE	absetzen lassen	SHED plus Schluss	12	YES
PS16	SHED	TARGET_DEPOSIT	ablagern	SHED plus Ziel	3	YES
