teaching_order	symbol	layer	atomic_value_de	owner_expansion_de	status	surface_type_count	visible_group_count	registers	pages	example_surfaces	minimal_pair_ids	caution_de
1	AIIN	COMMON	SOLLWERT	Sollmaß oder Tabellenwert	PORTABEL	28	63	ASTRO|PROSE	f10r|f11r|f55v|f56r|f67r2|f68r1|f69v|f81v|f82r|f83r	aiin|alaiin|aldaiin|chaiin|chedaiin|chldaiin|choaiin|chodaiin|cthaiin|dadaiin|daiin|oaiin	P01|Q01|Q02|Q03|Q04|Q05	nicht mit AIN oder IIN verschmelzen
2	AIN	COMMON	PORTION	Teilmenge oder Unterabschnitt	PORTABEL	17	25	ASTRO|PROSE	f55v|f67r2|f81v|f82r|f83r	ain|chedain|chkain|dain|kain|odain|oekain|okain|olkain|orain|qokain|qolkain	Q01|Q03|Q04|Q05|Q06	abgeteilte Menge, kein Sollwert
3	IIN	COMMON	STUFE	Arbeits- oder Bedingungsstufe	PORTABEL	11	11	ASTRO|PROSE	f10r|f67r2|f68r1|f81v|f83r	daiiin|doiin|giin|kaiiin|odaeiin|odaiiin|oiiin|oiin|oiinar|okaiiin|soiiin	Q02|Q06	Prozess- oder Tabellenstufe
4	AL	COMMON	ZIEL	Zielstelle oder Zielsektor	PORTABEL	52	72	ASTRO|PROSE	f11r|f55v|f56r|f67r2|f68r1|f69v|f81v|f82r|f83r	al|alaiin|aldaiin|aldy|alys|chal|chckhal|chdal|cheal|chealror|chodaly|chokal	D01|D03|D04|D05|D06|D07|G09|P02|P03|Q05	hin zur bezeichneten Adresse
5	AR	COMMON	QUELLE	Ausgang oder Bezugswert	PORTABEL	45	69	ASTRO|PROSE	f10r|f55v|f56r|f67r2|f68r1|f69v|f81v|f82r|f83r	ar|aram|char|chary|chear|cheedar|cheoar|chkchdar|chykar|dar|daram|dary	D01|D02|D03|D04|D05|D06|D07|O03	her von der bezeichneten Adresse
6	AIR	COMMON	LAUF_BAHN	Wasserlauf oder Himmelsbahn	BESITZER_EXPANDIERT	13	18	ASTRO|PROSE	f10r|f67r2|f69v|f81v|f83r	air|airchy|chair|dair|dairydy|doair|kair|odair|okair|qofair|qotair|schedair	D02	nasser Besitzer: Flüssigkeitslauf; Rad: Bahn
7	OK	COMMON	ANSETZEN	Posten in Arbeit setzen	PORTABEL	65	132	ASTRO|PROSE	f10r|f11r|f55v|f56r|f67r2|f68r1|f69v|f81v|f82r|f83r	chokcheo|chokchy|choky|dokan|iokeeor|okaiiin|okaiin|okain|okair|okal|okar|okardy	D03|G01|G02|G03|G09|Q03|X02|X03	Argument und Grad folgen
8	OL	COMMON	FORTSETZEN	denselben Gang weiterführen	PORTABEL	54	75	ASTRO|PROSE	f10r|f11r|f55v|f56r|f67r2|f68r1|f69v|f81v|f82r|f83r	cheol|chkchykoly|chol|cholor|cphol|dchol|dolchedy|dolchsody|dsheol|kchol|keol|lol	O01|O02|O03|O04|O05|X05	derselbe aktive Gang
9	OT	COMMON	FOLGEND	nächster Posten oder nächste Stufe	PORTABEL	49	62	ASTRO|PROSE	f10r|f11r|f56r|f67r2|f68r1|f69v|f81v|f82r|f83r	choteey|ot|otaiin|otal|otaldal|otar|otaza|otchdy|otchedy|otcheody|otchey|otchl	D04|G04|O01|O02|O03|O04|O05|P04	nächster Gang oder Posten
10	OR	COMMON	ANSATZ_SATZ	Arbeitsansatz oder Tabellensatz	AKTIVER_KERN	28	36	ASTRO|PROSE	f10r|f55v|f56r|f67r2|f68r1|f69v|f81v|f83r	chealror|cheokorchey|chochor|cholor|chor|chpor|cthoor|iokeeor|olor|or|orain|oraly	NONE	konkretes Nomen weiterhin vom Besitzer beziehen
