surface_id	visible_surface	register_status	observed_groups	pages	atom_sequence	teaching_class	short_spoken_value_de	owner_rule_de	apprentice_action_de	memorized_body_or_residue	example_group	example_owner	example_value_de	original_classification
SF0001	a	ASTRO_ONLY	1	f69v	A	TABLE_LOCAL_CODE	Hauptwert	sichtbare Diagrammadresse liefert den konkreten Tabellengegenstand	lokalen Tafelwert am sichtbaren Besitzer nachschlagen	NONE	A3:G096	A3_RIGHT_WHEEL_RING_TEXT	Hauptwert	ASTRO_LOCAL_PRIMITIVE_MICROCODE
SF0002	aiin	PROSE_AND_ASTRO	9	f55v|f67r2|f69v|f82r|f83r	AIIN	PRODUCTIVE_COMMON_COMPOSITION	Sollmaß	gemeinsamer Kern bleibt; Bild oder Diagramm konkretisiert den Gegenstand	gemeinsame Kerne in Reihenfolge lesen	NONE	E068	H4	Sollmaß	PRODUCTIVE_BREVIGRAPH
SF0003	ain	ASTRO_ONLY	2	f67r2	AIN	PRODUCTIVE_COMMON_COMPOSITION	gezaehlter Teil oder Unterabschnitt	sichtbare Diagrammadresse liefert den konkreten Tabellengegenstand	gemeinsame Kerne in Reihenfolge lesen	NONE	A1:G031	A1_RIGHT_RING_BAND_01	gezaehlter Teil oder Unterabschnitt	PRODUCTIVE_CORE_SIGN
SF0004	air	ASTRO_ONLY	4	f67r2|f69v	AIR	PRODUCTIVE_COMMON_COMPOSITION	Himmels-, Ring- oder Zeigerlauf	sichtbare Diagrammadresse liefert den konkreten Tabellengegenstand	gemeinsame Kerne in Reihenfolge lesen	NONE	A1:G079	A1_LEFT_LOCAL_FIELD_32	Himmels-, Ring- oder Zeigerlauf	PRODUCTIVE_CORE_SIGN
SF0005	airchy	ASTRO_ONLY	1	f69v	AIR	REGISTERED_RENDERER_ALLOGRAPH	Himmels-, Ring- oder Zeigerlauf	sichtbare Diagrammadresse liefert den konkreten Tabellengegenstand	Schreiberrahmen normalisieren und Kern lesen	NONE	A3:G075	A3_MIDDLE_WHEEL_RING_TEXT	Himmels-, Ring- oder Zeigerlauf	REGISTERED_ASTRO_OPERATION_ALLOGRAPH
SF0006	al	PROSE_ONLY	1	f81v	AL	PRODUCTIVE_COMMON_COMPOSITION	dorthin	Bildbesitzer und laufender Record liefern Stoff, Gerät oder Stelle	gemeinsame Kerne in Reihenfolge lesen	NONE	E109	B1	dorthin	PRODUCTIVE_BREVIGRAPH
SF0007	alaiin	ASTRO_ONLY	1	f67r2	AL+AIIN	PRODUCTIVE_COMMON_COMPOSITION	Ziel-Sollwert	sichtbare Diagrammadresse liefert den konkreten Tabellengegenstand	gemeinsame Kerne in Reihenfolge lesen	NONE	A1:G080	A1_LEFT_LOCAL_FIELD_32	Ziel-Sollwert	PRODUCTIVE_ASTRO_COMPOSITION
SF0008	aldaiin	ASTRO_ONLY	1	f67r2	AL+AIIN	REGISTERED_RENDERER_ALLOGRAPH	Ziel-Sollwert	sichtbare Diagrammadresse liefert den konkreten Tabellengegenstand	Schreiberrahmen normalisieren und Kern lesen	NONE	A1:G156	A1_LEFT_OUTER_RING_TEXT	Ziel-Sollwert	RENDERER_ALLOGRAPH_OF_PRODUCTIVE
SF0009	aldy	ASTRO_ONLY	1	f67r2	AL	REGISTERED_RENDERER_ALLOGRAPH	Zielsektor, Zielstern oder Zielfeld	sichtbare Diagrammadresse liefert den konkreten Tabellengegenstand	Schreiberrahmen normalisieren und Kern lesen	NONE	A1:G032	A1_RIGHT_RING_BAND_01	Zielsektor, Zielstern oder Zielfeld	REGISTERED_RELATIONAL_CORE_ALLOGRAPH
SF0010	alys	ASTRO_ONLY	1	f69v	AL	REGISTERED_RENDERER_ALLOGRAPH	Zielsektor, Zielstern oder Zielfeld	sichtbare Diagrammadresse liefert den konkreten Tabellengegenstand	Schreiberrahmen normalisieren und Kern lesen	NONE	A3:G140	A3_LEFT_RADIAL_SLOT_28	Zielsektor, Zielstern oder Zielfeld	REGISTERED_RELATIONAL_CORE_ALLOGRAPH
SF0011	am	ASTRO_ONLY	3	f67r2	AM	TABLE_LOCAL_CODE	ASPEKT	sichtbare Diagrammadresse liefert den konkreten Tabellengegenstand	lokalen Tafelwert am sichtbaren Besitzer nachschlagen	NONE	A1:G054	A1_LEFT_LOCAL_FIELD_21	ASPEKT	ASTRO_LOCAL_PRODUCTIVE_CONTENT_ROOT
