rank	candidate_id	date_window	attested_object	productive_small_units	memorized_whole_values	semantic_atoms	unseen_composition_predictable	domain_fit	best_use	fatal_mismatch	selected_role
1	TCC_MEDICAL_BREVIGRAPHY	ca.1450	Trinity College Cambridge O.1.77	HIGH	HIGH	LOW	YES_ORTHOGRAPHIC	HIGH	period workshop implementation	components encode letters and endings rather than technical meanings	PERIOD_WRITING_MECHANISM
2	ITALIAN_MIXED_NOMENCLATOR	1379-1440	Parma Venice and Urbino cipher keys	HIGH	HIGH	NONE	YES_PHONOGRAPHIC	LOW	whole-value override plus productive fallback	fallback spells sounds or letters and does not compose meanings	LEXICON_ARCHITECTURE
3	PSEUDO_LULLIAN_ALCHEMY	mid-14th work; 15th witnesses	Codicillus and related wheels	MEDIUM	LOW	HIGH	YES_DIAGRAMMATIC	HIGH	material-operation-phase dimensions	combination is diagrammatic and several assignments are reconstruction	SEMANTIC_DIMENSIONS
4	BUCH_HEILIGE_DREIFALTIGKEIT	ca.1416-1430	Wellcome MS.164 and GNM Hs.80061 tradition	MEDIUM	HIGH	HIGH	PARTLY	HIGH	letters for metals and operations plus triads and emblems	triad positions are not shown to be a productive inline grammar	CLOSEST_SINGLE_SEMANTIC_OBJECT
5	LULLIAN_ARS	1305-1308 work; 1432 and 15th-c witnesses	Ars brevis and Ars generalis manuscripts	HIGH	LOW	HIGH	YES	MEDIUM	semantic pair and triple composition	each letter has several figure-dependent meanings and there is no open whole-word lexicon	SEMANTIC_COMBINATION_WARNING
6	TIRONIAN_CNT	chief witnesses 8th-9th c.	Commentarii Notarum Tironianarum	HIGH	HIGH	MEDIUM	YES	LOW	principal/root note plus prefix termination and whole note	fatal chronological gap for living workshop use ca.1420	MECHANICAL_ANCESTOR_ONLY
7	BLACK_MENSURAL_NOTATION	late-14th to early-15th c.	Vat. Reg. lat.1146 and Prosdocimus 1412	HIGH	MEDIUM	FORMAL	YES	NONE	stable cross-base modifier discipline	not language and no material or operation lexicon	MODIFIER_STANDARD
8	ITALIAN_ABBACUS_ALGEBRA	ca.1390-1429	anonymous algebra and Dardi manuscripts	HIGH	LOW	HIGH_NARROW	YES	NONE	technical roots plus predictable powers and operators	narrow mathematical species and no nomenclator layer	PRODUCTIVITY_CONTROL
9	NUREMBERG_AND_STE1_BREVIGRAPHY	1400-1423	Nuremberg council books and Sterzing recipe text	HIGH	MEDIUM	LOW	YES_ORTHOGRAPHIC	MEDIUM	multi-scribe learnability	ordinary visible German and Latin remain recoverable	TEACHABILITY_CONTROL
10	LATIN_ALCHEMICAL_SIGNS	13th-15th c. sporadic	De alchimia and early alchemical manuscripts	LOW	HIGH	HIGH	NO_GENERAL_RULE	HIGH	learned substance and process signs	notation is local sporadic and not a productive linear system	WHOLE_SIGN_CONTROL
