prediction_id	surface_family	old_working_gloss	forced_segmentation	new_predicted_gloss	local_context_fit	prediction_strength	what_would_defeat_it
P01	otol	Handvoll	OT+OL	danach weiter	between preparation continuation previous-item cards in H2-S002	HIGH	independent repeated use as a measured handful or object noun
P02	oteey	Badezusatz	OT+EEY	danach temperieren oder warm fortfahren	both B2 uses precede application/measure sequences and need no new ingredient	HIGH	recurrence as a stable material freely replacing known ingredients
P03	lchedar	kühles Wasser	L+CHED+AR	aus der Quelle oder Station abziehen	B2-S016 already contains site equal-share measure and added water so another water noun is redundant	MEDIUM_HIGH	clear recurrence introducing cool water before any transfer action
P04	qokar	über der Stelle	OK+AR	daraus oder von dort zuführen	occurs after same-duration and before rest; source-to-process reading is compact	MEDIUM	independent location contrast showing above versus below with same base
P05	qokaly	zweiter Lauf	OK+AL+Y	den laufenden Ansatz an die Zielstelle führen	precedes cloth connected run and measured application in B2-S005	HIGH	use in a non-target non-application context or independent proof that Y marks ordinal two
P06	olkain_or_qolkain	unteres Becken	OL+KAIN	mit einer weiteren Portion fortfahren	B1 occurrence sits beside KAIN AL and OL; B4 occurrence precedes target placement	HIGH	recurrence that uniquely names the same visible lower basin while quantity use fails
P07	ykaiin	Wunde waschen	Y+K+AIIN	den laufenden Ansatz bemessen	H4-S003 immediately continues with use of clear extract and timing; no card-internal wound anchor is needed	MEDIUM_HIGH	parallel YKAIIN occurrences consistently selecting wounds rather than quantity
P08	dairydy	sofort gebrauchen und Ende	D+AIR+Y+DY	den Flüssigkeitslauf des Ansatzes abschließen	B4 sequence has preparation current portion and site before this terminal card	MEDIUM	new use with no flow/liquid opportunity but clear immediate-use contrast
P09	oiiin_or_soiiin	klar	O_or_S+IIN	Grad Maß oder Dosis	IIN is nested near the AIIN quantity family and both occurrences admit parameter readings	MEDIUM	both contexts independently require a visible clarity endpoint and reject quantity
P10	ykan	Weißwein zugeben	Y+KAN	weitere oder verkürzte Portion	immediately follows YKAIN in H4-S001; minimal-pair reading removes an invented ingredient	HIGH	new occurrence functioning as wine while YKAIN remains a portion
P11	dchey	Wurzelteil	D+CHEY	ausgewählter oder erster Materialanteil	H1 image supplies the plant owner so the card need not lexicalize root	MEDIUM	independent recurrence tied specifically to roots against other plant parts
P12	kchey	grob zerreiben	K+CHEY	Materialanteil druckvoll bearbeiten	H5 sequence material then treatment then dose handling supports shared CHEY nucleus	MEDIUM	CHEY relatives fail to share a material/treatment nucleus
P13	etyd	Wurzelteil	ETY+DY	fertige nasse Zubereitung oder Behandlungszustand	terminal position of H1-S001 and DY family favor result not a second root noun	LOW_MEDIUM	recurrence as a body or plant-part noun outside terminal position
P14	ches	gleiche Anteile	WHOLE_VALUE	je oder zu gleichen Teilen	immediately scopes AIIN in B2-S016; concise quantifier is historically recipe-like	MEDIUM_HIGH	recurrence as material object or action outside quantity scope
