layer_id	selected_rule	historical_mechanism	current_candidate_units	allowed_output	blocked_overreach	forward_test
L1	LONGEST_WHOLE_VALUE_FIRST	Italian nomenclator plus lexical brevigraphs and Nomina sacra	context-stable exact card	one short noun verb state relation or function word	sentence-sized macro or a new whole gloss created only after a failed parse	recurrent whole card must keep the same compact category across contexts
L2	LONGEST_INDEPENDENT_ROOT	Tironian principal note and late-medieval stem suspension	AIIN AIN AL AR AIR CHED OKE	one stable technical nucleus	universal one-letter roots inferred from inner substring overlap	root contribution must survive at least two different outer shells
L3	LEFT_AUXILIARY	Tironian prefix addition and productive initial brevigraph	OK OT OL and provisional L	short action sequence or continuation contribution	new concrete object introduced by the prefix	known base N and auxiliary plus N must differ only by auxiliary contribution
L4	RIGHT_ARGUMENT	apothecary unit plus fraction and semantic class labels	AIIN=measure AIN=portion AL=target AR=source AIR=flow	one quantity place source or medium role	whole recipe clause inside the argument	parallel OK+argument forms must preserve both OK and argument values
L5	CONTEXT_SELECTS_SENSE	Lullian active figure and tabular medical-astrological placement	page section owner and construction	choose among a small declared set of senses	invent an unrelated sense for every occurrence	each root may have at most one base sense plus one declared register specialization
L6	GRADE_REQUIRES_TRANSFER	mensural cross-base modifier discipline	E EE EEE and other repeated features	degree duration iteration or aspect only when direction repeats	E globally means more based only on one OKE family	second independent base must preserve ordered effect before global promotion
L7	DY_CLOSES_OPERATION	productive final abbreviation and terminal mensural rule	DY after an operation base	completed or committed state	the complete action is supplied by DY alone	removing DY should preserve operation and remove only completion
L8	CHED_IS_BROADER_THAN_LCHED	root family under multiple Tironian-like shells	D S T P OT OL L plus CHED(Y)	transfer process or treatment nucleus with outer modifier	LCHED receives a different unrelated meaning in each suffix family	D/S/T/P/OT/OL/L shells must share a minimal transfer/treatment component
L9	QUANTITY_MINIMAL_PAIR	measure and fraction distinction in recipe notation	AIN versus AIIN	portion versus normed measure	free synonymy or ad hoc swap between two forms	OKAIN/OKAIIN YKAIN/YKAIIN and DAIN/DAIIN should preserve one contrast
L10	PRODUCTIVE_FALLBACK_IS_NOT_AUTOMATICALLY_SEMANTIC	mixed cipher alphabet and syllabary	unexplained shared fragments	leave as sound/form candidate or whole card	assign meaning from recurrence alone	semantic parse wins only when it predicts a new context better than whole-card or phonographic rival
