source_id	system	date	object_or_work	evidence_used	url	main_caveat
SRC01	MEDICAL_BREVIGRAPHY	ca.1450	Trinity College Cambridge O.1.77 Collectanea medica	productive prefix suffix and superscript abbreviations plus Roman numerals apothecary measures and lexical whole abbreviations	https://varieng.helsinki.fi/series/volumes/14/honkapohja/	orthographic rather than semantic composition
SRC02	TECHNICAL_RECIPE_BREVIGRAPHY	1400-1425	CoReMA Ste1 Sterzing miscellany	period recipe text with productive omissions and memorized high-frequency abbreviation vn for vnd	https://gams.uni-graz.at/o:corema.ste1	natural German remains visible
SRC03	CHANCERY_BREVIGRAPHY	1408-1423	Nuremberg council letterbooks	multi-scribe productive contracted stems endings and conventional whole forms	https://doi.org/10.5281/zenodo.13881575	administrative natural-language writing
SRC04	MIXED_DIPLOMATIC_CIPHER	1379-1440	Italian Parma Venice and Urbino cipher examples	alphabet variants nulls syllables doublets and complete-word nomenclator values in mixed systems	https://www.nsa.gov/portals/75/documents/about/cryptologic-heritage/historical-figures-publications/publications/misc/voynich_manuscript.pdf	modern official reproduction of archival systems
SRC05	MIXED_DIPLOMATIC_CIPHER	1379-15th c.	William F. Friedman historical synthesis	1379 Lavinde key 1411 Venetian mixed cipher and fifteenth-century syllable plus whole-word nomenclators	https://www.nsa.gov/portals/75/documents/news-features/declassified-documents/friedman-documents/reports-research/FOLDER_535/41772109081119.pdf	phonographic productive layer
SRC06	LULLIAN_SEMANTIC_ALPHABET	15th c. witness	Edinburgh MS 117 Ars generalis ultima	B-K alphabet forms propositions questions and figures; copied by two hands	https://archives.collections.ed.ac.uk/repositories/2/archival_objects/169401	religious-logical not workshop recipe notation
SRC07	PSEUDO_LULLIAN_ALCHEMY	mid-14th work; 15th-c witnesses	Codicillus rota alphabetalis	letters and quadrants organize substances operations phases and colors	https://ojs.unito.it/index.php/noctua/article/view/12077	diagrammatic and partly reconstructed
SRC08	PSEUDO_LULLIAN_MANUSCRIPT	1472 and later-15th copy	Science History Institute MS 6 Codicillus	illustrated tables figures annotations and four-stage practical opus	https://digital.sciencehistory.org/works/pv54euh	copy is later than core 1420 window
SRC09	ALCHEMICAL_LETTER_SYMBOLISM	ca.1420	Buch der heiligen Dreifaltigkeit GNM Hs.80061	letters designate metals and operations; early use of diverse symbols and diagrams	https://hyle.org/journal/issues/9-2/obrist.pdf	Latin-West symbolic notation remained sporadic
SRC10	ALCHEMICAL_EMBLEM_SYSTEM	1416-1419	Wellcome MS.164 Buch der heiligen Dreifaltigkeit	planet virtue metal diagrams and learned Rebis whole emblem in one multi-hand codex	https://wellcomecollection.org/works/d3vapay8	emblematic correspondence not inline morphology
SRC11	TIRONIAN_ROOT_AUXILIARY	chief witnesses 8th-9th c.	Commentarii Notarum Tironianarum	principal or root notes combine with prefixes syllable or ending notes alongside memorized word notes	https://archive.org/details/commentariinotar00schm	fatal chronological gap for productive use ca.1420
SRC12	NOTAE_IURIS	medieval	Universitat de Barcelona terminology record	technical legal abbreviations mix suspension contraction Tironian-derived and conventional signs	https://www.ub.edu/ubterm/terme/notae-iuris/	no single unified semantic code
SRC13	MENSURAL_NOTATION	late-14th to early-15th c.	Vat. Reg. lat.1146 and Libellus cantus mensurabilis	base signs modified by form stroke dot color position and mensuration with explicit ligature rules	https://digi.vatlib.it/mss/edition/MSS_Reg.lat.1146	formal duration values not words
SRC14	MENSURAL_TEACHING	1412	Prosdocimus de Beldemandis Tractatus practice cantus mensurabilis ad modum Ytalicorum	period-exact teachable modifier system	https://www.corpusmusicae.com/msd/msd-samples/54-029-000spgs.pdf	music rather than technical prose
SRC15	ITALIAN_ABBACUS_ALGEBRA	ca.1390-1429	anonymous algebra and Dardi witnesses	n rho c b and other species signs mix with words; higher powers and operations are predictably composed	https://www.researchgate.net/publication/266977181_Polynomials_and_equations_in_medieval_Italian_algebra	narrow mathematical semantics and no whole-word nomenclator
SRC16	MEDIEVAL_RECIPE_ARCHITECTURE	14th c.	UAB Tractatus fols.20v-21r	material amount action duration observable endpoint straining cooling and application in compact recipes	https://library.uab.edu/locations/reynolds/collections/medieval-renaissance-manuscripts/tractatus/folio-20v	fields remain separate words and phrases
