rule_id	historical_system	date	witness_or_page	historical_rule	attested_example	target_family	proposed_concrete_reading	prediction_on_fixed_pages	main_limit	source_id
CW01	Middle-English brevigraph	ca.1450	TCC O.1.77 123r	A compact initial sign supplies the same graphemic prefix inside a longer word	looped-p + pirtees = propirtees	OK-	nimm/bereite/behandle	Forms sharing the remainder should differ chiefly by instruction status or preparation onset	The historical prefix encodes letters rather than a semantic operator	S01
CW02	Medieval con/com brevigraph	medieval	general paleographic rule	One word-initial sign can realize con- or com- according to context	ꝯ = con-/com-	OK-	produktiver Anweisungsanfang	OK- should recur before several concrete materials or operations without changing its core contribution	Surface resemblance supplies no identity with the historical sign	S01
CW03	Productive final abbreviation	ca.1450	TCC O.1.77 123r and 127r	A reusable final sign has context-sensitive realizations	bestꝭ and planetꝭ	-DY	abgeschlossen/erreicht	DY forms should favor completed states or results while the preceding stem supplies the action	The historical ending is grammatical not aspectual	S01
CW04	Productive superscript system	ca.1450	TCC O.1.77 123r	Visible base and small inserted or raised element jointly form one word	eu + er-sign + y = every	AIR and LCHED families	stable core plus compact modifier	Nested strings can be real components even when their surface span is interrupted	Does not identify any concrete Voynich value	S01
CW05	Lexical whole abbreviation	ca.1450	TCC O.1.77 122r	One learned mark expands to an entire fixed phrase	.i. = id est	opaque whole cards	learned apparatus/product/site card	Some high-value cards should resist all substring parses yet remain contextually stable	A whole abbreviation is not necessarily a technical noun	S01
CW06	Nomen sacrum	ca.1450	TCC O.1.77 1r	A conventional whole sign coexists with ordinary productive abbreviation	.ihc-bar. and Ihu-bar	opaque whole cards	closed workshop lexicon	Whole cards may coexist with productive stems without inconsistency	Sacred convention is a special lexical domain	S01
CW07	Apothecary measure notation	ca.1450	TCC O.1.77 first flyleaf and Boston MS 19 4v	A unit sign combines with a compact fraction marker	ounce-sign + ss = half ounce	AIIN and AIN	AIIN=measure; AIN=portion	AIIN should occupy quantity positions and allow separate material cards; AIN may act as a smaller portion or fill	No graphical or etymological link to the target strings	S01
CW08	Roman numerals	ca.1450	TCC O.1.77 123r	Language-independent quantity symbols are read in the matrix language	xij=12 and vij=7	AIIN and AIN	count/measure class	Measure cards should remain semantically stable across botanical biological and astronomical registers	Historical numerals have an externally known order absent here	S01
CW09	Equal-share recipe operator	14th c.	UAB Tractatus 20v	One compact term distributes equal quantities over a list of ingredients	handful of three herbs ana	AIIN	gemeinsames Maß	A single measure card may scope over more than one preceding material and need not repeat after each	ana is an ordinary Latin adverb not a fused code	S03
CW10	Recipe reduction endpoint	14th c.	UAB Tractatus 20v	Duration is specified by observable outcome rather than clock time	boil wine until one quarter remains	OKE/OKEE/OKEEE+DY	spülen/baden/durchtränken with reached endpoint	Longer OKE forms should align monotonically with penetration duration or degree and DY with completion	The manuscript uses phrases not vowel length	S03
CW11	Recipe color endpoint	14th c.	UAB Tractatus 20v	A visible color change tells the worker when to stop	boil bay oil until scum is green then cool and strain	OKE sequence and LCHED	grade then seihen/abziehen	The strongest OKE grade should precede an endpoint or LCHED separation step more often than the weakest	Color is an external observation not a written degree suffix	S03
CW12	Learned duration unit	14th c.	UAB Tractatus 21r	Duration can be a familiar recitation rather than a numeral	boil for the time needed to say Miserere	OKE/OKEE/OKEEE	kurz/mittel/lang soak or heat	If E repetition grades duration it should preserve event order and culminate at a shared result	Historical duration is lexically explicit; repetition coding remains weak	S04
