source_id	source_type	author_or_institution	title	witness_date	manuscript_or_object	page_or_folio	concrete_evidence_used	chronological_or_method_limit	url	accessed
S01	edition_and_paleographic_study	Alpo Honkapohja	Manuscript abbreviations in Latin and English	ca.1450	Trinity College Cambridge O.1.77 Collectanea medica	1r 6v 122r 123r 127r first flyleaf	qd contraction; pro-prefix brevigraph; whole .i.; nomina sacra; productive superscripts and suffix sign; Roman numerals; ounce-sign plus ss	Article published 2013; manuscript dated circa 1450 and one note elsewhere refers to 1460; examples are evidence of scribal mechanism not Voynich values	https://varieng.helsinki.fi/series/volumes/14/honkapohja/	2026-08-22
S02	library_catalogue	Trinity College Cambridge	O.1.77 Medical Texts	15th c.	TCC O.1.77	whole codex	Medical texts in Latin and Middle English; apothecary weights; urines; plague; planets; wines; quintessence	Catalogue gives broad century; Honkapohja supplies circa-1450 working date	https://mss-cat.trin.cam.ac.uk/Manuscript/O.1.77	2026-08-22
S03	digital_manuscript_and_transcription	UAB Reynolds-Finley Historical Library	Tractatus de Magnete and other tracts	14th c.	England vellum manuscript	20v	Bay oil until green scum then cool and strain; equal handfuls ana; boil in wine to quarter; strain; boil to endpoint; cool and form pieces	Date is only 14th century and may precede the requested core window; excellent recipe-formula comparator but not a compact code	https://library.uab.edu/locations/reynolds/collections/medieval-renaissance-manuscripts/tractatus/folio-20v	2026-08-22
S04	digital_manuscript_and_transcription	UAB Reynolds-Finley Historical Library	Tractatus de Magnete and other tracts	14th c.	England vellum manuscript	21r	Boil for duration of Miserere; remove; strain; wet canvas; wrap leg; three times daily; one-hour ointment	Date is coarse and recipe fields remain separate words	https://library.uab.edu/locations/reynolds/collections/medieval-renaissance-manuscripts/tractatus/folio-21r	2026-08-22
S05	scholarly_survey_with_manuscript_figure	Barbara Obrist	Visualization in Medieval Alchemy	ca.1420 witness	Nuremberg Germanisches Nationalmuseum Hs.80061	p.158 figure 2	Letter symbolism designating metals and alchemical operations; early-fifteenth-century use of planetary signs dots circles and alphabet letters	Secondary analysis; caption establishes class of notation but not a complete key	https://hyle.org/journal/issues/9-2/obrist.pdf	2026-08-22
S06	scholarly_survey	Barbara Obrist	Visualization in Medieval Alchemy	14th-c. works; 15th-c. witness	Pseudo-Lullian Testamentum and Codicillus; Oxford Corpus Christi MS 244	pp.158-160; Oxford fol.58vb	Letters and geometry organize principles ingredients and operations; figures indicate how the operator proceeds; operation/color stages	Oxford witness is generically fifteenth century and some copies are slightly later than 1450; diagrammatic not inline	https://hyle.org/journal/issues/9-2/obrist.pdf	2026-08-22
S07	manuscript_catalogue	Germanisches Nationalmuseum / catalogue tradition	Buch der heiligen Dreifaltigkeit	ca.1430	Nuremberg GNM Hs.80061	161 leaves; p.158 relevant	Multi-hand German alchemical codex; letter table and extensive illustrations; appended recipes and balm recipe	Catalogue description does not itself decode the alphabet system	https://www.handschriftencensus.de/12659	2026-08-22
S08	digital_manuscript_catalogue	Wellcome Collection	Buch der heiligen Dreifaltigkeit	1416-1419	Wellcome MS.164	30 67v 82v 99v 141	Seven-spoke planet/virtue diagram; four-element/planet/metal diagram; furnace with flasks; Rebis whole emblem; explicit internal dates	Compilation revised repeatedly; leaves missing or rebound; not every figure belongs to one production moment	https://wellcomecollection.org/works/d3vapay8	2026-08-22
S09	scholarly_monograph_excerpt	Harald Haferland	Mystische Theorie der Sprache bei Jacob Böhme; discussion of Ulmannus	early 15th c. text	Buch der heiligen Dreifaltigkeit	pp.96-97	Seven metals and planets assigned three-letter combinations from a 21-letter alphabet; three rows of seven; Decknamen overlay planets metals virtues colors elements	Rule behind every combination is not fully reconstructed; source discusses language mysticism rather than practical decoding	https://api.pageplace.de/preview/DT0400.9783110881943_A19971454/preview-9783110881943_A19971454.pdf	2026-08-22
S10	digital_manuscript_viewer	Dibner Institute / Museo Galileo project	Michael of Rhodes manuscript	begun 1434	Michael of Rhodes Venetian manuscript	p.103b	Pisces assigned to feet; lunar zodiac position used to schedule unbinding or bloodletting by body part	Medical relation is pictorial/tabular and has no material or dose inside the sign	https://brunelleschi.imss.fi.it/michaelofrhodes/manuscript/page_103b.html	2026-08-22
S11	digital_object_essay	Wellcome Collection / Elma Brenner	The enigma of the medieval folding almanac	1415-1420	English folding almanac in Latin	Zodiac Man	Planetary hours and moon sign consulted before procedures; zodiac signs placed on body parts indicate risky treatment times	Object article summarizes use; it is not a diplomatic edition of every label	https://wellcomecollection.org/stories/the-enigma-of-the-medieval-folding-almanac	2026-08-22
S12	historical_sign_lexicon	F. C. J. Spurrell	On remedies in the Sloane collections and on alchemical symbols	uses 13th-15th-c. witnesses	Sloane 976 and Sloane 830	pp.85-93	Variant signs for metals sulphur arsenic lime alum sal ammoniac vitriol and tartar; signs derived from planetary forms name contractions or arbitrary marks; later formulae possible	Old study explicitly calls its chronology imperfect; useful as inventory and warning not as sole dating authority	https://upload.wikimedia.org/wikipedia/commons/c/ca/On_remedies_in_the_Sloane_collections%2C_and_on_alchemical_symbols_%28IA_b24927521%29.pdf	2026-08-22
S13	digital_exhibition	Princeton University Library	The Philosophical Tree	14th-c. pseudo-Lullian works; ca.1450 English Ars brevis witness	Lullian and pseudo-Lullian diagrams	wheel and tree examples	Letters plotted on wheels represent principles; alchemists adapted diagrams to relationships among chemical materials and processes; trees show ingredient combination	Some displayed editions are 1498 or 1572 and are used only to explain continuity, not as 1420 witnesses	https://dpul.princeton.edu/alchemy/feature/the-philosophical-tree	2026-08-22
