row_id	row_kind	historical_system	date_or_witness	base_or_target	modifier_or_comparison	attested_result_or_prediction	formation_mechanism	source_id	fixed_ten_page_crosswalk	fit_grade	fatal_mismatch_or_limit	testable_consequence
H01	HISTORICAL_RULE	TIRONIAN_CNT	Carolingian witness; Schmitz Tab.32	ROGAT	E-/AB-/AD-/CON-/DE-/IN-/INTER-/PRAE-	EROGAT; ABROGAT; ADROGAT; CONROGAT; DEROGAT; INROGAT; INTERROGAT; PRAEROGAT	principal/root note plus prefix or compound addition	S01	productive initial-shell family	STRONG_MECHANISM	Not a 1420 witness and not a Voynich glyph mapping	A candidate initial shell may modify a stable nucleus without replacing it
H02	HISTORICAL_RULE	TIRONIAN_CNT	Carolingian witness; Schmitz Tab.32	MOVET	AD-/CON-	ADMOVET; CONMOVET	root note plus prefix addition	S01	OK-like productive initial shell	STRONG_MECHANISM	Latin lexical morphology only	Meaning nucleus should survive initial modification
H03	HISTORICAL_RULE	TIRONIAN_CNT	Carolingian witness; Schmitz Tab.32	MUTAT	E-/IN-/CON-/RE-/PER-/TRANS-	EMUTAT; INMUTAT; CONMUTAT; REMUTAT; PERMUTAT; TRANSMUTAT	root note plus multiple prefixes	S01	large family around one process nucleus	STRONG_MECHANISM	Nonlinear stroke placement may carry value	Do not demand simple left-to-right concatenation
H04	HISTORICAL_RULE	TIRONIAN_CNT	Carolingian witness; Schmitz Tab.32	MUTABILIS	RE-/SUB-/PER-/TRANS-/INCON-	REMUTABILIS; SUBMUTABILIS; PERMUTABILIS; TRANSMUTABILIS; INCONMUTABILIS	root plus derivational ending and prefix	S01	stem plus grade or operator	STRONG_MECHANISM	Large Latin inflectional inventory	A productive family can coexist with longer derived forms
H05	HISTORICAL_RULE	TIRONIAN_CNT	Carolingian witness; Schmitz Tab.32	VIVIT	past/derivation/RE-/CON-	VIXIT; VIVIDUS; VIVAX; VIVIFICAT; REVIVIT; REVIXIT; REVIVISCIT; CONVIVIT; CONVIXIT; CONVIVIUM	principal family with tense endings and compounds	S01	E/EE/EEE as possible grade or aspect	MEDIUM	Surface changes are not a simple repeated-letter scale	Repeated material may encode grammar rather than intensity
H06	HISTORICAL_RULE	TIRONIAN_CNT	Carolingian witness; Schmitz Tab.32	VOCAT	E-/A-/AD-/CON-/DE-/IN-/PRO-/RE-/SUB-	EVOCAT; AVOCAT; ADVOCAT; CONVOCAT; DEVOCAT; INVOCAT; PROVOCAT; REVOCAT; SUBVOCAT	principal note plus prefix strokes	S01	OK-/OT-/L- initial modifiers	STRONG_MECHANISM	Specific prefix meanings cannot be transferred	Stable inner form should retain one semantic nucleus
H07	HISTORICAL_RULE	TIRONIAN_CNT	Carolingian witness; Schmitz Tab.32	AESTIMAT	EX-; -BILIS; IN-...-BILIS	EXAESTIMAT; AESTIMABILIS; INAESTIMABILIS	prefix plus derivational termination	S01	AIIN/AIN related but distinct grades	MEDIUM	No historical link between AESTIMAT and AIIN	Supports form-family logic only
H08	HISTORICAL_RULE	TIRONIAN_CNT	Carolingian witness; Schmitz Tab.32	CITAT	IN-/EX-/RE-/SUS-/EXSUS-/RESUS-	INCITAT; EXCITAT; RECITAT; SUSCITAT; EXSUSCITAT; RESUSCITAT	root note plus productive prefix	S01	CHED in several outer shells	STRONG_MECHANISM	Latin prefixes not reusable as Voynich labels	Prefer CHED core over indivisible LCHED if outer shells vary
H09	HISTORICAL_RULE	TIRONIAN_CNT	Carolingian witness; Schmitz Tab.32	PARAT	AP-/AD-/CON-/PRAE-/RE-	APPARAT; ADPARAT; CONPARAT; PRAEPARAT; REPARAT	root note plus prefix	S01	workshop operation family	STRONG_MECHANISM	Meaning remains Latin and lexically grounded	A candidate operation should keep a simple core across pages
H10	HISTORICAL_RULE	TIRONIAN_CNT	Carolingian witness; Schmitz Tab.32	SUMIT	AB-/AD-/CON-/RE-/PRAE- plus perfect endings	ABSUMIT; ADSUMIT; CONSUMIT; RESUMIT; PRAESUMIT and corresponding perfects	prefix and tense termination around one principal	S01	current-action versus completed-grade possibilities	STRONG_MECHANISM	Requires grammar and exact sign placement	Do not force E length to mean physical intensity
