source_id	system	date_of_object	primary_object_or_witness	repository_or_shelfmark	url	source_level	concrete_evidence_used	role_in_ranking	caveat
S01	MIXED_DIPLOMATIC_CIPHER	1379; 1411; 1440	Reproduced Italian cipher alphabets and nomenclators	Parma, Venice and Urbino examples reproduced in NSA monograph	https://www.nsa.gov/portals/75/documents/about/cryptologic-heritage/historical-figures-publications/publications/misc/voynich_manuscript.pdf	MODERN_OFFICIAL_FACSIMILE_REPRODUCTION	Figure 39 juxtaposes alphabets, nulls, whole-word nomenclator values, doublets and QUA/QUE/QUI/QUO/QUU syllables	Primary concrete basis for rank 1 architecture	The PDF is not the original archival codex and supplies an English analytical presentation
S02	MIXED_DIPLOMATIC_CIPHER	1379–15th century	Historical account of Italian diplomatic ciphers	NSA Friedman collection, Folder 535	https://www.nsa.gov/portals/75/documents/news-features/declassified-documents/friedman-documents/reports-research/FOLDER_535/41772109081119.pdf	MODERN_HISTORICAL_SYNTHESIS	Describes alphabet substitutions, nulls, multiple equivalents, ba/be/bi-type syllables and expanding complete-word lists; specifies 1411 Venetian mixture	Independent support for the mixed-layer interpretation	Not a primary manuscript and should not be used to infer semantic morphemes
S03	LULLIAN_ARS_BREVIS	1307 composition	Ramon Llull, Ars brevis	Latin text transcription	https://www.ramonllull.net/sw_studies/l_br/t_ars.html	PRIMARY_TEXT_TRANSCRIPTION	Alphabet B-K has six meanings per letter; third figure has pair chambers; fourth figure combines three rings; table produces letter strings; teaching requires memorization	Explicit semantic composition and learning mechanism	Composition predates the target window; manuscript witnesses S04 and S05 establish later circulation
S04	LULLIAN_ARS_BREVIS	1432	Ars brevis; Logica nova	Biblioteca Virtual del Patrimonio Bibliográfico record 397905	https://bvpb.mcu.es/es/consulta/registro.do?id=397905	DIGITAL_MANUSCRIPT_CATALOGUE	Dated 1432 manuscript witness of the work	Places the combinatorial system exactly inside the requested window	Catalogue record supports date and witness, while operational rules come from S03
S05	LULLIAN_ARS_BREVIS	15th century	Ars brevis manuscript	University of Edinburgh MS 117, ff. 1r–10v	https://archives.collections.ed.ac.uk/repositories/2/archival_objects/169401	INSTITUTIONAL_MANUSCRIPT_CATALOGUE	Alphabet and figures occur on ff. 1r–6r; nine letters B-K form propositions and questions	Second in-window circulation witness	Catalogue description rather than a diplomatic transcription
S06	MENSURAL_NOTATION	late 14th–early 15th century	Music theory and mensural music manuscript	Biblioteca Apostolica Vaticana, Reg. lat. 1146	https://digi.vatlib.it/mss/edition/MSS_Reg.lat.1146	PRIMARY_DIGITAL_MANUSCRIPT	Visual witness for note forms, ligatures, mensuration and worked musical examples	Primary artifact behind rank 2	Rules are easier to inspect in transcription S07
S07	MENSURAL_NOTATION	late 14th century witness	Libellus cantus mensurabilis	Transcription based on Vat. Reg. lat. 1146, ff. 35r–46r	https://cmm2209.github.io/TMLr/14th/MURLIBR.html	PRIMARY_TEXT_TRANSCRIPTION	Defines five note values, binary/ternary subdivision, circle/semicircle and dot, color, imperfection/alteration, and explicit initial/medial/final ligature rules	Concrete generative rule set for rank 2	Dating and codex context cross-checked with S08
S08	MENSURAL_NOTATION	late 14th–early 15th century	Vat. Reg. lat. 1146 catalogue record	Digital Image Archive of Medieval Music source 631	https://www.diamm.ac.uk/sources/631/	SCHOLARLY_MANUSCRIPT_CATALOGUE	Dates theoretical treatises to late 14th century and tenors to early 15th; identifies black full mensural notation	Chronological and notational verification	Secondary metadata, not the source of individual rules
S09	MENSURAL_NOTATION	1412	Prosdocimus de Beldemandis, Tractatus practice cantus mensurabilis ad modum Ytalicorum	Witnesses Bologna A56 and Lucca 359 identified in edition	https://www.corpusmusicae.com/msd/msd-samples/54-029-000spgs.pdf	SCHOLARLY_EDITION_AND_TRANSLATION	Dated 1412 practical mensural treatise with manuscript witnesses	Confirms teachable mensural rule culture inside target window	Sample edition is not the original manuscript image
S10	MERCHANT_ACCOUNTING	1363–1410	Francesco Datini archive	Archivio di Stato di Prato, Datini archive	https://www.istitutodatini.it/schede/archivio/htm/arc-dat1.htm	INSTITUTIONAL_ARCHIVE_DESCRIPTION	Dates and characterizes the unusually complete late-medieval merchant archive	Establishes workshop/accounting context	Does not by itself state a compositional sign grammar
