row_id	class	historical_system	historical_rule	target_family	current_concrete_reading	fit	analogue_consequence	falsifier_or_counterevidence	working_decision
C01	CROSSWALK	MIXED_DIPLOMATIC_CIPHER	Full alphabet or syllable fallback plus memorized nomenclator entries	AIIN	Maß	AMBIGUOUS	AIIN can recur inside regular spellings without preserving a semantic nucleus	AIIN compounds form one coherent quantity class across unrelated bases	Retain gloss provisionally; do not infer it from recurrence alone
C02	CROSSWALK	MIXED_DIPLOMATIC_CIPHER	Full alphabet or syllable fallback plus memorized nomenclator entries	AIN	Portion	AMBIGUOUS	AIN can be a spelling fragment rather than a semantic part	AIN compounds distinguish bounded portions from AIIN measures across contexts	Retain contrast as a direct card prediction
C03	CROSSWALK	MIXED_DIPLOMATIC_CIPHER	Alphabetic sequence may cross semantic word structure	AL	Stelle	WEAK	AL need not denote location when embedded in a larger code string	Transparent X+AL cards consistently select sites, vessels or targets	Use long-root and whole-card blocking
C04	CROSSWALK	MIXED_DIPLOMATIC_CIPHER	Recurring syllables carry sound rather than meaning	AIR	fließende Flüssigkeit	WEAK	chair, kair, okair and schedair could share spelling without a liquid nucleus	New transparent AIR cards repeatedly pattern with flow or liquids	AIR remains the highest-risk concrete root
C05	CROSSWALK	MIXED_DIPLOMATIC_CIPHER	Frequent syllable values recur productively	OK-	geben	WEAK	OK can be a frequent syllable or cipher atom with no verb meaning	Across independently known nouns, OK produces the same apply/give relation	Require cross-base semantic constancy
C06	CROSSWALK	MIXED_DIPLOMATIC_CIPHER	A longer syllable value can supersede letterwise reading	LCH/LCHED-	ablassen	AMBIGUOUS	LCHED may be one syllabic unit and not LCH plus E plus D	LCHED+AL and LCHED+AIN preserve an outlet/drain meaning	Keep the longer LCHED family intact while testing
C07	CROSSWALK	MIXED_DIPLOMATIC_CIPHER	Double-letter and syllable values are categorical code units	OKE/OKEE/OKEEE+DY	spülen/baden/durchtränken; Ende	CONTRARY	Extra E need not be an intensity increment and EE can be a separate unit	Every additional E gives an ordered liquid-contact gradient in independent opportunities	Treat the gradient as narrow and fragile
C08	CROSSWALK	MIXED_DIPLOMATIC_CIPHER	Nomenclator entry overrides alphabetic decomposition	qotedaiin	breites Gefäß	STRONG	A memorized whole value can contain AIIN without meaning Maß	Repeated qotedaiin uses are container-like and resist regular AIIN parsing	Keep as whole-card exception
C09	CROSSWALK	MIXED_DIPLOMATIC_CIPHER	Nomenclator entry overrides alphabetic decomposition	dairydy	sofort gebrauchen; Ende	STRONG	A memorized whole value can contain AIR without denoting flowing liquid	Repeated dairydy uses retain immediate-use instruction rather than AIR behavior	Keep DAIRY as longer root plus productive DY only if recurrence permits
M01	CROSSWALK	MENSURAL_NOTATION	A reusable shape feature changes a base value according to fixed rules	AIIN	Maß	WEAK	A visible component is meaningful only if its effect generalizes across bases	AIIN adds the same quantity role outside one lexical family	No historical support for the noun gloss itself
M02	CROSSWALK	MENSURAL_NOTATION	Modifier effect generalizes across independent signs	AIN	Portion	WEAK	AIN must contribute boundedness consistently rather than merely recur	AIN and AIIN remain predictively distinct across several bases	Useful test of a semantic minimal pair
M03	CROSSWALK	MENSURAL_NOTATION	Position inside a composite can change the same sign's value	AL	Stelle	AMBIGUOUS	AL could be positional metadata rather than a noun	AL contribution tracks construction position more closely than depicted site	Competing formal reading remains open
M04	CROSSWALK	MENSURAL_NOTATION	A base plus stable modifier has calculable value	AIR	fließende Flüssigkeit	WEAK	No mensural rule licenses the concrete liquid gloss	AIR-bearing bases show a shared event contribution after other context is removed	Demand more than image association
M05	CROSSWALK	MENSURAL_NOTATION	Stroke, fill, dot or position changes multiple base signs consistently	OK-	geben	MEDIUM	OK is plausible as a productive operator if it yields one relation across nouns	OK effect changes between quantity, place and liquid bases without a common relation	Best analogue for testing OK as operator, not evidence for geben
M06	CROSSWALK	MENSURAL_NOTATION	Initial, medial and final ligature rules apply compositionally	LCH/LCHED-	ablassen	MEDIUM	The LCHED base can combine with a target or closure modifier	LCHED contribution disappears outside one fixed whole card	Test LCHED+AL, LCHED+AIN and LCHED+DY together
M07	CROSSWALK	MENSURAL_NOTATION	Repeated or changed graphic features can scale duration by a fixed relation	OKE/OKEE/OKEEE+DY	spülen/baden/durchtränken; Ende	MEDIUM	An E-count gradient is plausible only if each step has a constant effect	The three forms are unordered, synonymous, or the effect fails on another base	Do not extrapolate the scale beyond DY-bound forms yet
M08	CROSSWALK	MENSURAL_NOTATION	Some whole signs are memorized while ligatures remain rule-derived	Ganzkarten	memorierte konkrete Wörter	AMBIGUOUS	Apparent wholes may still admit a formal parse	A proposed whole card participates transparently in the same cross-base modifier rules	Keep exceptions few and test for later regularization
L01	CROSSWALK	LULLIAN_ARS_BREVIS	Each letter B-K has six figure-dependent meanings	AIIN/AIN/AL/AIR	stable concrete noun nuclei	CONTRARY	A short element may be meaningful yet lack one context-free gloss	The same root changes contribution systematically by construction or section	Use Lull as a warning against forced single-gloss roots
L02	CROSSWALK	LULLIAN_ARS_BREVIS	Pairs and triples generate questions and propositions	OK-/LCHED-	concrete verbs	MEDIUM	Short recurring elements can combine semantically in a learnable system	Combinations have no repeatable relation beyond surface overlap	Supports compositional possibility only
L03	CROSSWALK	LULLIAN_ARS_BREVIS	The active figure selects the meaning column	OKE/OKEE/OKEEE+DY	intensity scale	WEAK	Repeated letters need not encode scalar intensity	E count maps to contexts or construction families rather than monotonic contact	Keep alternate context-indexed analysis available
L04	CROSSWALK	LULLIAN_ARS_BREVIS	Generated combinations dominate; no open nomenclator layer is specified	Ganzkarten	memorized whole-word exceptions	CONTRARY	Lull alone does not explain many arbitrary whole-card values	Exception inventory grows whenever a root prediction fails	Prefer mixed-cipher architecture over pure Lullism
P01	PREDICTION	HYBRID_HEURISTIC	Transparent productive card unless blocked by a learned whole value	X+AIIN	Menge oder Maß	TO_TEST	A newly isolated transparent AIIN compound in the fixed corpus will be quantity-related	It is repeatedly and unambiguously a place, device or material	Falsifiable card-family prediction 1
P02	PREDICTION	HYBRID_HEURISTIC	Near forms must retain distinct reusable nuclei	X+AIN	abgegrenzte Portion oder Zugabe	TO_TEST	A newly isolated transparent AIN compound will denote a portion and not freely alternate with AIIN	AIN and AIIN substitute without a quantity distinction	Falsifiable card-family prediction 2
P03	PREDICTION	HYBRID_HEURISTIC	Stable noun nucleus survives productive prefixing	X+AL	Ort, Ansatzpunkt oder Zielstelle	TO_TEST	A newly isolated transparent AL compound will select a place, vessel station or target	No spatial, vessel or target role remains after context comparison	Falsifiable card-family prediction 3
P04	PREDICTION	HYBRID_HEURISTIC	Stable noun nucleus survives several bases	X+AIR excluding declared whole cards	Wasser, Fluss oder fließende Flüssigkeit	TO_TEST	A newly isolated transparent AIR card will be liquid- or flow-related	New recurrent AIR cards cluster in clearly non-liquid operations	Falsifiable card-family prediction 4
P05	PREDICTION	HYBRID_HEURISTIC	Productive operator acts consistently on independently read bases	OK+N	N geben oder ansetzen	TO_TEST	For a newly isolated N with an independent concrete reading, OK+N adds an apply/give action	OK merely produces unrelated lexical or graphic variants across several N bases	Falsifiable card-family prediction 5
