source_id	source_class	work_or_object	dating	repository_or_publisher	url	evidence_used	limitations	local_evidence_path
S01	CRITICAL_EDITION	Wilhelm Schmitz, Commentarii Notarum Tironianarum, especially Tabula 32	Edition 1893; witnesses chiefly 8th-9th c.	Internet Archive / Teubner	https://archive.org/details/commentariinotar00schm	Actual note tables and the fifteen attested derivational/compound families used in the crosswalk	Edition is modern and underlying practice is early medieval, not ca.1420	-
S02	SCHOLARLY_DIGITAL_LEXICON	Martin Hellmann, Supertextus Notarum Tironianarum: basis, structure, word notes and terminations	Digital project based on CNT and manuscript work	Martin Hellmann	https://martinellus.de/snt2/n/incipit.htm	Explicit separation of basic word notes from syllable/ending notes; line/element construction; TINCT family and searchable forms	Digital lexicon is a modern access instrument, not a late-medieval manual	-
S03	SCHOLARLY_DIGITAL_HISTORY	Martin Hellmann, Geschichte / Vorgeschichte of the Tironian lexicon	Digital project; historical synthesis	Martin Hellmann	https://martinellus.de/snt2/n/historia.htm	Carolingian revival and chancery/school use; notes become rare by the 10th century; later appearances reflect individual antiquarian interest	Concise synthesis rather than full monograph	-
S04	SCHOLARLY_EDITION_EXCERPT	A. C. Dionisotti ed., Expositio Notarum, introduction	Modern edition; CNT tradition 8th/9th c.	Cambridge University Press	https://assets.cambridge.org/97813165/14795/excerpt/9781316514795_excerpt.pdf	CNT has about 13000 word-note pairs; ordering by analyzable basic elements and topics; explicit DIVES family	Only the publisher excerpt was available	-
S05	PEER_REVIEWED_OPEN_CHAPTER	Christoph Walther, Tironian Notes and Legal Practice	2024 study; evidence chiefly 6th-9th c.	De Gruyter, New Approaches to Shorthand	https://doi.org/10.1515/9783111382692-002	Distinction between rote use of individual signs and comprehensive sentence-level competence; mixed shorthand/longhand legal use	Early-medieval focus; cannot establish 1420 continuity	-
S06	PRIMARY_MANUSCRIPT_PORTAL	Paris BnF Latin 8779 and other Commentarii witnesses	9th c. for Lat.8779	Biblissima / Bibliothèque nationale de France	https://portail.biblissima.fr/fr/ark:/43093/oedata1055df1bdd1d819454322f7ff815f5175a9d02f4	Digital primary-witness inventory and IIIF access for the CNT tradition	Chronologically remote from 1420	-
S07	PRIMARY_MANUSCRIPT_CATALOGUE	Cod. Guelf. 9.8 Aug. 4°, Commentarii notarum tironiarum	ca.850, Saint-Amand	Herzog August Bibliothek	https://diglib.hab.de/?catalog=Westphal&db=mss&id=9-8-aug-4f&list=ms	Dated digitized manuscript description: Tironian notes paired with Carolingian minuscule, two hands	Primary witness is early medieval	-
S08	PEER_REVIEWED_ARTICLE	John Haines, Did John of Tilbury write an Ars notaria?	2008 study; manuscripts second half 13th c., ca.1300, 14th c.	Scriptorium / Persée	https://doi.org/10.3406/scrip.2008.3985	Detailed reconstruction of the Ars notoria scribendi, its 19 minim-derived shapes, claimed two/three-stroke word encoding, internal contradictions, manuscript dates and non-Tilbury authorship	OCR is imperfect; conclusions checked against article pagination and quoted Latin	-
S09	SCHOLARLY_EDITION_DESCRIPTION	John Haines, The Notory Art of Shorthand (Ars notoria notarie)	Edition 2014; work 13th c.	Peeters / University of Toronto	https://www.medieval.utoronto.ca/research-publications/faculty-publications/notory-art-shorthand-ars-notoria-notarie	Confirms critical edition and English translation of the unique hybrid shorthand/hermetic treatise	Publisher description, not a substitute for the critical edition	-
S10	INSTITUTIONAL_TERMINOLOGY	Universitat de Barcelona UBTERM, notae iuris	Modern reference; phenomenon known from 3rd c. onward	Universitat de Barcelona	https://www.ub.edu/ubterm/terme/notae-iuris/	Notae iuris combine simple/syllabic suspension, contraction, Tironian-derived abbreviations and conventional signs; examples c'=cum, p with superscript s=post, bfio=beneficio, oia=omnia, p variants=per/pro	Short terminology entry; does not demonstrate a unified 1420 code	-
S11	INSTITUTIONAL_PALAEOGRAPHY_GUIDE	Ad fontes, Abbreviations	High and late medieval practice	University of Zurich	https://www.adfontes.uzh.ch/en/tutorium/schriften-lesen/abkuerzungen	Four main abbreviation mechanisms; doubling for plural; nasal and er marks; memorized measures/currency units; explicit warning that medieval practice was not uniform	Teaching guide rather than corpus edition	-
S12	PRIMARY_TRANSCRIPTION_DATASET	Nuremberg council letterbooks 2-5	1408-1423	Zenodo / Scientific Data	https://doi.org/10.5281/zenodo.13881575	Period-matched chancery corpus with diplomatic and expanded layers; examples vnſ/vnſn/vnſm, habn, hren, Dat, verſchr, Ro, B, L and ſ quantified from cached human labels	Abbreviation system is ordinary German/Latin writing, not autonomous semantic code	gdt155_unblinded_abbreviation_sites.tsv; GDT155_MEDIEVAL_ABBREVIATION_SOURCE_AUDIT.md
S13	PRIMARY_DIGITAL_EDITION	CoReMA Ste1, Sterzing miscellany manuscript	1400-1425	GAMS / University of Graz	https://gams.uni-graz.at/o:corema.ste1	Period-matched technical recipe text with diplomatic abbreviation/expansion markup; examples vn/vnd, wass/wasser, siedn/sieden, werdn/werden, hausz/herausz	Only 33 exposed abbreviation sites in two recipe segments; no opaque code	gdt155_unblinded_abbreviation_sites.tsv; GDT155_MEDIEVAL_ABBREVIATION_SOURCE_AUDIT.md
LOCAL01	LOCAL_FIXED_DATA	Current ten-page 173-card/381-event semantic-stem working inventory	Existing sidequest state	VManus workspace	-	Counts, allographs, statement contexts and current memorized-card glosses used only for the requested crosswalk	Creative working translations are not historical evidence	experiments/yolo/sidequest_semantic_stem_search/R1_173_COMPOSITIONAL_DICTIONARY.tsv; experiments/yolo/sidequest_semantic_stem_search/R1_381_CONCRETE_INTERLINEAR.tsv
