profile_ordinal	base_source_surface	base_source_families	q_complete_surface	q_event_count	q_host_contact_count	q_page_count	running_event_count	local_event_count	figure_station_hosts	plant_drug_hosts	text_other_hosts	domain_counts	host_purity	observed_q_complete_whole	q_component_export
1	ainaly	AFABA	qainaly	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
2	alcphy	ABTA	qalcphy	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
3	chdaiirdainy	KBAGBAFA	qchdaiirdainy	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
4	chfaly	KPABA	qchfaly	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
5	chosar	KACAC	qchosar	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
6	chy	KWA	qchy	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
7	dolaram	BABACAB	qdolaram	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
8	oalcheg	AABKJB	qoalcheg	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
9	ofaom	APARAB	qofaom	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
10	ofaralar	APACABAC	qofaralar	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
11	ofchdamy	APKBABA	qofchdamy	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
12	okaircham	AQAFKAB	qokaircham	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
13	okairy	AQAFA	qokairy	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
14	okal	AQAB	qokal	30	19	10	29	1	11	2	6	FIGURE_STATION_SYSTEM:11|PLANT_DRUG_MATERIAL:2|TEXT_OR_OTHER:6	0.578947	YES	NONE
15	okala	AQABA	qokala	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
16	okalal	AQABAB	qokalal	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
17	okalam	AQABAB	qokalam	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
18	okalar	AQABAC	qokalar	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
19	okaldal	AQABBAB	qokaldal	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
20	okaldy	AQABBA	qokaldy	3	2	2	3	0	0	0	2	TEXT_OR_OTHER:2	1.000000	YES	NONE
21	okaly	AQABA	qokaly	3	3	3	3	0	2	0	1	FIGURE_STATION_SYSTEM:2|TEXT_OR_OTHER:1	0.666667	YES	NONE
22	okam	AQAB	qokam	1	1	1	1	0	1	0	0	FIGURE_STATION_SYSTEM:1	1.000000	YES	NONE
23	okaraiin	AQACAG	qokaraiin	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
24	okaram	AQACAB	qokaram	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
25	okarcham	AQACKAB	qokarcham	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
26	okeal	AQJAB	qokeal	1	1	1	1	0	1	0	0	FIGURE_STATION_SYSTEM:1	1.000000	YES	NONE
27	okealar	AQJABAC	qokealar	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
28	okees	AQKC	qokees	2	2	2	2	0	0	1	1	PLANT_DRUG_MATERIAL:1|TEXT_OR_OTHER:1	0.500000	YES	NONE
29	okeoly	AQJABA	qokeoly	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
30	oklairdy	AQBAFBA	qoklairdy	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
31	okody	AQABA	qokody	1	1	1	1	0	0	1	0	PLANT_DRUG_MATERIAL:1	1.000000	YES	NONE
32	okolar	AQABAC	qokolar	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
33	okolshy	AQABLA	qokolshy	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
34	okoly	AQABA	qokoly	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
