target_ordinal	surface	page	locus	evidence_layer	released_primary	section	language	line_token_count	target_token_ordinal	relative_position	position_class	left_whole	right_whole	direct_okaldy_adjacency	previous_v99r7_value	zl3b_exact_whole	it2a_exact_whole	rf1b_exact_whole	exact_whole_reader_count	exact_whole_readers	reader_stability	topology_family	register	paragraph_id	raw_line	target_masked_line	it2a_line	rf1b_line	semantic_export
1	qokaldy	f107v	f107v.6	INHERITED_CACHE_LINE_ONLY	NO	S	B	11	11	1.000000	FINAL	aiin	NONE	NO	[qokaldy:?]	YES	YES	NO	2	ZL3B|IT2A	TWO_OF_THREE_EXACT	NOT_VISUALLY_CLASSIFIED_HERE	INHERITED_CACHE_ONLY	NOT_IN_RELEASED_SPINE	paiin okaiin qokaiy olkeedy qokeey qotaiin oky lkal otaiin aiin qokaldy	paiin okaiin qokaiy olkeedy qokeey qotaiin oky lkal otaiin aiin ⟦TARGET⟧	paiin okaiin qokaiy olkeedy qokeey qotaiin oky lkal okaiin aiin qokaldy	paiin okaiin qokaiy olkeedy qokeey qotaiin oky lkal okaiin aiin qokal y	NONE
2	qokaldy	f33r	f33r.2	INHERITED_CACHE_LINE_ONLY	NO	H	B	10	5	0.500000	MIDDLE	okaldy	otor	YES	[qokaldy:?]	YES	YES	YES	3	ZL3B|IT2A|RF1B	ALL3_EXACT	NOT_VISUALLY_CLASSIFIED_HERE	INHERITED_CACHE_ONLY	NOT_IN_RELEASED_SPINE	ytchedy qokar cheky okaldy qokaldy otor oldar qotar otar otardam	ytchedy qokar cheky okaldy ⟦TARGET⟧ otor oldar qotar otar otardam	ytchedy qokar cheky okaldy qokaldy otor oldor qotor otar otardam	ytchedy qokar cheky okaldy qokaldy otor ol ar qotar otar otar ag	NONE
3	qokaldy	f46r	f46r.4	INHERITED_CACHE_LINE_ONLY	NO	H	B	10	5	0.500000	MIDDLE	chckhy	chekal	NO	[qokaldy:?]	YES	YES	NO	2	ZL3B|IT2A	TWO_OF_THREE_EXACT	NOT_VISUALLY_CLASSIFIED_HERE	INHERITED_CACHE_ONLY	NOT_IN_RELEASED_SPINE	tshedar chol kaldy chckhy qokaldy chekal chckhy sheky sheky daloy	tshedar chol kaldy chckhy ⟦TARGET⟧ chekal chckhy sheky sheky daloy	tshedar chol kaldy chckhy qokaldy chekal chckhy sheky sheky dalocthhy	tshe ar chol kal y chckhy qokal y chekal chckhy sheky sheky daloy	NONE
4	qokaldy	f46v	f46v.6	INHERITED_CACHE_LINE_ONLY	NO	H	B	12	7	0.583333	MIDDLE	sheedy	qokedy	NO	[qokaldy:?]	YES	YES	YES	3	ZL3B|IT2A|RF1B	ALL3_EXACT	NOT_VISUALLY_CLASSIFIED_HERE	INHERITED_CACHE_ONLY	NOT_IN_RELEASED_SPINE	tor aiirchar shedy olaiin qotedy sheedy qokaldy qokedy doir chody cthey m	tor aiirchar shedy olaiin qotedy sheedy ⟦TARGET⟧ qokedy doir chody cthey m	tos aiirchar chedy olaiin qotedy sheedy qokaldy qokedy dair chody cthhy m	tar aiirchar she y olaiin qote y shee y qokaldy qoke y doir chody y m	NONE
5	qokaldy	f58r	f58r.19	INHERITED_CACHE_LINE_ONLY	NO	S	A	10	5	0.500000	MIDDLE	dal	otary	NO	[qokaldy:?]	YES	YES	NO	2	ZL3B|IT2A	TWO_OF_THREE_EXACT	NOT_VISUALLY_CLASSIFIED_HERE	INHERITED_CACHE_ONLY	NOT_IN_RELEASED_SPINE	todal qotey chaly dal qokaldy otary okalal ees chal ochaly	todal qotey chaly dal ⟦TARGET⟧ otary okalal ees chal ochaly	todal qotey chaly dal qokaldy otary okalal csees chal ochaly	todal qotey chaly dal qokal y otary okalal ees chal ochaly	NONE
6	qokaldy	f58r	f58r.32	INHERITED_CACHE_LINE_ONLY	NO	S	A	9	9	1.000000	FINAL	taly	NONE	NO	[qokaldy:?]	YES	YES	NO	2	ZL3B|IT2A	TWO_OF_THREE_EXACT	NOT_VISUALLY_CLASSIFIED_HERE	INHERITED_CACHE_ONLY	NOT_IN_RELEASED_SPINE	oqotaly qokaiin chtaldy qoky dar al chol taly qokaldy	oqotaly qokaiin chtaldy qoky dar al chol taly ⟦TARGET⟧	oqotaly qokaiin chtaldy qoky dar al choltaly qokaldy	oqotaly qokaiin chtal y qoky ar al choltaly qokal y	NONE
7	qokaldy	f66r	f66r.67	RELEASED_FULL_PARAGRAPH	YES	T	B	9	5	0.555556	MIDDLE	okeody	ytarody	NO	[qokaldy:?]	YES	NO	NO	1	ZL3B	ONE_OF_THREE_EXACT	TEXT_BLOCK	SOURCE_SECTION_T	f66r:P5	psheody cfhol shofol okeody qokaldy ytarody shedy shedy dair	psheody cfhol shofol okeody ⟦TARGET⟧ ytarody shedy shedy dair	psheody cfhol shofol okeody qokoldy ytarody shody shedy kair	psheody cfhol shofol okeody qokoldy ytarody shedy she y air	NONE
8	qokaldy	f66r	f66r.69	RELEASED_FULL_PARAGRAPH	YES	T	B	9	2	0.222222	MIDDLE	tosheo	oky	NO	[qokaldy:?]	YES	YES	YES	3	ZL3B|IT2A|RF1B	ALL3_EXACT	TEXT_BLOCK	SOURCE_SECTION_T	f66r:P5	tosheo qokaldy oky ol kcheeky qoky dary okees oly	tosheo ⟦TARGET⟧ oky ol kcheeky qoky dary okees oly	tosheo qokaldy oky ol kcheeky qoky dary okees oly	tosheo qokaldy oky ol kcheeky qoky dary okees oly	NONE
9	qokaldy	f76r	f76r.24	RELEASED_FULL_PARAGRAPH_AND_A6_OWNER	YES	T	B	12	4	0.333333	MIDDLE	sheedy	chepy	NO	[qokaldy:?]	YES	YES	YES	3	ZL3B|IT2A|RF1B	ALL3_EXACT	TEXT_BLOCK	BIOLOGICAL	f76r:P1	dalshedy qol sheedy qokaldy chepy dain alolor olain chedy shecthy qokey lor	dalshedy qol sheedy ⟦TARGET⟧ chepy dain alolor olain chedy shecthy qokey lor	dalshedy qol sheedy qokaldy chepy dain alolor olain chedy shecthy qokeey lor	dalshedy qoleedy qokaldy chepy dain alolor olain chedy shecthy qokey lar	NONE
10	qokaldy	f79r	f79r.13	INHERITED_CACHE_LINE_ONLY	NO	B	B	9	4	0.444444	MIDDLE	qotshdy	opchedy	NO	[qokaldy:?]	YES	YES	YES	3	ZL3B|IT2A|RF1B	ALL3_EXACT	NOT_VISUALLY_CLASSIFIED_HERE	INHERITED_CACHE_ONLY	NOT_IN_RELEASED_SPINE	pshorol shckhy qotshdy qokaldy opchedy qotar or aiin ol	pshorol shckhy qotshdy ⟦TARGET⟧ opchedy qotar or aiin ol	pshorol shckhy qotshdy qokaldy opchedy qotar or aiin ol	psh rol shckhy qotshdy qokaldy opche y qotar or aiin ol	NONE
