renderer_ordinal	surface	page	locus	paragraph_id	previous_v99r7_value	gdt798_working_default_de	display	rendered_line	confidence	evidence	antecedent_status	counterevidence	scope	renderer_precedence	component_export	confirmed_lexeme
1	qokaldy	f107v	f107v.6	INHERITED_LINE_ONLY	[qokaldy:?]	davon / Heilmittel	⟦qokaldy:davon?/Heilmittel?⟧	paiin okaiin qokaiy olkeedy qokeey qotaiin oky lkal otaiin aiin ⟦qokaldy:davon?/Heilmittel?⟧	C0_TWO_OF_THREE_WHOLE	text-internal deployment; multiple within-line positions; bounded complete-whole reference/remedy tie	NO_IDENTIFIED_ANTECEDENT	text topology is page-confounded; no referent is independently decoded	ENUMERATED_CACHE_CELL_ONLY	GDT798_CONTEXTUAL_WHOLE_TIE_OVER_UNKNOWN	ZERO	NO
2	qokaldy	f33r	f33r.2	INHERITED_LINE_ONLY	[qokaldy:?]	davon / Heilmittel	⟦qokaldy:davon?/Heilmittel?⟧	ytchedy qokar cheky okaldy ⟦qokaldy:davon?/Heilmittel?⟧ otor oldar qotar otar otardam	C0_ALL3_WHOLE	text-internal deployment; multiple within-line positions; bounded complete-whole reference/remedy tie	DIRECT_LEFT_OKALDY_WHOLE	text topology is page-confounded; no referent is independently decoded	ENUMERATED_CACHE_CELL_ONLY	GDT798_CONTEXTUAL_WHOLE_TIE_OVER_UNKNOWN	ZERO	NO
3	qokaldy	f46r	f46r.4	INHERITED_LINE_ONLY	[qokaldy:?]	davon / Heilmittel	⟦qokaldy:davon?/Heilmittel?⟧	tshedar chol kaldy chckhy ⟦qokaldy:davon?/Heilmittel?⟧ chekal chckhy sheky sheky daloy	C0_TWO_OF_THREE_WHOLE	text-internal deployment; multiple within-line positions; bounded complete-whole reference/remedy tie	NO_IDENTIFIED_ANTECEDENT	text topology is page-confounded; no referent is independently decoded	ENUMERATED_CACHE_CELL_ONLY	GDT798_CONTEXTUAL_WHOLE_TIE_OVER_UNKNOWN	ZERO	NO
4	qokaldy	f46v	f46v.6	INHERITED_LINE_ONLY	[qokaldy:?]	davon / Heilmittel	⟦qokaldy:davon?/Heilmittel?⟧	tor aiirchar shedy olaiin qotedy sheedy ⟦qokaldy:davon?/Heilmittel?⟧ qokedy doir chody cthey m	C0_ALL3_WHOLE	text-internal deployment; multiple within-line positions; bounded complete-whole reference/remedy tie	NO_IDENTIFIED_ANTECEDENT	text topology is page-confounded; no referent is independently decoded	ENUMERATED_CACHE_CELL_ONLY	GDT798_CONTEXTUAL_WHOLE_TIE_OVER_UNKNOWN	ZERO	NO
5	qokaldy	f58r	f58r.19	INHERITED_LINE_ONLY	[qokaldy:?]	davon / Heilmittel	⟦qokaldy:davon?/Heilmittel?⟧	todal qotey chaly dal ⟦qokaldy:davon?/Heilmittel?⟧ otary okalal ees chal ochaly	C0_TWO_OF_THREE_WHOLE	text-internal deployment; multiple within-line positions; bounded complete-whole reference/remedy tie	NO_IDENTIFIED_ANTECEDENT	text topology is page-confounded; no referent is independently decoded	ENUMERATED_CACHE_CELL_ONLY	GDT798_CONTEXTUAL_WHOLE_TIE_OVER_UNKNOWN	ZERO	NO
6	qokaldy	f58r	f58r.32	INHERITED_LINE_ONLY	[qokaldy:?]	davon / Heilmittel	⟦qokaldy:davon?/Heilmittel?⟧	oqotaly qokaiin chtaldy qoky dar al chol taly ⟦qokaldy:davon?/Heilmittel?⟧	C0_TWO_OF_THREE_WHOLE	text-internal deployment; multiple within-line positions; bounded complete-whole reference/remedy tie	NO_IDENTIFIED_ANTECEDENT	text topology is page-confounded; no referent is independently decoded	ENUMERATED_CACHE_CELL_ONLY	GDT798_CONTEXTUAL_WHOLE_TIE_OVER_UNKNOWN	ZERO	NO
7	qokaldy	f66r	f66r.67	f66r:P5	[qokaldy:?]	davon / Heilmittel	⟦qokaldy:davon?/Heilmittel?⟧	psheody cfhol shofol okeody ⟦qokaldy:davon?/Heilmittel?⟧ ytarody shedy shedy dair	C0_ZL_ONLY_WHOLE	text-internal deployment; multiple within-line positions; bounded complete-whole reference/remedy tie	SAME_PARAGRAPH_QOKALDY_REPEAT	text topology is page-confounded; no referent is independently decoded	ENUMERATED_CACHE_CELL_ONLY	GDT798_CONTEXTUAL_WHOLE_TIE_OVER_UNKNOWN	ZERO	NO
8	qokaldy	f66r	f66r.69	f66r:P5	[qokaldy:?]	davon / Heilmittel	⟦qokaldy:davon?/Heilmittel?⟧	tosheo ⟦qokaldy:davon?/Heilmittel?⟧ oky ol kcheeky qoky dary okees oly	C0_ALL3_WHOLE	text-internal deployment; multiple within-line positions; bounded complete-whole reference/remedy tie	SAME_PARAGRAPH_QOKALDY_REPEAT	text topology is page-confounded; no referent is independently decoded	ENUMERATED_CACHE_CELL_ONLY	GDT798_CONTEXTUAL_WHOLE_TIE_OVER_UNKNOWN	ZERO	NO
9	qokaldy	f76r	f76r.24	f76r:P1	[qokaldy:?]	davon / Heilmittel	⟦qokaldy:davon?/Heilmittel?⟧	dalshedy qol sheedy ⟦qokaldy:davon?/Heilmittel?⟧ chepy dain alolor olain chedy shecthy qokey lor	C0_ALL3_WHOLE	text-internal deployment; multiple within-line positions; bounded complete-whole reference/remedy tie	NO_IDENTIFIED_ANTECEDENT	text topology is page-confounded; no referent is independently decoded	ENUMERATED_CACHE_CELL_ONLY	GDT798_CONTEXTUAL_WHOLE_TIE_OVER_UNKNOWN	ZERO	NO
10	qokaldy	f79r	f79r.13	INHERITED_LINE_ONLY	[qokaldy:?]	davon / Heilmittel	⟦qokaldy:davon?/Heilmittel?⟧	pshorol shckhy qotshdy ⟦qokaldy:davon?/Heilmittel?⟧ opchedy qotar or aiin ol	C0_ALL3_WHOLE	text-internal deployment; multiple within-line positions; bounded complete-whole reference/remedy tie	NO_IDENTIFIED_ANTECEDENT	text topology is page-confounded; no referent is independently decoded	ENUMERATED_CACHE_CELL_ONLY	GDT798_CONTEXTUAL_WHOLE_TIE_OVER_UNKNOWN	ZERO	NO
