contact_ordinal	q_surface	base_source_surface	base_source_families	host_id	physical_page	occurrence_kind	topology_families	independent_domain	event_count	loci	q_component_export
1	qokal	okal	AQAB	LOCAL:f66r.13	f66r	LOCAL_ADDRESS_OR_LABEL	TEXT_BLOCK	TEXT_OR_OTHER	1	f66r.13	NONE
2	qokal	okal	AQAB	f66r:P2	f66r	RUNNING_EVENT	TEXT_BLOCK	TEXT_OR_OTHER	1	f66r.51	NONE
3	qokal	okal	AQAB	f66r:P6	f66r	RUNNING_EVENT	TEXT_BLOCK	TEXT_OR_OTHER	1	f66r.77	NONE
4	qokal	okal	AQAB	f75r:P1	f75r	RUNNING_EVENT	POOL_APPARATUS_NETWORK	FIGURE_STATION_SYSTEM	3	f75r.11|f75r.12|f75r.23	NONE
5	qokal	okal	AQAB	f75r:P2	f75r	RUNNING_EVENT	POOL_APPARATUS_NETWORK	FIGURE_STATION_SYSTEM	1	f75r.30	NONE
6	qokal	okal	AQAB	f76r:P1	f76r	RUNNING_EVENT	TEXT_BLOCK	TEXT_OR_OTHER	4	f76r.5|f76r.35|f76r.36|f76r.38	NONE
7	qokal	okal	AQAB	f76r:P2	f76r	RUNNING_EVENT	TEXT_BLOCK	TEXT_OR_OTHER	1	f76r.41	NONE
8	qokal	okal	AQAB	f76r:P3	f76r	RUNNING_EVENT	TEXT_BLOCK	TEXT_OR_OTHER	1	f76r.48	NONE
9	qokal	okal	AQAB	f77r:P2	f77r	RUNNING_EVENT	POOL_APPARATUS_NETWORK	FIGURE_STATION_SYSTEM	1	f77r.23	NONE
10	qokal	okal	AQAB	f77r:P3	f77r	RUNNING_EVENT	POOL_APPARATUS_NETWORK	FIGURE_STATION_SYSTEM	1	f77r.25	NONE
11	qokal	okal	AQAB	f81r:P2	f81r	RUNNING_EVENT	POOL_APPARATUS_NETWORK	FIGURE_STATION_SYSTEM	1	f81r.21	NONE
12	qokal	okal	AQAB	f81v:P2	f81v	RUNNING_EVENT	POOL_APPARATUS_NETWORK	FIGURE_STATION_SYSTEM	4	f81v.15|f81v.19|f81v.22|f81v.24	NONE
13	qokal	okal	AQAB	f82r:P1	f82r	RUNNING_EVENT	POOL_APPARATUS_NETWORK	FIGURE_STATION_SYSTEM	4	f82r.2|f82r.4|f82r.5	NONE
14	qokal	okal	AQAB	f82r:P2	f82r	RUNNING_EVENT	POOL_APPARATUS_NETWORK	FIGURE_STATION_SYSTEM	1	f82r.14	NONE
15	qokal	okal	AQAB	f83r:P1	f83r	RUNNING_EVENT	POOL_APPARATUS_NETWORK	FIGURE_STATION_SYSTEM	1	f83r.6	NONE
16	qokal	okal	AQAB	f83r:P2	f83r	RUNNING_EVENT	POOL_APPARATUS_NETWORK	FIGURE_STATION_SYSTEM	1	f83r.12	NONE
17	qokal	okal	AQAB	f83r:P3	f83r	RUNNING_EVENT	POOL_APPARATUS_NETWORK	FIGURE_STATION_SYSTEM	1	f83r.23	NONE
18	qokal	okal	AQAB	f89r2:P4	f89r	RUNNING_EVENT	MATERIAL_REGISTER	PLANT_DRUG_MATERIAL	1	f89r2.22	NONE
19	qokal	okal	AQAB	f95v1:P1	f95v	RUNNING_EVENT	WHOLE_PLANT_ARTICLE	PLANT_DRUG_MATERIAL	1	f95v1.4	NONE
20	qokaldy	okaldy	AQABBA	f66r:P5	f66r	RUNNING_EVENT	TEXT_BLOCK	TEXT_OR_OTHER	2	f66r.67|f66r.69	NONE
21	qokaldy	okaldy	AQABBA	f76r:P1	f76r	RUNNING_EVENT	TEXT_BLOCK	TEXT_OR_OTHER	1	f76r.24	NONE
22	qokaly	okaly	AQABA	f66r:P6	f66r	RUNNING_EVENT	TEXT_BLOCK	TEXT_OR_OTHER	1	f66r.76	NONE
23	qokaly	okaly	AQABA	f77r:P3	f77r	RUNNING_EVENT	POOL_APPARATUS_NETWORK	FIGURE_STATION_SYSTEM	1	f77r.26	NONE
24	qokaly	okaly	AQABA	f82r:P1	f82r	RUNNING_EVENT	POOL_APPARATUS_NETWORK	FIGURE_STATION_SYSTEM	1	f82r.3	NONE
25	qokam	okam	AQAB	f75r:P1	f75r	RUNNING_EVENT	POOL_APPARATUS_NETWORK	FIGURE_STATION_SYSTEM	1	f75r.17	NONE
26	qokeal	okeal	AQJAB	f83r:P2	f83r	RUNNING_EVENT	POOL_APPARATUS_NETWORK	FIGURE_STATION_SYSTEM	1	f83r.12	NONE
27	qokees	okees	AQKC	f31r:P1	f31r	RUNNING_EVENT	WHOLE_PLANT_ARTICLE	PLANT_DRUG_MATERIAL	1	f31r.2	NONE
28	qokees	okees	AQKC	f66r:P2	f66r	RUNNING_EVENT	TEXT_BLOCK	TEXT_OR_OTHER	1	f66r.52	NONE
29	qokody	okody	AQABA	f88v:P3	f88v	RUNNING_EVENT	MATERIAL_REGISTER	PLANT_DRUG_MATERIAL	1	f88v.17	NONE
30	qotaiin	otaiin	AQAG	f4r:P1	f4r	RUNNING_EVENT	WHOLE_PLANT_ARTICLE	PLANT_DRUG_MATERIAL	1	f4r.3	NONE
31	qotaiin	otaiin	AQAG	f4r:P2	f4r	RUNNING_EVENT	WHOLE_PLANT_ARTICLE	PLANT_DRUG_MATERIAL	1	f4r.7	NONE
32	qotaiin	otaiin	AQAG	f77r:P2	f77r	RUNNING_EVENT	POOL_APPARATUS_NETWORK	FIGURE_STATION_SYSTEM	3	f77r.10|f77r.16|f77r.18	NONE
33	qotaiin	otaiin	AQAG	f77r:P4	f77r	RUNNING_EVENT	POOL_APPARATUS_NETWORK	FIGURE_STATION_SYSTEM	2	f77r.40|f77r.43	NONE
34	qotaiin	otaiin	AQAG	f82r:P1	f82r	RUNNING_EVENT	POOL_APPARATUS_NETWORK	FIGURE_STATION_SYSTEM	1	f82r.6	NONE
35	qotaiin	otaiin	AQAG	f82r:P3	f82r	RUNNING_EVENT	POOL_APPARATUS_NETWORK	FIGURE_STATION_SYSTEM	1	f82r.28	NONE
36	qotaiin	otaiin	AQAG	f83r:P1	f83r	RUNNING_EVENT	POOL_APPARATUS_NETWORK	FIGURE_STATION_SYSTEM	1	f83r.5	NONE
37	qotaiin	otaiin	AQAG	f95v1:P4	f95v	RUNNING_EVENT	WHOLE_PLANT_ARTICLE	PLANT_DRUG_MATERIAL	1	f95v1.12	NONE
38	qotaiin	otaiin	AQAG	f95v2:P1	f95v	RUNNING_EVENT	WHOLE_PLANT_ARTICLE	PLANT_DRUG_MATERIAL	1	f95v2.2	NONE
39	qotal	otal	AQAB	f66r:P6	f66r	RUNNING_EVENT	TEXT_BLOCK	TEXT_OR_OTHER	1	f66r.76	NONE
40	qotal	otal	AQAB	f76r:P2	f76r	RUNNING_EVENT	TEXT_BLOCK	TEXT_OR_OTHER	1	f76r.42	NONE
41	qotal	otal	AQAB	f77r:P3	f77r	RUNNING_EVENT	POOL_APPARATUS_NETWORK	FIGURE_STATION_SYSTEM	1	f77r.29	NONE
42	qotal	otal	AQAB	f77r:P4	f77r	RUNNING_EVENT	POOL_APPARATUS_NETWORK	FIGURE_STATION_SYSTEM	1	f77r.41	NONE
43	qotal	otal	AQAB	f81r:P2	f81r	RUNNING_EVENT	POOL_APPARATUS_NETWORK	FIGURE_STATION_SYSTEM	1	f81r.22	NONE
