bath_action_ordinal	primary_governor_key	action_slot_id	source_event_id	statement_id	physical_page	locus	paragraph_key	paragraph_locus_range	bath_segment_key	host_ordinal_in_statement	surface	component_recipe	carrier_slot_count	carrier_slot_ids	carrier_root_sequence	aiin_fill_present	body_blockers_present	state_before_object_class	state_before_source_event_id	reset_before	object_selection_route	gdt592_object_class	gdt592_object_lemma_de	gdt592_object_form_de	gdt592_object_source_event_id	gdt592_reference_origin_route	gdt592_reference_origin_event_id	carry_source_event_id	carry_source_action_slot_id	carry_source_primary_governor_key	carry_source_locus	carry_host_ordinal_distance	carry_intervening_host_count	carry_intervening_event_number_count	carry_locus_line_distance	carry_reference_class	carry_working_strength	handoff_donor_anchor_event_id	handoff_donor_carrier_source_event_id	handoff_source_action_slot_id	handoff_source_carrier_slot_ids	handoff_source_primary_governor_key	handoff_donor_host_ordinal_in_statement	handoff_source_root	handoff_source_locus	handoff_host_ordinal_distance	handoff_anchor_intervening_event_number_count	handoff_intervening_event_number_count	handoff_locus_line_distance	handoff_manual_visible_span	handoff_donor_clause_de	handoff_donor_phrase_provenance	retained_episode_alternative_de	gdt569_state_join_status	gdt569_state_edition_ordinal	gdt569_argument_carry	gdt569_action_carry	gdt569_argument_source_type	gdt569_inherited_argument_root	gdt569_explicit_argument_phrase_de	gdt569_carried_argument_phrase_de	gdt569_parallel_relation	gdt569_parallel_note_de	gdt590_current_clause_de	gdt592_completed_clause_de	clause_patch_required	retained_alternative_de	retained_generic_alternative_de	paragraph_boundary_after	guard	objectless_ordinal
1	ACTION:G407-E1431@1:SH	RUNNING:G407-E1431@1	G407-E1431	G407-S082	f75r	f75r.1	f75r:P1	f75r.1–.26	G407-S082:BSEG02	9	shedy	SH+E+DY	0	NONE	NONE	NO	NONE	NONE	NONE	GDT584_PARAGRAPH_AFTER	COLD_BATH_OBJECT_DEFAULT	BATH_OBJECT	Badegut	das zu badende Gut	G407-E1431	COLD_BATH_OBJECT_DEFAULT	G407-E1431	NONE	NONE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NONE	NONE	NONE	NONE	NONE	NOT_APPLICABLE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	MATCHED	339	YES	NO	CONTEXT_CARRY	Y	den Stationsposten	denselben Stationsposten	GDT569_SPECIFIC_CANDIDATE_OVER_GENERIC_DEFAULT	Die ältere Wurzel ist ein konkreter Kandidat für das noch neutrale Badegut und wird für den nächsten Pass behalten.	Halte im Bad auf Grad I	Halte das zu badende Gut im Bad auf Grad I	YES	NOT_APPLICABLE	NOT_APPLICABLE	NONE	WRITTEN_OBJECT_FIRST__BLOCKER_THEN_13_EXACT_LOCAL_HANDOFFS__THEN_SAME_SEGMENT_BATH_CARRY__THEN_NEUTRAL_DEFAULT	1
3	ACTION:G407-E1445@1:SH	RUNNING:G407-E1445@1	G407-E1445	G407-S085	f75r	f75r.3	f75r:P1	f75r.1–.26	G407-S085:BSEG01	5	sheeky	SH+EE+K+Y	0	NONE	NONE	NO	NONE	NONE	NONE	NONE	COLD_BATH_OBJECT_DEFAULT	BATH_OBJECT	Badegut	das zu badende Gut	G407-E1445	COLD_BATH_OBJECT_DEFAULT	G407-E1445	NONE	NONE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NONE	NONE	NONE	NONE	NONE	NOT_APPLICABLE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NO_STATE_ROW	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NO_GDT569_STATE_ROW	Keine ältere GDT569-State-Zeile für dieses Event.	Halte im Bad auf Grad II	Halte das zu badende Gut im Bad auf Grad II	YES	NOT_APPLICABLE	NOT_APPLICABLE	NONE	WRITTEN_OBJECT_FIRST__BLOCKER_THEN_13_EXACT_LOCAL_HANDOFFS__THEN_SAME_SEGMENT_BATH_CARRY__THEN_NEUTRAL_DEFAULT	2
8	ACTION:G407-E1489@2:SH	RUNNING:G407-E1489@2	G407-E1489	G407-S091	f75r	f75r.8	f75r:P1	f75r.1–.26	G407-S091:BSEG01	1	dsheckhy	D_ADDR+SH+E+CH+K+Y	0	NONE	NONE	NO	D_ADDR	NONE	NONE	STATEMENT_START	BODY_BLOCKER_STATION	STATION	Stationsansatz	den Stationsansatz	G407-E1489	BODY_BLOCKER_STATION	G407-E1489	NONE	NONE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NONE	NONE	NONE	NONE	NONE	NOT_APPLICABLE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NO_STATE_ROW	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NO_GDT569_STATE_ROW	Keine ältere GDT569-State-Zeile für dieses Event.	Halte im Bad auf Grad I und an der Stations-Arbeitsstelle	Halte den Stationsansatz im Bad auf Grad I und an der Stations-Arbeitsstelle	YES	NOT_APPLICABLE	NOT_APPLICABLE	NONE	WRITTEN_OBJECT_FIRST__BLOCKER_THEN_13_EXACT_LOCAL_HANDOFFS__THEN_SAME_SEGMENT_BATH_CARRY__THEN_NEUTRAL_DEFAULT	3
9	ACTION:G407-E1492@2:SH	RUNNING:G407-E1492@2	G407-E1492	G407-S091	f75r	f75r.8	f75r:P1	f75r.1–.26	G407-S091:BSEG01	7	lshedy	L+SH+E+DY	0	NONE	NONE	NO	L	STATION	G407-E1489	NONE	BODY_BLOCKER_STATION	STATION	Stationsansatz	den Stationsansatz	G407-E1492	BODY_BLOCKER_STATION	G407-E1492	NONE	NONE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NONE	NONE	NONE	NONE	NONE	NOT_APPLICABLE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	MATCHED	353	YES	NO	CONTEXT_CARRY	Y	den Stationsposten	denselben Stationsposten	GDT569_CARRY_CLASS_ALIGNED	Die ältere Argumentwurzel und die neue Objektklasse sind kompatibel; Identität wird nicht behauptet.	Halte im Bad auf Grad I und über den Stationskontakt oder die Leitung	Halte den Stationsansatz im Bad auf Grad I und über den Stationskontakt oder die Leitung	YES	NOT_APPLICABLE	NOT_APPLICABLE	NONE	WRITTEN_OBJECT_FIRST__BLOCKER_THEN_13_EXACT_LOCAL_HANDOFFS__THEN_SAME_SEGMENT_BATH_CARRY__THEN_NEUTRAL_DEFAULT	4
12	ACTION:G407-E1520@1:SH	RUNNING:G407-E1520@1	G407-E1520	G407-S100	f75r	f75r.11	f75r:P1	f75r.1–.26	G407-S100:BSEG01	3	shedy	SH+E+DY	0	NONE	NONE	NO	NONE	NONE	NONE	NONE	COLD_BATH_OBJECT_DEFAULT	BATH_OBJECT	Badegut	das zu badende Gut	G407-E1520	COLD_BATH_OBJECT_DEFAULT	G407-E1520	NONE	NONE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NONE	NONE	NONE	NONE	NONE	NOT_APPLICABLE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	MATCHED	365	YES	NO	CONTEXT_CARRY	Y	den Stationsposten	denselben Stationsposten	GDT569_SPECIFIC_CANDIDATE_OVER_GENERIC_DEFAULT	Die ältere Wurzel ist ein konkreter Kandidat für das noch neutrale Badegut und wird für den nächsten Pass behalten.	Halte im Bad auf Grad I	Halte das zu badende Gut im Bad auf Grad I	YES	NOT_APPLICABLE	NOT_APPLICABLE	NONE	WRITTEN_OBJECT_FIRST__BLOCKER_THEN_13_EXACT_LOCAL_HANDOFFS__THEN_SAME_SEGMENT_BATH_CARRY__THEN_NEUTRAL_DEFAULT	5
13	ACTION:G407-E1523@2:SH	RUNNING:G407-E1523@2	G407-E1523	G407-S101	f75r	f75r.12	f75r:P1	f75r.1–.26	G407-S101:BSEG01	4	ssheckhy	S+SH+E+CH+K+Y	0	NONE	NONE	NO	NONE	NONE	NONE	NONE	COLD_BATH_OBJECT_DEFAULT	BATH_OBJECT	Badegut	das zu badende Gut	G407-E1523	COLD_BATH_OBJECT_DEFAULT	G407-E1523	NONE	NONE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NONE	NONE	NONE	NONE	NONE	NOT_APPLICABLE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NO_STATE_ROW	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NO_GDT569_STATE_ROW	Keine ältere GDT569-State-Zeile für dieses Event.	Halte im Bad auf Grad I	Halte das zu badende Gut im Bad auf Grad I	YES	NOT_APPLICABLE	NOT_APPLICABLE	NONE	WRITTEN_OBJECT_FIRST__BLOCKER_THEN_13_EXACT_LOCAL_HANDOFFS__THEN_SAME_SEGMENT_BATH_CARRY__THEN_NEUTRAL_DEFAULT	6
18	ACTION:G407-E1560@1:SH	RUNNING:G407-E1560@1	G407-E1560	G407-S110	f75r	f75r.15	f75r:P1	f75r.1–.26	G407-S110:BSEG02	15	shedy	SH+E+DY	0	NONE	NONE	NO	NONE	NONE	NONE	NONE	COLD_BATH_OBJECT_DEFAULT	BATH_OBJECT	Badegut	das zu badende Gut	G407-E1560	COLD_BATH_OBJECT_DEFAULT	G407-E1560	NONE	NONE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NONE	NONE	NONE	NONE	NONE	NOT_APPLICABLE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	MATCHED	380	YES	NO	CONTEXT_CARRY	OR	die Stationseinheit	dieselbe Stationseinheit	GDT569_SPECIFIC_CANDIDATE_OVER_GENERIC_DEFAULT	Die ältere Wurzel ist ein konkreter Kandidat für das noch neutrale Badegut und wird für den nächsten Pass behalten.	Halte im Bad auf Grad I	Halte das zu badende Gut im Bad auf Grad I	YES	NOT_APPLICABLE	NOT_APPLICABLE	NONE	WRITTEN_OBJECT_FIRST__BLOCKER_THEN_13_EXACT_LOCAL_HANDOFFS__THEN_SAME_SEGMENT_BATH_CARRY__THEN_NEUTRAL_DEFAULT	7
19	ACTION:G407-E1563@1:SH	RUNNING:G407-E1563@1	G407-E1563	G407-S112	f75r	f75r.16	f75r:P1	f75r.1–.26	G407-S112:BSEG01	2	dshedy	SH+E+DY	0	NONE	NONE	NO	NONE	NONE	NONE	NONE	COLD_BATH_OBJECT_DEFAULT	BATH_OBJECT	Badegut	das zu badende Gut	G407-E1563	COLD_BATH_OBJECT_DEFAULT	G407-E1563	NONE	NONE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NONE	NONE	NONE	NONE	NONE	NOT_APPLICABLE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	MATCHED	382	YES	NO	CONTEXT_CARRY	Y	den Stationsposten	denselben Stationsposten	GDT569_SPECIFIC_CANDIDATE_OVER_GENERIC_DEFAULT	Die ältere Wurzel ist ein konkreter Kandidat für das noch neutrale Badegut und wird für den nächsten Pass behalten.	Halte im Bad auf Grad I	Halte das zu badende Gut im Bad auf Grad I	YES	NOT_APPLICABLE	NOT_APPLICABLE	NONE	WRITTEN_OBJECT_FIRST__BLOCKER_THEN_13_EXACT_LOCAL_HANDOFFS__THEN_SAME_SEGMENT_BATH_CARRY__THEN_NEUTRAL_DEFAULT	8
20	ACTION:G407-E1565@1:SH	RUNNING:G407-E1565@1	G407-E1565	G407-S113	f75r	f75r.16	f75r:P1	f75r.1–.26	G407-S113:BSEG01	2	sheedy	SH+EE+DY	0	NONE	NONE	NO	NONE	NONE	NONE	NONE	COLD_BATH_OBJECT_DEFAULT	BATH_OBJECT	Badegut	das zu badende Gut	G407-E1565	COLD_BATH_OBJECT_DEFAULT	G407-E1565	NONE	NONE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NONE	NONE	NONE	NONE	NONE	NOT_APPLICABLE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	MATCHED	383	YES	NO	CONTEXT_CARRY	Y	den Stationsposten	denselben Stationsposten	GDT569_SPECIFIC_CANDIDATE_OVER_GENERIC_DEFAULT	Die ältere Wurzel ist ein konkreter Kandidat für das noch neutrale Badegut und wird für den nächsten Pass behalten.	Halte im Bad auf Grad II	Halte das zu badende Gut im Bad auf Grad II	YES	NOT_APPLICABLE	NOT_APPLICABLE	NONE	WRITTEN_OBJECT_FIRST__BLOCKER_THEN_13_EXACT_LOCAL_HANDOFFS__THEN_SAME_SEGMENT_BATH_CARRY__THEN_NEUTRAL_DEFAULT	9
21	ACTION:G407-E1569@2:SH	RUNNING:G407-E1569@2	G407-E1569	G407-S114	f75r	f75r.16	f75r:P1	f75r.1–.26	G407-S114:BSEG01	5	okshedy	OK+SH+E+DY	0	NONE	NONE	NO	NONE	NONE	NONE	NONE	COLD_BATH_OBJECT_DEFAULT	BATH_OBJECT	Badegut	das zu badende Gut	G407-E1569	COLD_BATH_OBJECT_DEFAULT	G407-E1569	NONE	NONE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NONE	NONE	NONE	NONE	NONE	NOT_APPLICABLE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	MATCHED	384	YES	NO	CONTEXT_CARRY	Y	den Stationsposten	denselben Stationsposten	GDT569_SPECIFIC_CANDIDATE_OVER_GENERIC_DEFAULT	Die ältere Wurzel ist ein konkreter Kandidat für das noch neutrale Badegut und wird für den nächsten Pass behalten.	Halte im Bad auf Grad I	Halte das zu badende Gut im Bad auf Grad I	YES	NOT_APPLICABLE	NOT_APPLICABLE	NONE	WRITTEN_OBJECT_FIRST__BLOCKER_THEN_13_EXACT_LOCAL_HANDOFFS__THEN_SAME_SEGMENT_BATH_CARRY__THEN_NEUTRAL_DEFAULT	10
