bath_action_ordinal	primary_governor_key	action_slot_id	source_event_id	statement_id	physical_page	locus	paragraph_key	paragraph_locus_range	bath_segment_key	host_ordinal_in_statement	surface	component_recipe	carrier_slot_count	carrier_slot_ids	carrier_root_sequence	aiin_fill_present	body_blockers_present	state_before_object_class	state_before_source_event_id	reset_before	object_selection_route	gdt592_object_class	gdt592_object_lemma_de	gdt592_object_form_de	gdt592_object_source_event_id	gdt592_reference_origin_route	gdt592_reference_origin_event_id	carry_source_event_id	carry_source_action_slot_id	carry_source_primary_governor_key	carry_source_locus	carry_host_ordinal_distance	carry_intervening_host_count	carry_intervening_event_number_count	carry_locus_line_distance	carry_reference_class	carry_working_strength	handoff_donor_anchor_event_id	handoff_donor_carrier_source_event_id	handoff_source_action_slot_id	handoff_source_carrier_slot_ids	handoff_source_primary_governor_key	handoff_donor_host_ordinal_in_statement	handoff_source_root	handoff_source_locus	handoff_host_ordinal_distance	handoff_anchor_intervening_event_number_count	handoff_intervening_event_number_count	handoff_locus_line_distance	handoff_manual_visible_span	handoff_donor_clause_de	handoff_donor_phrase_provenance	retained_episode_alternative_de	gdt569_state_join_status	gdt569_state_edition_ordinal	gdt569_argument_carry	gdt569_action_carry	gdt569_argument_source_type	gdt569_inherited_argument_root	gdt569_explicit_argument_phrase_de	gdt569_carried_argument_phrase_de	gdt569_parallel_relation	gdt569_parallel_note_de	gdt590_current_clause_de	gdt592_completed_clause_de	clause_patch_required	retained_alternative_de	retained_generic_alternative_de	paragraph_boundary_after	guard	handoff_ordinal
42	ACTION:G407-E1673@1:SH	RUNNING:G407-E1673@1	G407-E1673	G407-S126	f75r	f75r.28	f75r:P2	f75r.27–.31	G407-S126:BSEG01	9	sheedy	SH+EE+DY	0	NONE	NONE	NO	NONE	BATH_OBJECT	G407-E1670	NONE	INTERVENING_OBJECT_HANDOFF	STATION	Stationsansatz	denselben Stationsansatz	G407-E1670	INTERVENING_OBJECT_HANDOFF	G407-E1670	NONE	NONE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	G407-E1670	G407-E1670	RUNNING:G407-E1670@4	RUNNING:G407-E1670@5	ACTION:G407-E1670@4:T	7	Y	f75r.28	2	2	2	0	f75r.28_W6_TO_W9	Reguliere den Stationsansatz über den Stationskontakt oder die Leitung	GDT587_ASSIGNMENT	Badegut	MATCHED	419	YES	NO	CONTEXT_CARRY	Y	den Stationsposten	denselben Stationsposten	GDT569_CARRY_CLASS_ALIGNED	Die ältere Argumentwurzel und die neue Objektklasse sind kompatibel; Identität wird nicht behauptet.	Halte im Bad auf Grad II	Halte denselben Stationsansatz im Bad auf Grad II	YES	NOT_APPLICABLE	NOT_APPLICABLE	NONE	WRITTEN_OBJECT_FIRST__BLOCKER_THEN_13_EXACT_LOCAL_HANDOFFS__THEN_SAME_SEGMENT_BATH_CARRY__THEN_NEUTRAL_DEFAULT	1
52	ACTION:G407-E1746@1:SH	RUNNING:G407-E1746@1	G407-E1746	G407-S145	f75r	f75r.35	f75r:P3	f75r.32–.46	G407-S145:BSEG01	5	shedy	SH+E+DY	0	NONE	NONE	NO	NONE	BATH_OBJECT	G407-E1742	NONE	INTERVENING_OBJECT_HANDOFF	PORTION	Anwendungsportion	dieselbe Anwendungsportion	G407-E1743	INTERVENING_OBJECT_HANDOFF	G407-E1743	NONE	NONE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	G407-E1743	G407-E1743	RUNNING:G407-E1743@1	RUNNING:G407-E1743@2	ACTION:G407-E1743@1:OK	4	AIN	f75r.35	1	2	2	0	f75r.35_W3_TO_W6	Beschicke oder bereite die Anwendungsportion an der Stations-Arbeitsstelle und von der Ausgangsstation oder aus dem Ausgangsbecken vor	GDT587_COMPLETE_READER__GDT584_CLAUSE_UNCHANGED	Badegut	MATCHED	449	YES	NO	CONTEXT_CARRY	AIN	den Stationsanteil	denselben Stationsanteil	GDT569_CARRY_CLASS_ALIGNED	Die ältere Argumentwurzel und die neue Objektklasse sind kompatibel; Identität wird nicht behauptet.	Halte im Bad auf Grad I	Halte dieselbe Anwendungsportion im Bad auf Grad I	YES	NOT_APPLICABLE	NOT_APPLICABLE	NONE	WRITTEN_OBJECT_FIRST__BLOCKER_THEN_13_EXACT_LOCAL_HANDOFFS__THEN_SAME_SEGMENT_BATH_CARRY__THEN_NEUTRAL_DEFAULT	2
100	ACTION:G407-E2641@1:SH	RUNNING:G407-E2641@1	G407-E2641	G407-S382	f77r	f77r.39	f77r:P3	f77r.38–.48	G407-S382:BSEG01	9	sheedy	SH+EE+DY	0	NONE	NONE	NO	NONE	STATION	G407-E2639	NONE	INTERVENING_OBJECT_HANDOFF	STATION	Stationsansatz	denselben Stationsansatz	G407-E2640	INTERVENING_OBJECT_HANDOFF	G407-E2640	NONE	NONE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	G407-E2640	G407-E2640	RUNNING:G407-E2640@2	RUNNING:G407-E2640@1	ACTION:G407-E2640@2:K	8	Y	f77r.39	1	0	0	0	f77r.39_W5_TO_W6	Führe den Stationsansatz und das Stations- oder Badmaß zu	GDT587_COMPLETE_READER__GDT584_CLAUSE_UNCHANGED	NOT_APPLICABLE	MATCHED	813	YES	NO	CONTEXT_CARRY	AIIN	den Stationswert	denselben Stationswert	GDT569_CARRY_FILL_PARALLEL	AIIN bleibt Füllung/Wertspur und wird nicht mit dem Badegut gleichgesetzt.	Halte im Bad auf Grad II	Halte denselben Stationsansatz im Bad auf Grad II	YES	NOT_APPLICABLE	NOT_APPLICABLE	NONE	WRITTEN_OBJECT_FIRST__BLOCKER_THEN_13_EXACT_LOCAL_HANDOFFS__THEN_SAME_SEGMENT_BATH_CARRY__THEN_NEUTRAL_DEFAULT	3
111	ACTION:G407-E2736@1:SH	RUNNING:G407-E2736@1	G407-E2736	G407-S396	f81r	f81r.3	f81r:P1	f81r.1–.15	G407-S396:BSEG03	20	shedy	SH+E+DY	0	NONE	NONE	NO	NONE	STATION	G407-E2731	NONE	INTERVENING_OBJECT_HANDOFF	STATION	Stationsansatz	denselben Stationsansatz	G407-E2734	INTERVENING_OBJECT_HANDOFF	G407-E2734	NONE	NONE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	G407-E2734	G407-E2734	RUNNING:G407-E2734@1	RUNNING:G407-E2734@2	ACTION:G407-E2734@1:CHD	18	Y	f81r.3	2	1	1	0	f81r.3_W6_TO_W8	Behandle den Stationsansatz	GDT587_ASSIGNMENT	NOT_APPLICABLE	MATCHED	850	YES	NO	CONTEXT_CARRY	Y	den Stationsposten	denselben Stationsposten	GDT569_CARRY_CLASS_ALIGNED	Die ältere Argumentwurzel und die neue Objektklasse sind kompatibel; Identität wird nicht behauptet.	Halte im Bad auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	YES	NOT_APPLICABLE	NOT_APPLICABLE	NONE	WRITTEN_OBJECT_FIRST__BLOCKER_THEN_13_EXACT_LOCAL_HANDOFFS__THEN_SAME_SEGMENT_BATH_CARRY__THEN_NEUTRAL_DEFAULT	4
148	ACTION:G407-E3034@1:SH	RUNNING:G407-E3034@1	G407-E3034	G407-S458	f81v	f81v.12	f81v:P2	f81v.10–.27	G407-S458:BSEG02	20	shedy	SH+E+DY	0	NONE	NONE	NO	NONE	STATION	G407-E3030	NONE	INTERVENING_OBJECT_HANDOFF	STATION	Stationsansatz	denselben Stationsansatz	G407-E3033	INTERVENING_OBJECT_HANDOFF	G407-E3033	NONE	NONE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	G407-E3033	G407-E3033	RUNNING:G407-E3033@1	RUNNING:G407-E3033@2	ACTION:G407-E3033@1:CHD	19	Y	f81v.12	1	0	0	0	f81v.12_W3_TO_W4	Behandle den Stationsansatz	GDT587_ASSIGNMENT	NOT_APPLICABLE	MATCHED	990	YES	NO	CONTEXT_CARRY	Y	den Stationsposten	denselben Stationsposten	GDT569_CARRY_CLASS_ALIGNED	Die ältere Argumentwurzel und die neue Objektklasse sind kompatibel; Identität wird nicht behauptet.	Halte im Bad auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	YES	NOT_APPLICABLE	NOT_APPLICABLE	NONE	WRITTEN_OBJECT_FIRST__BLOCKER_THEN_13_EXACT_LOCAL_HANDOFFS__THEN_SAME_SEGMENT_BATH_CARRY__THEN_NEUTRAL_DEFAULT	5
153	ACTION:G407-E3067@1:SH	RUNNING:G407-E3067@1	G407-E3067	G407-S468	f81v	f81v.16	f81v:P2	f81v.10–.27	G407-S468:BSEG01	16	shedy	SH+E+DY	0	NONE	NONE	NO	NONE	BODY	G407-E3060	NONE	INTERVENING_OBJECT_HANDOFF	BATH_UNIT	Stationseinheit	dieselbe Stationseinheit	G407-E3066	INTERVENING_OBJECT_HANDOFF	G407-E3066	NONE	NONE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	G407-E3065	G407-E3066	RUNNING:G407-E3065@2	RUNNING:G407-E3066@2	ACTION:G407-E3065@2:T	15	OR	f81v.15	1	1	0	1	f81v.16_W1_TO_W2__CARRIER_E3066	Reguliere den Stationsansatz und die Stationseinheit von der Ausgangsstation oder aus dem Ausgangsbecken und über den Stationskontakt oder die Leitung	GDT587_ASSIGNMENT	Körper	MATCHED	1002	YES	NO	CONTEXT_CARRY	OR	die Stationseinheit	dieselbe Stationseinheit	GDT569_CARRY_CLASS_ALIGNED	Die ältere Argumentwurzel und die neue Objektklasse sind kompatibel; Identität wird nicht behauptet.	Halte im Bad auf Grad I	Halte dieselbe Stationseinheit im Bad auf Grad I	YES	NOT_APPLICABLE	NOT_APPLICABLE	NONE	WRITTEN_OBJECT_FIRST__BLOCKER_THEN_13_EXACT_LOCAL_HANDOFFS__THEN_SAME_SEGMENT_BATH_CARRY__THEN_NEUTRAL_DEFAULT	6
175	ACTION:G407-E3221@1:SH	RUNNING:G407-E3221@1	G407-E3221	G407-S502	f82r	f82r.6	f82r:P1	f82r.1–.9	G407-S502:BSEG01	7	sheky	SH+E+K+Y	0	NONE	NONE	NO	NONE	BATH_OBJECT	G407-E3219	NONE	INTERVENING_OBJECT_HANDOFF	STATION	Stationsansatz	denselben Stationsansatz	G407-E3219	INTERVENING_OBJECT_HANDOFF	G407-E3219	NONE	NONE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	G407-E3219	G407-E3219	RUNNING:G407-E3219@4	RUNNING:G407-E3219@5	ACTION:G407-E3219@4:K	5	Y	f82r.6	2	1	1	0	f82r.6_W5_TO_W7	Führe den Stationsansatz zu	GDT587_COMPLETE_READER__GDT584_CLAUSE_UNCHANGED	Badegut	NO_STATE_ROW	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NO_GDT569_STATE_ROW	Keine ältere GDT569-State-Zeile für dieses Event.	Halte im Bad auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	YES	NOT_APPLICABLE	NOT_APPLICABLE	NONE	WRITTEN_OBJECT_FIRST__BLOCKER_THEN_13_EXACT_LOCAL_HANDOFFS__THEN_SAME_SEGMENT_BATH_CARRY__THEN_NEUTRAL_DEFAULT	7
179	ACTION:G407-E3234@1:SH	RUNNING:G407-E3234@1	G407-E3234	G407-S505	f82r	f82r.8	f82r:P1	f82r.1–.9	G407-S505:BSEG01	6	sheedy	SH+EE+DY	0	NONE	NONE	NO	NONE	BODY	G407-E3232	NONE	INTERVENING_OBJECT_HANDOFF	STATION	Stationsansatz	denselben Stationsansatz	G407-E3233	INTERVENING_OBJECT_HANDOFF	G407-E3233	NONE	NONE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	G407-E3233	G407-E3233	RUNNING:G407-E3233@3	RUNNING:G407-E3233@5	ACTION:G407-E3233@3:K	5	Y	f82r.8	1	0	0	0	f82r.8_W1_TO_W2	Führe den Stationsansatz auf Grad I, auf Grad II und als neuer Bad- oder Stationsansatz zu	GDT587_COMPLETE_READER__GDT584_CLAUSE_UNCHANGED	Körper	MATCHED	1075	YES	NO	CONTEXT_CARRY	Y	den Stationsposten	denselben Stationsposten	GDT569_CARRY_CLASS_ALIGNED	Die ältere Argumentwurzel und die neue Objektklasse sind kompatibel; Identität wird nicht behauptet.	Halte im Bad auf Grad II	Halte denselben Stationsansatz im Bad auf Grad II	YES	NOT_APPLICABLE	NOT_APPLICABLE	NONE	WRITTEN_OBJECT_FIRST__BLOCKER_THEN_13_EXACT_LOCAL_HANDOFFS__THEN_SAME_SEGMENT_BATH_CARRY__THEN_NEUTRAL_DEFAULT	8
185	ACTION:G407-E3304@1:SH	RUNNING:G407-E3304@1	G407-E3304	G407-S521	f82r	f82r.17	f82r:P2	f82r.11–.19	G407-S521:BSEG01	7	dshedy	SH+E+DY	0	NONE	NONE	NO	NONE	BODY	G407-E3295	NONE	INTERVENING_OBJECT_HANDOFF	STATION	Stationsansatz	denselben Stationsansatz	G407-E3301	INTERVENING_OBJECT_HANDOFF	G407-E3301	NONE	NONE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	G407-E3299	G407-E3301	RUNNING:G407-E3299@1	RUNNING:G407-E3301@1	ACTION:G407-E3299@1:S	4	Y	f82r.16	3	4	2	1	f82r.16_W10_TO_f82r.17_W1__CARRIER_E3301	Wähle das Stationsmaß und den Stationsansatz aus	GDT587_ASSIGNMENT	Körper	MATCHED	1101	YES	NO	CONTEXT_CARRY	Y	den Stationsposten	denselben Stationsposten	GDT569_CARRY_CLASS_ALIGNED	Die ältere Argumentwurzel und die neue Objektklasse sind kompatibel; Identität wird nicht behauptet.	Halte im Bad auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	YES	NOT_APPLICABLE	NOT_APPLICABLE	NONE	WRITTEN_OBJECT_FIRST__BLOCKER_THEN_13_EXACT_LOCAL_HANDOFFS__THEN_SAME_SEGMENT_BATH_CARRY__THEN_NEUTRAL_DEFAULT	9
220	ACTION:G407-E3550@1:SH	RUNNING:G407-E3550@1	G407-E3550	G407-S579	f83r	f83r.11	f83r:P2	f83r.9–.17	G407-S579:BSEG01	25	shedy	SH+E+DY	0	NONE	NONE	NO	NONE	STATION	G407-E3534	NONE	INTERVENING_OBJECT_HANDOFF	BATH_UNIT	Stationseinheit	dieselbe Stationseinheit	G407-E3549	INTERVENING_OBJECT_HANDOFF	G407-E3549	NONE	NONE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	G407-E3549	G407-E3549	RUNNING:G407-E3549@1	RUNNING:G407-E3549@2	ACTION:G407-E3549@1:S	24	OR	f83r.11	1	0	0	0	f83r.11_W1_TO_W2	Wähle die Stationseinheit aus	GDT587_ASSIGNMENT	Stationsansatz	MATCHED	1188	YES	NO	CONTEXT_CARRY	OR	die Stationseinheit	dieselbe Stationseinheit	GDT569_CARRY_CLASS_ALIGNED	Die ältere Argumentwurzel und die neue Objektklasse sind kompatibel; Identität wird nicht behauptet.	Halte im Bad auf Grad I	Halte dieselbe Stationseinheit im Bad auf Grad I	YES	NOT_APPLICABLE	NOT_APPLICABLE	NONE	WRITTEN_OBJECT_FIRST__BLOCKER_THEN_13_EXACT_LOCAL_HANDOFFS__THEN_SAME_SEGMENT_BATH_CARRY__THEN_NEUTRAL_DEFAULT	10
