bath_action_ordinal	primary_governor_key	action_slot_id	source_event_id	statement_id	physical_page	locus	paragraph_key	paragraph_locus_range	bath_segment_key	host_ordinal_in_statement	surface	component_recipe	carrier_slot_count	carrier_slot_ids	carrier_root_sequence	aiin_fill_present	body_blockers_present	state_before_object_class	state_before_source_event_id	reset_before	object_selection_route	gdt592_object_class	gdt592_object_lemma_de	gdt592_object_form_de	gdt592_object_source_event_id	gdt592_reference_origin_route	gdt592_reference_origin_event_id	carry_source_event_id	carry_source_action_slot_id	carry_source_primary_governor_key	carry_source_locus	carry_host_ordinal_distance	carry_intervening_host_count	carry_intervening_event_number_count	carry_locus_line_distance	carry_reference_class	carry_working_strength	handoff_donor_anchor_event_id	handoff_donor_carrier_source_event_id	handoff_source_action_slot_id	handoff_source_carrier_slot_ids	handoff_source_primary_governor_key	handoff_donor_host_ordinal_in_statement	handoff_source_root	handoff_source_locus	handoff_host_ordinal_distance	handoff_anchor_intervening_event_number_count	handoff_intervening_event_number_count	handoff_locus_line_distance	handoff_manual_visible_span	handoff_donor_clause_de	handoff_donor_phrase_provenance	retained_episode_alternative_de	gdt569_state_join_status	gdt569_state_edition_ordinal	gdt569_argument_carry	gdt569_action_carry	gdt569_argument_source_type	gdt569_inherited_argument_root	gdt569_explicit_argument_phrase_de	gdt569_carried_argument_phrase_de	gdt569_parallel_relation	gdt569_parallel_note_de	gdt590_current_clause_de	gdt592_completed_clause_de	clause_patch_required	retained_alternative_de	retained_generic_alternative_de	paragraph_boundary_after	guard	carry_ordinal
25	ACTION:G407-E1579@1:SH	RUNNING:G407-E1579@1	G407-E1579	G407-S115	f75r	f75r.17	f75r:P1	f75r.1–.26	G407-S115:BSEG01	11	shedy	SH+E+DY	0	NONE	NONE	NO	NONE	STATION	G407-E1576	NONE	EPISODE_CARRY	STATION	Stationsansatz	denselben Stationsansatz	G407-E1576	WRITTEN_Y_GDT590	G407-E1576	G407-E1576	RUNNING:G407-E1576@1	ACTION:G407-E1576@1:SH	f75r.17	3	2	2	0	TYPED_BATH_ACTION_CARRY	SHORT_VISIBLE_EVENT	NONE	NONE	NONE	NONE	NONE	NOT_APPLICABLE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	MATCHED	386	YES	NO	CONTEXT_CARRY	Y	den Stationsposten	denselben Stationsposten	GDT569_CARRY_CLASS_ALIGNED	Die ältere Argumentwurzel und die neue Objektklasse sind kompatibel; Identität wird nicht behauptet.	Halte im Bad auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	YES	NOT_APPLICABLE	Badegut	NONE	WRITTEN_OBJECT_FIRST__BLOCKER_THEN_13_EXACT_LOCAL_HANDOFFS__THEN_SAME_SEGMENT_BATH_CARRY__THEN_NEUTRAL_DEFAULT	1
47	ACTION:G407-E1713@1:SH	RUNNING:G407-E1713@1	G407-E1713	G407-S135	f75r	f75r.32	f75r:P3	f75r.32–.46	G407-S135:BSEG01	4	shedy	SH+E+DY	0	NONE	NONE	NO	NONE	STATION	G407-E1711	NONE	EPISODE_CARRY	STATION	Stationsansatz	denselben Stationsansatz	G407-E1711	WRITTEN_Y_GDT590	G407-E1711	G407-E1711	RUNNING:G407-E1711@3	ACTION:G407-E1711@3:SH	f75r.32	1	0	1	0	TYPED_BATH_ACTION_CARRY	SHORT_VISIBLE_EVENT	NONE	NONE	NONE	NONE	NONE	NOT_APPLICABLE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	MATCHED	435	YES	NO	CONTEXT_CARRY	Y	den Stationsposten	denselben Stationsposten	GDT569_CARRY_CLASS_ALIGNED	Die ältere Argumentwurzel und die neue Objektklasse sind kompatibel; Identität wird nicht behauptet.	Halte im Bad auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	YES	NOT_APPLICABLE	Badegut	NONE	WRITTEN_OBJECT_FIRST__BLOCKER_THEN_13_EXACT_LOCAL_HANDOFFS__THEN_SAME_SEGMENT_BATH_CARRY__THEN_NEUTRAL_DEFAULT	2
75	ACTION:G407-E2471@1:SH	RUNNING:G407-E2471@1	G407-E2471	G407-S340	f77r	f77r.17	f77r:P1	f77r.9–.24	G407-S340:BSEG01	3	sheety	SH+EE+T+Y	0	NONE	NONE	NO	NONE	STATION	G407-E2468	NONE	EPISODE_CARRY	STATION	Stationsansatz	denselben Stationsansatz	G407-E2468	WRITTEN_Y_GDT590	G407-E2468	G407-E2468	RUNNING:G407-E2468@1	ACTION:G407-E2468@1:SH	f77r.17	2	1	2	0	TYPED_BATH_ACTION_CARRY	SHORT_VISIBLE_EVENT	NONE	NONE	NONE	NONE	NONE	NOT_APPLICABLE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NO_STATE_ROW	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NO_GDT569_STATE_ROW	Keine ältere GDT569-State-Zeile für dieses Event.	Halte im Bad auf Grad II	Halte denselben Stationsansatz im Bad auf Grad II	YES	NOT_APPLICABLE	Badegut	NONE	WRITTEN_OBJECT_FIRST__BLOCKER_THEN_13_EXACT_LOCAL_HANDOFFS__THEN_SAME_SEGMENT_BATH_CARRY__THEN_NEUTRAL_DEFAULT	3
78	ACTION:G407-E2481@1:SH	RUNNING:G407-E2481@1	G407-E2481	G407-S341	f77r	f77r.18	f77r:P1	f77r.9–.24	G407-S341:BSEG01	7	sheckhedy	SH+E+CH+K+E+DY	0	NONE	NONE	NO	NONE	STATION	G407-E2480	NONE	EPISODE_CARRY	STATION	Stationsansatz	denselben Stationsansatz	G407-E2480	BODY_BLOCKER_STATION	G407-E2480	G407-E2480	RUNNING:G407-E2480@1	ACTION:G407-E2480@1:SH	f77r.18	1	0	0	0	TYPED_BATH_ACTION_CARRY	ADJACENT_VISIBLE_EVENT	NONE	NONE	NONE	NONE	NONE	NOT_APPLICABLE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	MATCHED	745	YES	NO	CONTEXT_CARRY	OR	die Stationseinheit	dieselbe Stationseinheit	GDT569_CARRY_CLASS_DIVERGENCE_RETAINED	Episode und ältere Argumentspur wählen verschiedene Klassen; beide bleiben sichtbar.	Halte im Bad auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	YES	NOT_APPLICABLE	Badegut	NONE	WRITTEN_OBJECT_FIRST__BLOCKER_THEN_13_EXACT_LOCAL_HANDOFFS__THEN_SAME_SEGMENT_BATH_CARRY__THEN_NEUTRAL_DEFAULT	4
98	ACTION:G407-E2638@1:SH	RUNNING:G407-E2638@1	G407-E2638	G407-S382	f77r	f77r.39	f77r:P3	f77r.38–.48	G407-S382:BSEG01	4	sheckhey	SH+E+CH+K+E+Y	0	NONE	NONE	NO	NONE	BODY	G407-E2637	NONE	EPISODE_CARRY	BODY	Körper	denselben Körper	G407-E2637	WRITTEN_Y_GDT590	G407-E2637	G407-E2637	RUNNING:G407-E2637@1	ACTION:G407-E2637@1:SH	f77r.39	1	0	0	0	TYPED_BATH_ACTION_CARRY	ADJACENT_VISIBLE_EVENT	NONE	NONE	NONE	NONE	NONE	NOT_APPLICABLE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NO_STATE_ROW	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NO_GDT569_STATE_ROW	Keine ältere GDT569-State-Zeile für dieses Event.	Halte im Bad auf Grad I	Halte denselben Körper im Bad auf Grad I	YES	NOT_APPLICABLE	Badegut	NONE	WRITTEN_OBJECT_FIRST__BLOCKER_THEN_13_EXACT_LOCAL_HANDOFFS__THEN_SAME_SEGMENT_BATH_CARRY__THEN_NEUTRAL_DEFAULT	5
129	ACTION:G407-E2881@1:SH	RUNNING:G407-E2881@1	G407-E2881	G407-S429	f81r	f81r.26	f81r:P2	f81r.16–.31	G407-S429:BSEG02	7	shedy	SH+E+DY	0	NONE	NONE	NO	NONE	BATH_UNIT	G407-E2880	NONE	EPISODE_CARRY	BATH_UNIT	Badeinheit	dieselbe Badeinheit	G407-E2880	WRITTEN_OR_UNIT	G407-E2880	G407-E2880	RUNNING:G407-E2880@1	ACTION:G407-E2880@1:SH	f81r.26	1	0	0	0	TYPED_BATH_ACTION_CARRY	ADJACENT_VISIBLE_EVENT	NONE	NONE	NONE	NONE	NONE	NOT_APPLICABLE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	MATCHED	931	YES	NO	CONTEXT_CARRY	OR	die Stationseinheit	dieselbe Stationseinheit	GDT569_CARRY_CLASS_ALIGNED	Die ältere Argumentwurzel und die neue Objektklasse sind kompatibel; Identität wird nicht behauptet.	Halte im Bad auf Grad I	Halte dieselbe Badeinheit im Bad auf Grad I	YES	NOT_APPLICABLE	Badegut	NONE	WRITTEN_OBJECT_FIRST__BLOCKER_THEN_13_EXACT_LOCAL_HANDOFFS__THEN_SAME_SEGMENT_BATH_CARRY__THEN_NEUTRAL_DEFAULT	6
133	ACTION:G407-E2914@1:SH	RUNNING:G407-E2914@1	G407-E2914	G407-S436	f81r	f81r.31	f81r:P2	f81r.16–.31	G407-S436:BSEG01	10	shedy	SH+E+DY	0	NONE	NONE	NO	NONE	STATION	G407-E2912	NONE	EPISODE_CARRY	STATION	Stationsansatz	denselben Stationsansatz	G407-E2912	WRITTEN_Y_GDT590	G407-E2912	G407-E2912	RUNNING:G407-E2912@3	ACTION:G407-E2912@3:SH	f81r.30	2	1	1	1	TYPED_BATH_ACTION_CARRY	SHORT_VISIBLE_EVENT	NONE	NONE	NONE	NONE	NONE	NOT_APPLICABLE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	MATCHED	947	YES	NO	CONTEXT_CARRY	Y	den Stationsposten	denselben Stationsposten	GDT569_CARRY_CLASS_ALIGNED	Die ältere Argumentwurzel und die neue Objektklasse sind kompatibel; Identität wird nicht behauptet.	Halte im Bad auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	YES	NOT_APPLICABLE	Badegut	NONE	WRITTEN_OBJECT_FIRST__BLOCKER_THEN_13_EXACT_LOCAL_HANDOFFS__THEN_SAME_SEGMENT_BATH_CARRY__THEN_NEUTRAL_DEFAULT	7
174	ACTION:G407-E3219@1:SH	RUNNING:G407-E3219@1	G407-E3219	G407-S502	f82r	f82r.6	f82r:P1	f82r.1–.9	G407-S502:BSEG01	3	sheckhy	SH+E+CH+K+Y	0	NONE	NONE	NO	NONE	BATH_OBJECT	G407-E3218	NONE	EPISODE_CARRY	BATH_OBJECT	Badegut	dasselbe zu badende Gut	G407-E3218	COLD_BATH_OBJECT_DEFAULT	G407-E3218	G407-E3218	RUNNING:G407-E3218@1	ACTION:G407-E3218@1:SH	f82r.6	1	0	0	0	NEUTRAL_DEFAULT_REUSE	ADJACENT_VISIBLE_EVENT	NONE	NONE	NONE	NONE	NONE	NOT_APPLICABLE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NO_STATE_ROW	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NO_GDT569_STATE_ROW	Keine ältere GDT569-State-Zeile für dieses Event.	Halte im Bad auf Grad I	Halte dasselbe zu badende Gut im Bad auf Grad I	YES	NOT_APPLICABLE	Badegut	NONE	WRITTEN_OBJECT_FIRST__BLOCKER_THEN_13_EXACT_LOCAL_HANDOFFS__THEN_SAME_SEGMENT_BATH_CARRY__THEN_NEUTRAL_DEFAULT	8
195	ACTION:G407-E3379@1:SH	RUNNING:G407-E3379@1	G407-E3379	G407-S536	f82r	f82r.25	f82r:P3	f82r.20–.33	G407-S536:BSEG01	2	sheedy	SH+EE+DY	0	NONE	NONE	NO	NONE	STATION	G407-E3378	NONE	EPISODE_CARRY	STATION	Stationsansatz	denselben Stationsansatz	G407-E3378	BODY_BLOCKER_STATION	G407-E3378	G407-E3378	RUNNING:G407-E3378@1	ACTION:G407-E3378@1:SH	f82r.25	1	0	0	0	TYPED_BATH_ACTION_CARRY	ADJACENT_VISIBLE_EVENT	NONE	NONE	NONE	NONE	NONE	NOT_APPLICABLE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	MATCHED	1124	YES	NO	CONTEXT_CARRY	Y	den Stationsposten	denselben Stationsposten	GDT569_CARRY_CLASS_ALIGNED	Die ältere Argumentwurzel und die neue Objektklasse sind kompatibel; Identität wird nicht behauptet.	Halte im Bad auf Grad II	Halte denselben Stationsansatz im Bad auf Grad II	YES	NOT_APPLICABLE	Badegut	NONE	WRITTEN_OBJECT_FIRST__BLOCKER_THEN_13_EXACT_LOCAL_HANDOFFS__THEN_SAME_SEGMENT_BATH_CARRY__THEN_NEUTRAL_DEFAULT	9
213	ACTION:G407-E3489@1:SH	RUNNING:G407-E3489@1	G407-E3489	G407-S565	f83r	f83r.4	f83r:P1	f83r.1–.8	G407-S565:BSEG01	5	shedy	SH+E+DY	0	NONE	NONE	NO	NONE	BATH_OBJECT	G407-E3488	NONE	EPISODE_CARRY	BATH_OBJECT	Badegut	dasselbe zu badende Gut	G407-E3488	COLD_BATH_OBJECT_DEFAULT	G407-E3488	G407-E3488	RUNNING:G407-E3488@1	ACTION:G407-E3488@1:SH	f83r.4	2	1	0	0	NEUTRAL_DEFAULT_REUSE	ADJACENT_VISIBLE_EVENT	NONE	NONE	NONE	NONE	NONE	NOT_APPLICABLE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	MATCHED	1168	YES	NO	CONTEXT_CARRY	AIIN	den Stationswert	denselben Stationswert	GDT569_CARRY_FILL_PARALLEL	AIIN bleibt Füllung/Wertspur und wird nicht mit dem Badegut gleichgesetzt.	Halte im Bad auf Grad I	Halte dasselbe zu badende Gut im Bad auf Grad I	YES	NOT_APPLICABLE	Badegut	NONE	WRITTEN_OBJECT_FIRST__BLOCKER_THEN_13_EXACT_LOCAL_HANDOFFS__THEN_SAME_SEGMENT_BATH_CARRY__THEN_NEUTRAL_DEFAULT	10
