bath_episode_ordinal	bath_segment_key	statement_id	physical_page	paragraph_key	paragraph_locus_range	bath_action_count	action_slot_sequence	primary_governor_sequence	source_event_sequence	surface_sequence	object_class_sequence	object_lemma_sequence_de	selection_route_sequence	patch_count	carry_count	local_handoff_count	cold_start_route	guard
1	G407-S082:BSEG02	G407-S082	f75r	f75r:P1	f75r.1–.26	1	RUNNING:G407-E1431@1	ACTION:G407-E1431@1:SH	G407-E1431	shedy	BATH_OBJECT	Badegut	COLD_BATH_OBJECT_DEFAULT	1	0	0	COLD_BATH_OBJECT_DEFAULT	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
2	G407-S083:BSEG01	G407-S083	f75r	f75r:P1	f75r.1–.26	1	RUNNING:G407-E1433@1	ACTION:G407-E1433@1:SH	G407-E1433	shey	STATION	Stationsansatz	WRITTEN_Y_GDT590	0	0	0	WRITTEN_Y_GDT590	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
3	G407-S085:BSEG01	G407-S085	f75r	f75r:P1	f75r.1–.26	4	RUNNING:G407-E1445@1|RUNNING:G407-E1452@2|RUNNING:G407-E1455@1|RUNNING:G407-E1457@1	ACTION:G407-E1445@1:SH|ACTION:G407-E1452@2:SH|ACTION:G407-E1455@1:SH|ACTION:G407-E1457@1:SH	G407-E1445|G407-E1452|G407-E1455|G407-E1457	sheeky|lshey|shey|shey	BATH_OBJECT→STATION→BODY→BODY	Badegut→Stationsansatz→Körper→Körper	COLD_BATH_OBJECT_DEFAULT→WRITTEN_Y_GDT590→WRITTEN_Y_GDT590→WRITTEN_Y_GDT590	1	0	0	COLD_BATH_OBJECT_DEFAULT	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
4	G407-S086:BSEG01	G407-S086	f75r	f75r:P1	f75r.1–.26	1	RUNNING:G407-E1459@1	ACTION:G407-E1459@1:SH	G407-E1459	shey	BODY	Körper	WRITTEN_Y_GDT590	0	0	0	WRITTEN_Y_GDT590	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
5	G407-S091:BSEG01	G407-S091	f75r	f75r:P1	f75r.1–.26	2	RUNNING:G407-E1489@2|RUNNING:G407-E1492@2	ACTION:G407-E1489@2:SH|ACTION:G407-E1492@2:SH	G407-E1489|G407-E1492	dsheckhy|lshedy	STATION→STATION	Stationsansatz→Stationsansatz	BODY_BLOCKER_STATION→BODY_BLOCKER_STATION	2	0	0	BODY_BLOCKER_STATION	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
6	G407-S096:BSEG01	G407-S096	f75r	f75r:P1	f75r.1–.26	1	RUNNING:G407-E1503@2	ACTION:G407-E1503@2:SH	G407-E1503	dshor	BATH_UNIT	Badeinheit	WRITTEN_OR_UNIT	0	0	0	WRITTEN_OR_UNIT	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
7	G407-S096:BSEG02	G407-S096	f75r	f75r:P1	f75r.1–.26	1	RUNNING:G407-E1506@1	ACTION:G407-E1506@1:SH	G407-E1506	shey	BODY	Körper	WRITTEN_Y_GDT590	0	0	0	WRITTEN_Y_GDT590	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
8	G407-S100:BSEG01	G407-S100	f75r	f75r:P1	f75r.1–.26	1	RUNNING:G407-E1520@1	ACTION:G407-E1520@1:SH	G407-E1520	shedy	BATH_OBJECT	Badegut	COLD_BATH_OBJECT_DEFAULT	1	0	0	COLD_BATH_OBJECT_DEFAULT	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
9	G407-S101:BSEG01	G407-S101	f75r	f75r:P1	f75r.1–.26	4	RUNNING:G407-E1523@2|RUNNING:G407-E1526@1|RUNNING:G407-E1529@1|RUNNING:G407-E1530@1	ACTION:G407-E1523@2:SH|ACTION:G407-E1526@1:SH|ACTION:G407-E1529@1:SH|ACTION:G407-E1530@1:SH	G407-E1523|G407-E1526|G407-E1529|G407-E1530	ssheckhy|shey|cheey|shey	BATH_OBJECT→BODY→BODY→BODY	Badegut→Körper→Körper→Körper	COLD_BATH_OBJECT_DEFAULT→WRITTEN_Y_GDT590→WRITTEN_Y_GDT590→WRITTEN_Y_GDT590	1	0	0	COLD_BATH_OBJECT_DEFAULT	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
10	G407-S109:BSEG01	G407-S109	f75r	f75r:P1	f75r.1–.26	1	RUNNING:G407-E1544@3	ACTION:G407-E1544@3:SH	G407-E1544	keishy	BODY	Körper	WRITTEN_Y_GDT590	0	0	0	WRITTEN_Y_GDT590	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
11	G407-S110:BSEG02	G407-S110	f75r	f75r:P1	f75r.1–.26	1	RUNNING:G407-E1560@1	ACTION:G407-E1560@1:SH	G407-E1560	shedy	BATH_OBJECT	Badegut	COLD_BATH_OBJECT_DEFAULT	1	0	0	COLD_BATH_OBJECT_DEFAULT	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
12	G407-S112:BSEG01	G407-S112	f75r	f75r:P1	f75r.1–.26	1	RUNNING:G407-E1563@1	ACTION:G407-E1563@1:SH	G407-E1563	dshedy	BATH_OBJECT	Badegut	COLD_BATH_OBJECT_DEFAULT	1	0	0	COLD_BATH_OBJECT_DEFAULT	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
13	G407-S113:BSEG01	G407-S113	f75r	f75r:P1	f75r.1–.26	1	RUNNING:G407-E1565@1	ACTION:G407-E1565@1:SH	G407-E1565	sheedy	BATH_OBJECT	Badegut	COLD_BATH_OBJECT_DEFAULT	1	0	0	COLD_BATH_OBJECT_DEFAULT	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
14	G407-S114:BSEG01	G407-S114	f75r	f75r:P1	f75r.1–.26	1	RUNNING:G407-E1569@2	ACTION:G407-E1569@2:SH	G407-E1569	okshedy	BATH_OBJECT	Badegut	COLD_BATH_OBJECT_DEFAULT	1	0	0	COLD_BATH_OBJECT_DEFAULT	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
15	G407-S115:BSEG01	G407-S115	f75r	f75r:P1	f75r.1–.26	4	RUNNING:G407-E1573@1|RUNNING:G407-E1574@2|RUNNING:G407-E1576@1|RUNNING:G407-E1579@1	ACTION:G407-E1573@1:SH|ACTION:G407-E1574@2:SH|ACTION:G407-E1576@1:SH|ACTION:G407-E1579@1:SH	G407-E1573|G407-E1574|G407-E1576|G407-E1579	shepchy|lshedary|shal|shedy	BATH_OBJECT→STATION→STATION→STATION	Badegut→Stationsansatz→Stationsansatz→Stationsansatz	COLD_BATH_OBJECT_DEFAULT→WRITTEN_Y_GDT590→WRITTEN_Y_GDT590→EPISODE_CARRY	2	1	0	COLD_BATH_OBJECT_DEFAULT	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
16	G407-S116:BSEG01	G407-S116	f75r	f75r:P1	f75r.1–.26	1	RUNNING:G407-E1582@1	ACTION:G407-E1582@1:SH	G407-E1582	sheedy	BATH_OBJECT	Badegut	COLD_BATH_OBJECT_DEFAULT	1	0	0	COLD_BATH_OBJECT_DEFAULT	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
17	G407-S117:BSEG01	G407-S117	f75r	f75r:P1	f75r.1–.26	1	RUNNING:G407-E1584@1	ACTION:G407-E1584@1:SH	G407-E1584	shedy	BATH_OBJECT	Badegut	COLD_BATH_OBJECT_DEFAULT	1	0	0	COLD_BATH_OBJECT_DEFAULT	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
18	G407-S118:BSEG02	G407-S118	f75r	f75r:P1	f75r.1–.26	1	RUNNING:G407-E1590@2	ACTION:G407-E1590@2:SH	G407-E1590	qokshedy	BATH_OBJECT	Badegut	COLD_BATH_OBJECT_DEFAULT	1	0	0	COLD_BATH_OBJECT_DEFAULT	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
19	G407-S119:BSEG01	G407-S119	f75r	f75r:P1	f75r.1–.26	9	RUNNING:G407-E1592@1|RUNNING:G407-E1594@1|RUNNING:G407-E1599@1|RUNNING:G407-E1605@1|RUNNING:G407-E1611@2|RUNNING:G407-E1616@1|RUNNING:G407-E1620@1|RUNNING:G407-E1625@2|RUNNING:G407-E1628@2	ACTION:G407-E1592@1:SH|ACTION:G407-E1594@1:SH|ACTION:G407-E1599@1:SH|ACTION:G407-E1605@1:SH|ACTION:G407-E1611@2:SH|ACTION:G407-E1616@1:SH|ACTION:G407-E1620@1:SH|ACTION:G407-E1625@2:SH|ACTION:G407-E1628@2:SH	G407-E1592|G407-E1594|G407-E1599|G407-E1605|G407-E1611|G407-E1616|G407-E1620|G407-E1625|G407-E1628	shey|shey|shey|shey|ysheor|shey|shey|kshey|sshey	BODY→BODY→STATION→BODY→STATION→BODY→BODY→BODY→BODY	Körper→Körper→Stationsansatz→Körper→Stationsansatz→Körper→Körper→Körper→Körper	WRITTEN_Y_GDT590→WRITTEN_Y_GDT590→WRITTEN_Y_GDT590→WRITTEN_Y_GDT590→WRITTEN_Y_GDT590→WRITTEN_Y_GDT590→WRITTEN_Y_GDT590→WRITTEN_Y_GDT590→WRITTEN_Y_GDT590	0	0	0	WRITTEN_Y_GDT590	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
20	G407-S122:BSEG01	G407-S122	f75r	f75r:P1	f75r.1–.26	1	RUNNING:G407-E1648@1	ACTION:G407-E1648@1:SH	G407-E1648	sheol	STATION	Stationsansatz	WRITTEN_Y_GDT590	0	0	0	WRITTEN_Y_GDT590	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
21	G407-S122:BSEG02	G407-S122	f75r	f75r:P2	f75r.27–.31	1	RUNNING:G407-E1654@4	ACTION:G407-E1654@4:SH	G407-E1654	pdalshor	BATH_UNIT	Badeinheit	WRITTEN_OR_UNIT	0	0	0	WRITTEN_OR_UNIT	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
22	G407-S122:BSEG03	G407-S122	f75r	f75r:P2	f75r.27–.31	1	RUNNING:G407-E1658@1	ACTION:G407-E1658@1:SH	G407-E1658	shedy	BATH_OBJECT	Badegut	COLD_BATH_OBJECT_DEFAULT	1	0	0	COLD_BATH_OBJECT_DEFAULT	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
23	G407-S126:BSEG01	G407-S126	f75r	f75r:P2	f75r.27–.31	2	RUNNING:G407-E1670@1|RUNNING:G407-E1673@1	ACTION:G407-E1670@1:SH|ACTION:G407-E1673@1:SH	G407-E1670|G407-E1673	shecthy|sheedy	BATH_OBJECT→STATION	Badegut→Stationsansatz	COLD_BATH_OBJECT_DEFAULT→INTERVENING_OBJECT_HANDOFF	2	0	1	COLD_BATH_OBJECT_DEFAULT	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
24	G407-S130:BSEG02	G407-S130	f75r	f75r:P2	f75r.27–.31	1	RUNNING:G407-E1699@1	ACTION:G407-E1699@1:SH	G407-E1699	shedy	BATH_OBJECT	Badegut	COLD_BATH_OBJECT_DEFAULT	1	0	0	COLD_BATH_OBJECT_DEFAULT	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
25	G407-S131:BSEG01	G407-S131	f75r	f75r:P2	f75r.27–.31	1	RUNNING:G407-E1702@1	ACTION:G407-E1702@1:SH	G407-E1702	dshedy	BATH_OBJECT	Badegut	COLD_BATH_OBJECT_DEFAULT	1	0	0	COLD_BATH_OBJECT_DEFAULT	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
26	G407-S132:BSEG01	G407-S132	f75r	f75r:P2	f75r.27–.31	1	RUNNING:G407-E1706@1	ACTION:G407-E1706@1:SH	G407-E1706	shedy	BATH_OBJECT	Badegut	COLD_BATH_OBJECT_DEFAULT	1	0	0	COLD_BATH_OBJECT_DEFAULT	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
27	G407-S135:BSEG01	G407-S135	f75r	f75r:P3	f75r.32–.46	2	RUNNING:G407-E1711@3|RUNNING:G407-E1713@1	ACTION:G407-E1711@3:SH|ACTION:G407-E1713@1:SH	G407-E1711|G407-E1713	polshy|shedy	STATION→STATION	Stationsansatz→Stationsansatz	WRITTEN_Y_GDT590→EPISODE_CARRY	1	1	0	WRITTEN_Y_GDT590	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
28	G407-S137:BSEG01	G407-S137	f75r	f75r:P3	f75r.32–.46	1	RUNNING:G407-E1717@1	ACTION:G407-E1717@1:SH	G407-E1717	shedy	BATH_OBJECT	Badegut	COLD_BATH_OBJECT_DEFAULT	1	0	0	COLD_BATH_OBJECT_DEFAULT	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
29	G407-S138:BSEG02	G407-S138	f75r	f75r:P3	f75r.32–.46	1	RUNNING:G407-E1719@1	ACTION:G407-E1719@1:SH	G407-E1719	shedy	STATION	Stationsansatz	BODY_BLOCKER_STATION	1	0	0	BODY_BLOCKER_STATION	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
30	G407-S140:BSEG01	G407-S140	f75r	f75r:P3	f75r.32–.46	1	RUNNING:G407-E1723@1	ACTION:G407-E1723@1:SH	G407-E1723	shedy	BATH_OBJECT	Badegut	COLD_BATH_OBJECT_DEFAULT	1	0	0	COLD_BATH_OBJECT_DEFAULT	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
31	G407-S145:BSEG01	G407-S145	f75r	f75r:P3	f75r.32–.46	2	RUNNING:G407-E1742@1|RUNNING:G407-E1746@1	ACTION:G407-E1742@1:SH|ACTION:G407-E1746@1:SH	G407-E1742|G407-E1746	sheety|shedy	BATH_OBJECT→PORTION	Badegut→Anwendungsportion	COLD_BATH_OBJECT_DEFAULT→INTERVENING_OBJECT_HANDOFF	2	0	1	COLD_BATH_OBJECT_DEFAULT	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
32	G407-S151:BSEG01	G407-S151	f75r	f75r:P3	f75r.32–.46	1	RUNNING:G407-E1758@1	ACTION:G407-E1758@1:SH	G407-E1758	sheety	BODY	Körper	WRITTEN_Y_GDT590	0	0	0	WRITTEN_Y_GDT590	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
33	G407-S160:BSEG01	G407-S160	f75r	f75r:P3	f75r.32–.46	1	RUNNING:G407-E1769@2	ACTION:G407-E1769@2:SH	G407-E1769	yshedy	BODY	Körper	WRITTEN_Y_GDT590	0	0	0	WRITTEN_Y_GDT590	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
34	G407-S165:BSEG01	G407-S165	f75r	f75r:P3	f75r.32–.46	1	RUNNING:G407-E1776@1	ACTION:G407-E1776@1:SH	G407-E1776	shedy	BATH_OBJECT	Badegut	COLD_BATH_OBJECT_DEFAULT	1	0	0	COLD_BATH_OBJECT_DEFAULT	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
35	G407-S166:BSEG01	G407-S166	f75r	f75r:P3	f75r.32–.46	1	RUNNING:G407-E1778@1	ACTION:G407-E1778@1:SH	G407-E1778	shedy	BATH_OBJECT	Badegut	COLD_BATH_OBJECT_DEFAULT	1	0	0	COLD_BATH_OBJECT_DEFAULT	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
36	G407-S168:BSEG01	G407-S168	f75r	f75r:P3	f75r.32–.46	1	RUNNING:G407-E1781@2	ACTION:G407-E1781@2:SH	G407-E1781	rshedy	BATH_OBJECT	Badegut	COLD_BATH_OBJECT_DEFAULT	1	0	0	COLD_BATH_OBJECT_DEFAULT	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
37	G407-S173:BSEG01	G407-S173	f75r	f75r:P3	f75r.32–.46	1	RUNNING:G407-E1789@1	ACTION:G407-E1789@1:SH	G407-E1789	dshedy	BODY	Körper	WRITTEN_Y_GDT590	0	0	0	WRITTEN_Y_GDT590	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
38	G407-S177:BSEG01	G407-S177	f75r	f75r:P3	f75r.32–.46	1	RUNNING:G407-E1795@2	ACTION:G407-E1795@2:SH	G407-E1795	yshedy	STATION	Stationsansatz	WRITTEN_Y_GDT590	0	0	0	WRITTEN_Y_GDT590	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
39	G407-S184:BSEG03	G407-S184	f75r	f75r:P3	f75r.32–.46	1	RUNNING:G407-E1814@2	ACTION:G407-E1814@2:SH	G407-E1814	sshedy	BATH_OBJECT	Badegut	COLD_BATH_OBJECT_DEFAULT	1	0	0	COLD_BATH_OBJECT_DEFAULT	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
40	G407-S191:BSEG01	G407-S191	f75r	f75r:P3	f75r.32–.46	1	RUNNING:G407-E1829@1	ACTION:G407-E1829@1:SH	G407-E1829	shedy	PORTION	Anwendungsportion	WRITTEN_AIN_PORTION	0	0	0	WRITTEN_AIN_PORTION	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
41	G407-S312:BSEG01	G407-S312	f77r	f77r:P1	f77r.9–.24	1	RUNNING:G407-E2404@1	ACTION:G407-E2404@1:SH	G407-E2404	shey	BODY	Körper	WRITTEN_Y_GDT590	0	0	0	WRITTEN_Y_GDT590	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
42	G407-S314:BSEG01	G407-S314	f77r	f77r:P1	f77r.9–.24	1	RUNNING:G407-E2414@1	ACTION:G407-E2414@1:SH	G407-E2414	shedy	BATH_OBJECT	Badegut	COLD_BATH_OBJECT_DEFAULT	1	0	0	COLD_BATH_OBJECT_DEFAULT	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
43	G407-S315:BSEG01	G407-S315	f77r	f77r:P1	f77r.9–.24	1	RUNNING:G407-E2416@1	ACTION:G407-E2416@1:SH	G407-E2416	shedy	BATH_OBJECT	Badegut	COLD_BATH_OBJECT_DEFAULT	1	0	0	COLD_BATH_OBJECT_DEFAULT	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
44	G407-S321:BSEG01	G407-S321	f77r	f77r:P1	f77r.9–.24	1	RUNNING:G407-E2426@1	ACTION:G407-E2426@1:SH	G407-E2426	shedaiin	BATH_OBJECT	Badegut	COLD_BATH_OBJECT_DEFAULT	1	0	0	COLD_BATH_OBJECT_DEFAULT	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
45	G407-S322:BSEG01	G407-S322	f77r	f77r:P1	f77r.9–.24	1	RUNNING:G407-E2431@1	ACTION:G407-E2431@1:SH	G407-E2431	sheedy	BATH_OBJECT	Badegut	COLD_BATH_OBJECT_DEFAULT	1	0	0	COLD_BATH_OBJECT_DEFAULT	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
