patched_statement_ordinal	statement_id	physical_page	bath_action_count	object_patch_count	patched_event_ids	patched_host_keys	selected_object_sequence_de	gdt590_primary_reader_de	gdt592_primary_reader_de	guard
1	G407-S082	f75r	1	1	G407-E1431	ACTION:G407-E1431@1:SH	Badegut	"Führe zu. Behandle den Stationsansatz. Führe den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken zu. Beschicke oder bereite den Stationsansatz auf Grad II vor. Beschicke oder bereite von der Ausgangsstation oder aus dem Ausgangsbecken vor. Führe den Stationsansatz zu. Behandle den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken. Beginne danach den nächsten Arbeitsgang.

Halte im Bad auf Grad I. Schließe den Arbeitsgang."	"Führe zu. Behandle den Stationsansatz. Führe den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken zu. Beschicke oder bereite den Stationsansatz auf Grad II vor. Beschicke oder bereite von der Ausgangsstation oder aus dem Ausgangsbecken vor. Führe den Stationsansatz zu. Behandle den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken. Beginne danach den nächsten Arbeitsgang.

Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang."	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
2	G407-S085	f75r	4	1	G407-E1445	ACTION:G407-E1445@1:SH	Badegut	Kennzeichne oder prüfe die Becken- oder Körpereinheit. Beschicke oder bereite die Anwendungsportion vor. Entnimm oder lass die Becken- oder Körpereinheit und den Stationsansatz auf Grad I und zur Zielstation oder ins Zielbecken ab. Führe die Anwendungsportion zu. Halte im Bad auf Grad II. Führe den Stationsansatz zu. Reguliere die Anwendungsportion über den Stationskontakt oder die Leitung. Fahre im selben Arbeitsgang fort. Führe die Becken- oder Körpereinheit von der Ausgangsstation oder aus dem Ausgangsbecken zu. Entnimm oder lass im zweiten Durchgang ab. Führe den Stationsansatz zu. Führe in Anwendungsform, an der Stations-Nebenstelle und über den Stationskontakt oder die Leitung zu. Führe den Stationsansatz auf Grad II zu. Halte den Stationsansatz im Bad auf Grad I und über den Stationskontakt oder die Leitung. Führe den Stationsansatz zur Zielstation oder ins Zielbecken zu. Halte den Körper im Bad auf Grad I. Beschicke oder bereite vor. Halte den Körper im Bad auf Grad I. Beschicke oder bereite auf Grad II vor. Schließe den Arbeitsgang.	Kennzeichne oder prüfe die Becken- oder Körpereinheit. Beschicke oder bereite die Anwendungsportion vor. Entnimm oder lass die Becken- oder Körpereinheit und den Stationsansatz auf Grad I und zur Zielstation oder ins Zielbecken ab. Führe die Anwendungsportion zu. Halte das zu badende Gut im Bad auf Grad II. Führe den Stationsansatz zu. Reguliere die Anwendungsportion über den Stationskontakt oder die Leitung. Fahre im selben Arbeitsgang fort. Führe die Becken- oder Körpereinheit von der Ausgangsstation oder aus dem Ausgangsbecken zu. Entnimm oder lass im zweiten Durchgang ab. Führe den Stationsansatz zu. Führe in Anwendungsform, an der Stations-Nebenstelle und über den Stationskontakt oder die Leitung zu. Führe den Stationsansatz auf Grad II zu. Halte den Stationsansatz im Bad auf Grad I und über den Stationskontakt oder die Leitung. Führe den Stationsansatz zur Zielstation oder ins Zielbecken zu. Halte den Körper im Bad auf Grad I. Beschicke oder bereite vor. Halte den Körper im Bad auf Grad I. Beschicke oder bereite auf Grad II vor. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
3	G407-S091	f75r	2	2	G407-E1489|G407-E1492	ACTION:G407-E1489@2:SH|ACTION:G407-E1492@2:SH	Stationsansatz→Stationsansatz	Halte im Bad auf Grad I und an der Stations-Arbeitsstelle. Entnimm oder lass ab. Führe den Stationsansatz zu. Beschicke oder bereite die Anwendungsportion vor. Entnimm oder lass ab. Führe den Stationsansatz zu. Halte im Bad auf Grad I und über den Stationskontakt oder die Leitung. Schließe den Arbeitsgang.	Halte den Stationsansatz im Bad auf Grad I und an der Stations-Arbeitsstelle. Entnimm oder lass ab. Führe den Stationsansatz zu. Beschicke oder bereite die Anwendungsportion vor. Entnimm oder lass ab. Führe den Stationsansatz zu. Halte den Stationsansatz im Bad auf Grad I und über den Stationskontakt oder die Leitung. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
4	G407-S100	f75r	1	1	G407-E1520	ACTION:G407-E1520@1:SH	Badegut	Beschicke oder bereite den Stationsansatz zur Zielstation oder ins Zielbecken vor. Beschicke oder bereite von der Ausgangsstation oder aus dem Ausgangsbecken vor. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Beschicke oder bereite den Stationsansatz zur Zielstation oder ins Zielbecken vor. Beschicke oder bereite von der Ausgangsstation oder aus dem Ausgangsbecken vor. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
5	G407-S101	f75r	4	1	G407-E1523	ACTION:G407-E1523@2:SH	Badegut	"Entnimm oder lass die Becken- oder Körpereinheit an der Stations-Arbeitsstelle ab. Führe an der Stations-Nebenstelle zu. Wähle die Einheit aus. Halte im Bad auf Grad I. Entnimm oder lass ab. Führe den Stationsansatz zu. Beschicke oder bereite den Stationsansatz zur Zielstation oder ins Zielbecken vor. Fahre im selben Arbeitsgang fort. Halte den Körper im Bad auf Grad I. Kennzeichne oder prüfe. Fahre im selben Arbeitsgang fort. Halte den Körper im Bad auf Grad II. Halte den Körper im Bad auf Grad I. Fahre im selben Arbeitsgang fort. Halte den Zustand. Verwende für den vorangehenden Arbeitsschritt auf Grad I. Schließe den Arbeitsgang.

Geschriebene Trägerspur (×N zählt Schriftträger, nicht Realobjekte): ACTION:G407-E1530@1:SH: Y+Y → Körper|Körper (Multiset: Körper ×2)."	"Entnimm oder lass die Becken- oder Körpereinheit an der Stations-Arbeitsstelle ab. Führe an der Stations-Nebenstelle zu. Wähle die Einheit aus. Halte das zu badende Gut im Bad auf Grad I. Entnimm oder lass ab. Führe den Stationsansatz zu. Beschicke oder bereite den Stationsansatz zur Zielstation oder ins Zielbecken vor. Fahre im selben Arbeitsgang fort. Halte den Körper im Bad auf Grad I. Kennzeichne oder prüfe. Fahre im selben Arbeitsgang fort. Halte den Körper im Bad auf Grad II. Halte den Körper im Bad auf Grad I. Fahre im selben Arbeitsgang fort. Halte den Zustand. Verwende für den vorangehenden Arbeitsschritt auf Grad I. Schließe den Arbeitsgang.

Geschriebene Trägerspur (×N zählt Schriftträger, nicht Realobjekte): ACTION:G407-E1530@1:SH: Y+Y → Körper|Körper (Multiset: Körper ×2)."	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
6	G407-S110	f75r	1	1	G407-E1560	ACTION:G407-E1560@1:SH	Badegut	"Beschicke oder bereite die Anwendungsportion vor. Entnimm oder lass ab. Führe den Stationsansatz zu. Beschicke oder bereite die Anwendungsportion und den Stationsansatz zur Zielstation oder ins Zielbecken und von der Ausgangsstation oder aus dem Ausgangsbecken vor. Beginne danach den nächsten Arbeitsgang.

Wähle die Anwendungsportion aus. Beschicke oder bereite die Anwendungsportion vor. Fahre im selben Arbeitsgang fort. Führe den Stationsansatz zu. Verwende für den vorangehenden Arbeitsschritt auf Grad II. Fahre im selben Arbeitsgang fort. Wähle das Stationsmaß aus. Behandle den Stationsansatz und die Stationseinheit. Fahre im selben Arbeitsgang fort. Halte im Bad auf Grad I. Schließe den Arbeitsgang."	"Beschicke oder bereite die Anwendungsportion vor. Entnimm oder lass ab. Führe den Stationsansatz zu. Beschicke oder bereite die Anwendungsportion und den Stationsansatz zur Zielstation oder ins Zielbecken und von der Ausgangsstation oder aus dem Ausgangsbecken vor. Beginne danach den nächsten Arbeitsgang.

Wähle die Anwendungsportion aus. Beschicke oder bereite die Anwendungsportion vor. Fahre im selben Arbeitsgang fort. Führe den Stationsansatz zu. Verwende für den vorangehenden Arbeitsschritt auf Grad II. Fahre im selben Arbeitsgang fort. Wähle das Stationsmaß aus. Behandle den Stationsansatz und die Stationseinheit. Fahre im selben Arbeitsgang fort. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang."	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
7	G407-S112	f75r	1	1	G407-E1563	ACTION:G407-E1563@1:SH	Badegut	Beschicke oder bereite den Stationsansatz vor. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Beschicke oder bereite den Stationsansatz vor. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
8	G407-S113	f75r	1	1	G407-E1565	ACTION:G407-E1565@1:SH	Badegut	Beschicke oder bereite von der Ausgangsstation oder aus dem Ausgangsbecken vor. Halte im Bad auf Grad II. Schließe den Arbeitsgang.	Beschicke oder bereite von der Ausgangsstation oder aus dem Ausgangsbecken vor. Halte das zu badende Gut im Bad auf Grad II. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
9	G407-S114	f75r	1	1	G407-E1569	ACTION:G407-E1569@2:SH	Badegut	Entnimm oder lass über den Stationskontakt oder die Leitung ab. Halte den Zustand. Beschicke oder bereite die Anwendungsportion und den Stationsansatz vor. Beschicke oder bereite vor. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Entnimm oder lass über den Stationskontakt oder die Leitung ab. Halte den Zustand. Beschicke oder bereite die Anwendungsportion und den Stationsansatz vor. Beschicke oder bereite vor. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
10	G407-S115	f75r	4	2	G407-E1573|G407-E1579	ACTION:G407-E1573@1:SH|ACTION:G407-E1579@1:SH	Badegut→Stationsansatz	Beschicke oder bereite die Anwendungsportion vor. Behandle den Stationsansatz. Wende an. Behandle den Ansatz von der Ausgangsstation oder aus dem Ausgangsbecken. Halte im Bad auf Grad I. Wende den Stationsansatz an. Halte den Stationsansatz im Bad auf Grad I, an der Stations-Arbeitsstelle, zur Zielstation oder ins Zielbecken, von der Ausgangsstation oder aus dem Ausgangsbecken und über den Stationskontakt oder die Leitung. Halte den Stationsansatz im Bad zur Zielstation oder ins Zielbecken. Führe zu. Fahre im selben Arbeitsgang fort. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Beschicke oder bereite die Anwendungsportion vor. Behandle den Stationsansatz. Wende an. Behandle den Ansatz von der Ausgangsstation oder aus dem Ausgangsbecken. Halte das zu badende Gut im Bad auf Grad I. Wende den Stationsansatz an. Halte den Stationsansatz im Bad auf Grad I, an der Stations-Arbeitsstelle, zur Zielstation oder ins Zielbecken, von der Ausgangsstation oder aus dem Ausgangsbecken und über den Stationskontakt oder die Leitung. Halte den Stationsansatz im Bad zur Zielstation oder ins Zielbecken. Führe zu. Fahre im selben Arbeitsgang fort. Halte denselben Stationsansatz im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
