source_role	gdt770_allowed_role	admit_for_left_amount_branch	rationale
CONTENT_PREPARATION	PREPARATION	1	A target-independent content/preparation role supplies the required preparation-side edge.
PROCESS_PASS	PROCESS	1	A target-independent pass/process role supplies the required process-side edge.
PROCESS	PROCESS	1	Already expressed in the GDT770 class vocabulary.
FIELD	FIELD	1	Already expressed in the GDT770 class vocabulary.
PATIENT	PATIENT	1	Already expressed in the GDT770 class vocabulary.
SOURCE	SOURCE	1	Already expressed in the GDT770 class vocabulary.
RESULT	RESULT	1	Already expressed in the GDT770 class vocabulary.
ENDPOINT	ENDPOINT	1	Already expressed in the GDT770 class vocabulary.
MATERIAL	MATERIAL	1	Already expressed in the GDT770 class vocabulary.
PREPARATION	PREPARATION	1	Already expressed in the GDT770 class vocabulary.
PRODUCT	PRODUCT	1	Already expressed in the GDT770 class vocabulary.
AMOUNT_VALUE	NONE	0	The left-amount branch does not license a second amount/value as its required right edge.
SCALAR_VALUE	NONE	0	The left-amount branch does not license a second amount/value as its required right edge.
QUALITY_STAGE	NONE	0	A quality or stage role is not silently relabeled as FIELD or ENDPOINT.
CLOSE	NONE	0	A close flag alone is not silently relabeled as ENDPOINT.
KNOWN_OTHER	NONE	0	Reader exactness without a frozen role supplies no semantic edge.
