within_event_carrier_id	global_running_event_id	global_statement_id	card_ordinal_in_statement	physical_page	register	owner_class	owner_de	surface	component_recipe	explicit_action_roots	chch_action_pair_ordinal	left_component_position	right_component_position	between_component_atoms	extra_action_roots	extra_action_count	nonaction_frame_atoms	nonaction_frame_atom_count	explicit_argument_roots	inherited_argument_root	argument_mode	context_compatible	stream_active_argument_before	stream_active_argument_after	stream_state_matches_reference	stream_clause_matches_reference	factorized_action_replay_status	imperative_clause_de	guard
G507-W01	G407-E0059	G407-S003	3	f1r	SOURCE_SECTION_T	TEXTBLOCK	F1R_TEXT_BLOCK_B	chocthy	CH+O+CH+T+Y	CH|CH|T	1	1	3	O	T	1	O+Y	2	Y	NONE	EXPLICIT_ARGUMENTS	NO	Y	Y	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Entnimm den laufenden Eintrag, entnimm den laufenden Eintrag und lege den laufenden Eintrag fest; als Ausführung.	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
G507-W02	G407-E0215	G407-S008	1	f10r	HERBAL	WURZEL_UND_GANZPFLANZE	zweiknolliges blauköpfiges Heilkraut	pchocthy	P+CH+O+CH+T+Y	P|CH|CH|T	2	2	4	O	P+T	2	O+Y	2	Y	NONE	EXPLICIT_ARGUMENTS	NO	NONE	Y	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Setze den Pflanzenposten ein, nimm den Pflanzenposten, nimm den Pflanzenposten und stelle den Pflanzenposten ein; als Ausführung.	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
G507-W03	G407-E0218	G407-S008	4	f10r	HERBAL	WURZEL_UND_GANZPFLANZE	zweiknolliges blauköpfiges Heilkraut	chorchy	CH+OR+CH+Y	CH|CH	1	1	3	OR	NONE	0	OR+Y	2	OR|Y	NONE	EXPLICIT_ARGUMENTS	NO	Y	Y	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Nimm die Arbeitseinheit und den Pflanzenposten und nimm die Arbeitseinheit und den Pflanzenposten.	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
G507-W04	G407-E0237	G407-S008	23	f10r	HERBAL	WURZEL_UND_GANZPFLANZE	zweiknolliges blauköpfiges Heilkraut	chocthy	CH+O+CH+T+Y	CH|CH|T	1	1	3	O	T	1	O+Y	2	Y	NONE	EXPLICIT_ARGUMENTS	NO	AIIN	Y	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Nimm den Pflanzenposten, nimm den Pflanzenposten und stelle den Pflanzenposten ein; als Ausführung.	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
G507-W05	G407-E0246	G407-S008	32	f10r	HERBAL	WURZEL_UND_GANZPFLANZE	zweiknolliges blauköpfiges Heilkraut	chcthy	CH+CH+T+Y	CH|CH|T	1	1	2	NONE	T	1	Y	1	Y	NONE	EXPLICIT_ARGUMENTS	NO	AIIN	Y	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Nimm den Pflanzenposten, nimm den Pflanzenposten und stelle den Pflanzenposten ein.	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
G507-W06	G407-E0561	G407-S027	11	f18r	HERBAL	BLÜTEN_UND_GANZPFLANZE	große abgebildete Blütenpflanze	chcthy	CH+CH+T+Y	CH|CH|T	1	1	2	NONE	T	1	Y	1	Y	NONE	EXPLICIT_ARGUMENTS	NO	Y	Y	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Nimm den Pflanzenposten, nimm den Pflanzenposten und stelle den Pflanzenposten ein.	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
G507-W07	G407-E0606	G407-S030	2	f24v	HERBAL	GANZPFLANZE	F24V_WHOLE_PLANT	chocfhey	CH+O+CH+LOCAL_CHAR_F+E+Y	CH|CH	1	1	3	O	NONE	0	O+LOCAL_CHAR_F+E+Y	4	Y	NONE	EXPLICIT_ARGUMENTS	NO	NONE	Y	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Nimm den Pflanzenposten und nimm den Pflanzenposten; als Ausführung und auf Grad I; an der bezeichneten Stelle.	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
G507-W08	G407-E0609	G407-S030	5	f24v	HERBAL	GANZPFLANZE	F24V_WHOLE_PLANT	chcphy	CH+CH+P+Y	CH|CH|P	1	1	2	NONE	P	1	Y	1	Y	NONE	EXPLICIT_ARGUMENTS	NO	Y	Y	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Nimm den Pflanzenposten, nimm den Pflanzenposten und setze den Pflanzenposten ein.	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
G507-W09	G407-E0630	G407-S031	20	f24v	HERBAL	GANZPFLANZE	F24V_WHOLE_PLANT	chcth	CH+CH+T	CH|CH|T	1	1	2	NONE	T	1	NONE	0	NONE	Y	INHERITED_ARGUMENT	YES	Y	Y	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Nimm den Pflanzenposten [wie zuvor], nimm den Pflanzenposten [wie zuvor] und stelle den Pflanzenposten [wie zuvor] ein.	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
G507-W10	G407-E0650	G407-S032	10	f24v	HERBAL	GANZPFLANZE	F24V_WHOLE_PLANT	chcthy	CH+CH+T+Y	CH|CH|T	1	1	2	NONE	T	1	Y	1	Y	NONE	EXPLICIT_ARGUMENTS	NO	Y	Y	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Nimm den Pflanzenposten, nimm den Pflanzenposten und stelle den Pflanzenposten ein.	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
