adjacent_bridge_id	ordered_action_pair	global_statement_id	physical_page	register	owner_class	owner_de	shared_inherited_argument_root	left_event_id	right_event_id	left_card_ordinal	right_card_ordinal	stream_ordinals_consecutive	left_surface	right_surface	left_component_recipe	right_component_recipe	left_nonaction_frame_atom_count	right_nonaction_frame_atom_count	left_stream_active_argument_before	left_stream_active_argument_after	right_stream_active_argument_before	right_stream_active_argument_after	left_stream_state_matches_reference	right_stream_state_matches_reference	left_factorized_action_replay_status	right_factorized_action_replay_status	left_imperative_clause_de	right_imperative_clause_de	context_bridge_reading_de	target_phrase_changed	guard
G507-A01	CH+SH	G407-S003	f1r	SOURCE_SECTION_T	TEXTBLOCK	F1R_TEXT_BLOCK_B	AIIN	G407-E0067	G407-E0068	11	12	YES	cfhol	shody	CH+LOCAL_CHAR_F+OL	SH+O+DY	2	2	AIIN	AIIN	AIIN	AIIN	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Weiter entnimm den Kennwert [wie zuvor]; an der bezeichneten Stelle.	Halte den Kennwert [wie zuvor] fest; als Ausführung; schließe den Schritt.	Weiter entnimm den Kennwert [wie zuvor]; an der bezeichneten Stelle. Halte den Kennwert [wie zuvor] fest; als Ausführung; schließe den Schritt.	NO	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
G507-A02	CH+SH	G407-S005	f1r	SOURCE_SECTION_T	TEXTBLOCK	F1R_TEXT_BLOCK_C	OR	G407-E0117	G407-E0118	46	47	YES	chal	sho	CH+AL	SH+O	1	1	OR	OR	OR	OR	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Entnimm die Eintragseinheit [wie zuvor]; zur Zielspalte.	Halte die Eintragseinheit [wie zuvor] fest; als Ausführung.	Entnimm die Eintragseinheit [wie zuvor]; zur Zielspalte. Halte die Eintragseinheit [wie zuvor] fest; als Ausführung.	NO	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
G507-A03	CH+SH	G407-S006	f1r	SOURCE_SECTION_T	TEXTBLOCK	F1R_TEXT_BLOCK_D	Y	G407-E0199	G407-E0200	40	41	YES	dcheo	shody	D_ADDR+CH+E+O	SH+O+DY	3	2	Y	Y	Y	Y	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Entnimm den laufenden Eintrag [wie zuvor]; auf Grad I und als Ausführung; an der bezeichneten Stelle.	Halte den laufenden Eintrag [wie zuvor] fest; als Ausführung; schließe den Schritt.	Entnimm den laufenden Eintrag [wie zuvor]; auf Grad I und als Ausführung; an der bezeichneten Stelle. Halte den laufenden Eintrag [wie zuvor] fest; als Ausführung; schließe den Schritt.	NO	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
G507-A04	CH+CH	G407-S012	f13r	HERBAL	WURZEL_UND_GANZPFLANZE	große Wurzelkrone mit Blatt und Blütenstand	Y	G407-E0406	G407-E0407	41	42	YES	otchol	cfholdy	OT+CH+OL	CH+LOCAL_CHAR_F+OL+DY	2	3	Y	Y	Y	Y	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Danach und weiter nimm den Pflanzenposten [wie zuvor].	Weiter nimm den Pflanzenposten [wie zuvor]; an der bezeichneten Stelle; schließe den Schritt.	Danach und weiter nimm den Pflanzenposten [wie zuvor]. Weiter nimm den Pflanzenposten [wie zuvor]; an der bezeichneten Stelle; schließe den Schritt.	NO	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
G507-A05	CH+SH	G407-S032	f24v	HERBAL	GANZPFLANZE	F24V_WHOLE_PLANT	OR	G407-E0681	G407-E0682	41	42	YES	cheeodam	sho	CH+EE+O+D_ADDR+AM_ADDR	SH+O	4	1	OR	OR	OR	OR	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Nimm die Arbeitseinheit [wie zuvor]; auf Grad II und als Ausführung; an der bezeichneten Stelle und an der bezeichneten Stelle.	Halte die Arbeitseinheit [wie zuvor]; als Ausführung.	Nimm die Arbeitseinheit [wie zuvor]; auf Grad II und als Ausführung; an der bezeichneten Stelle und an der bezeichneten Stelle. Halte die Arbeitseinheit [wie zuvor]; als Ausführung.	NO	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
G507-A06	CH+SH	G407-S055	f71v	CELESTIAL	STERNTAFEL_ODER_STERNRING	erste lokale Figuren-/Sternringgruppe	Y	G407-E1076	G407-E1077	18	19	YES	otcheodal	sheealody	OT+CH+E+O+D_ADDR+AL	SH+EE+AL+O+DY	5	4	Y	Y	Y	Y	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Danach nimm den Positionsposten [wie zuvor] auf; zur Zielposition; auf Grad I und als Ausführung; an der bezeichneten Stelle.	Halte den Positionsposten [wie zuvor]; zur Zielposition; auf Grad II und als Ausführung; schließe den Schritt.	Danach nimm den Positionsposten [wie zuvor] auf; zur Zielposition; auf Grad I und als Ausführung; an der bezeichneten Stelle. Halte den Positionsposten [wie zuvor]; zur Zielposition; auf Grad II und als Ausführung; schließe den Schritt.	NO	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
G507-A07	CH+CH	G407-S060	f72r	CELESTIAL	TIERKREISRING	Tierkreis-Ringgruppe A	Y	G407-E1140	G407-E1141	4	5	YES	cheol	olcheor	CH+E+O+L	OL+CH+E+O+DY	3	4	Y	Y	Y	Y	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Nimm den Positionsposten [wie zuvor] auf; über die Ringverbindung; auf Grad I und als Ausführung.	Weiter nimm den Positionsposten [wie zuvor] auf; auf Grad I und als Ausführung; schließe den Schritt.	Nimm den Positionsposten [wie zuvor] auf; über die Ringverbindung; auf Grad I und als Ausführung. Weiter nimm den Positionsposten [wie zuvor] auf; auf Grad I und als Ausführung; schließe den Schritt.	NO	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
G507-A08	CH+SH	G407-S302	f76r	BIOLOGICAL	TEXTBLOCK_MIT_SEITENBESITZER	unbebilderter Textabschnitt D	OR	G407-E2360	G407-E2361	3	4	YES	chal	shed	CH+AL	SH+E+D_ADDR	1	2	OR	OR	OR	OR	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Entnimm die Stationseinheit [wie zuvor]; zur Zielstation.	Halte die Stationseinheit [wie zuvor]; auf Grad I; an der bezeichneten Stelle.	Entnimm die Stationseinheit [wie zuvor]; zur Zielstation. Halte die Stationseinheit [wie zuvor]; auf Grad I; an der bezeichneten Stelle.	NO	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
G507-A09	CH+SH	G407-S357	f77r	BIOLOGICAL	LOKALE_STATIONSGRUPPE	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	Y	G407-E2532	G407-E2533	7	8	YES	lfcheal	shear	L+LOCAL_CHAR_F+CH+E+AL	SH+E+AR	4	2	Y	Y	Y	Y	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Entnimm den Stationsposten [wie zuvor]; über die sichtbare Verbindung und zur Zielstation; auf Grad I; an der bezeichneten Stelle.	Halte den Stationsposten [wie zuvor]; von der Ausgangsstation; auf Grad I.	Entnimm den Stationsposten [wie zuvor]; über die sichtbare Verbindung und zur Zielstation; auf Grad I; an der bezeichneten Stelle. Halte den Stationsposten [wie zuvor]; von der Ausgangsstation; auf Grad I.	NO	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
G507-A10	CH+SH	G407-S566	f83r	BIOLOGICAL	LOKALE_STATIONSGRUPPE	Variantenatlas lokaler Becken und Anwendungen	Y	G407-E3496	G407-E3497	7	8	YES	cheg	shedy	CH+E+LOCAL_CHAR_G	SH+E+DY	2	2	Y	Y	Y	Y	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Entnimm den Stationsposten [wie zuvor]; auf Grad I; mit der lokalen Variante.	Halte den Stationsposten [wie zuvor]; auf Grad I; schließe den Schritt.	Entnimm den Stationsposten [wie zuvor]; auf Grad I; mit der lokalen Variante. Halte den Stationsposten [wie zuvor]; auf Grad I; schließe den Schritt.	NO	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
