component_recipe	compact_reading_de	events	records_used	records	recipe_tier
AIIN	MASS	20	11	H1|H2|H3|H4|H5|B1|B2|B3|B4|B5|B6	UNIVERSAL_11
AIN	PORTION	2	2	B4|B6	SPECIALIST_1_TO_4
AIR+Y+DY	LAUF · DIES · SCHLUSS	1	1	B4	SPECIALIST_1_TO_4
AL	ZIEL	10	6	H5|B1|B2|B3|B4|B5	EXTENDED_5_TO_7
AL+CHD+DY	ZIEL · UMSETZEN · SCHLUSS	1	1	B3	SPECIALIST_1_TO_4
AL+DY	ZIEL · SCHLUSS	1	1	B2	SPECIALIST_1_TO_4
AL+R+OR	ZIEL · KUEHLEN · ANSATZ	1	1	B3	SPECIALIST_1_TO_4
AR	QUELLE	5	5	H1|H2|B1|B2|B3	EXTENDED_5_TO_7
AR+Y	QUELLE · DIES	1	1	B3	SPECIALIST_1_TO_4
CFH+Y	AUSWRINGEN · DIES	1	1	H3	SPECIALIST_1_TO_4
CH+AIR	ABNEHMEN · LAUF	1	1	H1	SPECIALIST_1_TO_4
CH+CKH+AL	ABNEHMEN · DURCHLASS · ZIEL	1	1	B4	SPECIALIST_1_TO_4
CH+E+O+AR	ABNEHMEN · KURZ · GANG · QUELLE	1	1	H4	SPECIALIST_1_TO_4
CH+E+S	ABNEHMEN · KURZ · TEILEN	1	1	B2	SPECIALIST_1_TO_4
CH+E+Y	ABNEHMEN · KURZ · DIES	1	1	H1	SPECIALIST_1_TO_4
CH+EE+CKH+O+DY	ABNEHMEN · LANG · DURCHLASS · GANG · SCHLUSS	1	1	H5	SPECIALIST_1_TO_4
CH+O+AIIN	ABNEHMEN · GANG · MASS	1	1	H2	SPECIALIST_1_TO_4
CHD+AIN	UMSETZEN · PORTION	1	1	B3	SPECIALIST_1_TO_4
CHD+AIR	UMSETZEN · LAUF	1	1	B3	SPECIALIST_1_TO_4
CHD+AL	UMSETZEN · ZIEL	1	1	B5	SPECIALIST_1_TO_4
CHD+DY	UMSETZEN · SCHLUSS	5	3	B1|B2|B3	SPECIALIST_1_TO_4
CHD+Y	UMSETZEN · DIES	12	5	H4|B1|B3|B4|B5	EXTENDED_5_TO_7
CHK+E+Y	WAERMEN · KURZ · DIES	3	2	B1|B4	SPECIALIST_1_TO_4
CHK+EE+DY	WAERMEN · LANG · SCHLUSS	1	1	B3	SPECIALIST_1_TO_4
CHK+EE+Y	WAERMEN · LANG · DIES	3	3	H4|B2|B4	SPECIALIST_1_TO_4
CKH+Y	DURCHLASS · DIES	4	2	B1|B2	SPECIALIST_1_TO_4
