component	compact_value_de	historical_layer	records_used	records	events_with_component	shared_tier	teaching_location
AIIN	MASS	MEASURE_STAGE_SIGN	11	H1|H2|H3|H4|H5|B1|B2|B3|B4|B5|B6	39	UNIVERSAL_11	POCKET_CORE
AIN	PORTION	MEASURE_STAGE_SIGN	7	H4|H5|B1|B2|B3|B4|B6	18	EXTENDED_5_TO_7	COMMON_DESK_TRAY
AIR	LAUF	STATE_OBJECT_SIGN	4	H1|B1|B3|B4	5	SPECIALIST_1_TO_4	RECORD_SPECIALIST_TRAY
AL	ZIEL	RELATION_ADDRESS_SIGN	9	H3|H4|H5|B1|B2|B3|B4|B5|B6	39	COMMON_8_TO_10	POCKET_CORE
AN	NACHGABE	MEASURE_STAGE_SIGN	1	H4	1	SPECIALIST_1_TO_4	RECORD_SPECIALIST_TRAY
AR	QUELLE	RELATION_ADDRESS_SIGN	8	H1|H2|H4|H5|B1|B2|B3|B4	14	COMMON_8_TO_10	POCKET_CORE
CFH	AUSWRINGEN	OPERATION_SIGN	1	H3	1	SPECIALIST_1_TO_4	RECORD_SPECIALIST_TRAY
CH	ABNEHMEN	OPERATION_SIGN	7	H1|H2|H3|H4|H5|B2|B4	16	EXTENDED_5_TO_7	COMMON_DESK_TRAY
CHD	UMSETZEN	OPERATION_SIGN	6	H4|B1|B2|B3|B4|B5	48	EXTENDED_5_TO_7	COMMON_DESK_TRAY
CHK	WAERMEN	OPERATION_SIGN	5	H4|B1|B2|B3|B4	7	EXTENDED_5_TO_7	COMMON_DESK_TRAY
CKH	DURCHLASS	STATE_OBJECT_SIGN	4	H5|B1|B2|B4	14	SPECIALIST_1_TO_4	RECORD_SPECIALIST_TRAY
CTH	BEREIT	STATE_OBJECT_SIGN	5	H1|H2|H3|B2|B3	15	EXTENDED_5_TO_7	COMMON_DESK_TRAY
DA	ZWEIT	MEASURE_STAGE_SIGN	1	B5	1	SPECIALIST_1_TO_4	RECORD_SPECIALIST_TRAY
DY	SCHLUSS	BOUND_ENDPOINT	8	H3|H4|H5|B1|B2|B3|B4|B5	89	COMMON_8_TO_10	POCKET_CORE
