check_id	page	locus	evidence_type	expected_sequence	zl3b_sequence_present	it2a_sequence_present	rf1b_sequence_present	all_three_present	all_present_exact	zl3b_line	it2a_line	rf1b_line	note
G658-S01	f33r	f33r.5	TARGET_CLOSURE	otam	1	1	0	1	0	pair or aiin otaiin ol kor aiin okal otal chdal shekal qokar otam	pair or aiin otaiin ol kor aiin okal otal chdal shekal qakar otam	pair or aiin otaiin ol kor aiin okal otal ch al shekal qokar atam	OTAM closes the line in final AM position
G658-S02	f66v	f66v.5	READER_WARNING	shedefam	1	1	0	1	0	shdy shedefam qokedy chokal dal	shdy shedefam qokedy chokal dal	shd she efam qokedy chokal dal	ZL3b/IT2a keep SHEDEFAM; RF1b splits SHE EFAM
G658-S03	f93r	f93r.6	THREE_TOKEN_BOUNDARY	s cho s	1	1	1	1	0	tar otor s cho s chol sheoees	tor otor s cho s chol sheoees	tor otor s cho s chol sheoees	all readers preserve adjacent S | CHO | S
G658-S04	f93r	f93r.32	ALL_READER_TARGET_CLOSURE	schos	1	1	1	1	1	dol chokal schos	dol chokal schos	dol chokal schos	all readers preserve SCHOS as one exact whole
G658-S05	f115v	f115v.44	RCHOS_MATERIAL_CONTEXT	ral rchos	1	1	1	1	0	ototar sheey qokey qokchey qokchey ral rchos oty lchedy	ototar sheey qokey qokchey qokchey ral rchos oty lchedy	ototar sheey qokey qokchey qokchey ral rchos oty chledy	all readers preserve RAL RCHOS; later line token varies
G658-S06	f56r	f56r.13	ALL_READER_TARGET_CLOSURE	chokcheo	1	1	1	1	1	okchy chokcheo kchal	okchy chokcheo kchal	okchy chokcheo kchal	all readers preserve nested CHOKCHEO whole
G658-S07	f80v	f80v.21	NEW_ONE_HOLE	y	1	0	1	1	0	tar kain okal y rchey qokal olor aiin okal otam	tor kain okal yrchey qokal olor aiin okal otam	t r kain okal y rchey qokal oloraiin okal otam	OTAM leaves only the naked Y whole open
G658-S08	f107r	f107r.41	TARGET_CLOSURE	otam	1	1	1	1	0	qokaiin ar ockhey qokal otal otam	qokain ar ockhey qokal otal otam	qokaiin ar ockhey qokal otal otam	OTAM closes an already ranked V34 one-hole line
G658-S09	f41r	f41r.6	SHEDE_PREFIX_SISTER	shedey	1	1	1	1	0	shedey polchedy qokeey chekedy ytey chkeeod ypchedpy shepy shedy	shedey polchedy qokeey chekedy ytey chkchod ypchedpy shepy shedy	shedey polche y qokeey cheke y ytey chkchod ypchedpy shepy shedy	SHEDEY is exact in all readers
G658-S10	f104v	f104v.29	NESTED_KCHEO_SISTER	cheokcheo	1	1	1	1	0	kche shodaiin qokeey cheokcheo lol kaiin qotchdy lcheo l chedy l cheed chaim	kche shodaiin qokeey cheokcheo lol kaiin qotchdy lcheo lchedy lcheed chaim	kche shodaiin qokeey cheokcheo lol kaiin qotchdy lcheo l chedy l cheed chaim	CHEOKCHEO is exact in all readers
