page	locus	target_surfaces	target_positions	zl3b_line	v34_tokenwise_de	v35_tokenwise_de	practical_v35_de	complete_v35
f103r	f103r.40	otam	1	qokeey sheeol shckhy sheol shodyol aiin otedy qoteey lotar otam	heiß am Ende des Grades | [sheeol:?] | Arzneikompositum: feucht, Gradanfang | feuchtes Material | [shodyol:?] | Menge III | kalter Ansatz in der Mitte des Grades, abgeschlossen | kalt am Ende des Grades | [lotar:?] | [otam:?]	heiß am Ende des Grades | [sheeol:?] | Arzneikompositum: feucht, Gradanfang | feuchtes Material | [shodyol:?] | Menge III | kalter Ansatz in der Mitte des Grades, abgeschlossen | kalt am Ende des Grades | [lotar:?] | ein Maß kalten Ansatzes	heiß am Ende des Grades; [sheeol:?]; Arzneikompositum: feucht, Gradanfang; feuchtes Material; [shodyol:?]; Menge III; kalter Ansatz in der Mitte des Grades, abgeschlossen; kalt am Ende des Grades; [lotar:?]; ein Maß kalten Ansatzes.	False
f103v	f103v.14	otam	1	teeol sheol sho qokeedy shedy qokey oshedy oteedy qokain otar aiin otam	[teeol:?] | feuchtes Material | feuchter Ansatz | heiß am Ende des Grades, abgeschlossen | feucht in der Mitte des Grades, abgeschlossen | heiß in der Mitte des Grades | [oshedy:?] | kalter Ansatz am Ende des Grades, abgeschlossen | heiß, Grad II | kalte Drogenfraktion I im Ansatz | Menge III | [otam:?]	[teeol:?] | feuchtes Material | feuchter Ansatz | heiß am Ende des Grades, abgeschlossen | feucht in der Mitte des Grades, abgeschlossen | heiß in der Mitte des Grades | [oshedy:?] | kalter Ansatz am Ende des Grades, abgeschlossen | heiß, Grad II | kalte Drogenfraktion I im Ansatz | Menge III | ein Maß kalten Ansatzes	[teeol:?]; feuchtes Material; feuchter Ansatz; heiß am Ende des Grades, abgeschlossen; feucht in der Mitte des Grades, abgeschlossen; heiß in der Mitte des Grades; [oshedy:?]; kalter Ansatz am Ende des Grades, abgeschlossen; heiß, Grad II; kalte Drogenfraktion I im Ansatz; Menge III; ein Maß kalten Ansatzes.	False
f103v	f103v.21	otam	1	tokain shal qokeed oteedy sheoky shay tar teor otam oll	[tokain:?] | Rohstoffklasse I, feucht am Gradanfang | [qokeed:?] | kalter Ansatz am Ende des Grades, abgeschlossen | feucht angesetzte heiße Zubereitung am Gradanfang | [shay:?] | kalte Drogenfraktion I | [teor:?] | [otam:?] | [oll:?]	[tokain:?] | Rohstoffklasse I, feucht am Gradanfang | [qokeed:?] | kalter Ansatz am Ende des Grades, abgeschlossen | feucht angesetzte heiße Zubereitung am Gradanfang | [shay:?] | kalte Drogenfraktion I | [teor:?] | ein Maß kalten Ansatzes | [oll:?]	[tokain:?]; Rohstoffklasse I, feucht am Gradanfang; [qokeed:?]; kalter Ansatz am Ende des Grades, abgeschlossen; feucht angesetzte heiße Zubereitung am Gradanfang; [shay:?]; kalte Drogenfraktion I; [teor:?]; ein Maß kalten Ansatzes; [oll:?]	False
f104v	f104v.20	otam	1	or sheeo lcheedy qokeey qochey qotcheedy qotchedy qokol chor chorol chdar otam	Drogenportion | [sheeo:?] | [lcheedy:?] | heiß am Ende des Grades | [qochey:?] | kalt und trocken am Ende des Grades, abgeschlossen | kalt und trocken in der Mitte des Grades, abgeschlossen | [qokol:?] | Pflanzen-/Reproduktionsteil | [chorol:?] | [chdar:?] | [otam:?]	Drogenportion | [sheeo:?] | [lcheedy:?] | heiß am Ende des Grades | [qochey:?] | kalt und trocken am Ende des Grades, abgeschlossen | kalt und trocken in der Mitte des Grades, abgeschlossen | [qokol:?] | Pflanzen-/Reproduktionsteil | [chorol:?] | [chdar:?] | ein Maß kalten Ansatzes	Drogenportion; [sheeo:?]; [lcheedy:?]; heiß am Ende des Grades; [qochey:?]; kalt und trocken am Ende des Grades, abgeschlossen; kalt und trocken in der Mitte des Grades, abgeschlossen; [qokol:?]; Pflanzen-/Reproduktionsteil; [chorol:?]; [chdar:?]; ein Maß kalten Ansatzes.	False
f105r	f105r.36	otam	1	dyteey otedaiin otar ol chedy ted qotar oteodar otam ytedy otaiin	[dyteey:?] | [otedaiin:?] | kalte Drogenfraktion I im Ansatz | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | trocken in der Mitte des Grades, abgeschlossen | [ted:?] | kalte Drogenfraktion I | [oteodar:?] | [otam:?] | [ytedy:?] | kalt im Zubereitungsrahmen, Grad III	[dyteey:?] | [otedaiin:?] | kalte Drogenfraktion I im Ansatz | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | trocken in der Mitte des Grades, abgeschlossen | [ted:?] | kalte Drogenfraktion I | [oteodar:?] | ein Maß kalten Ansatzes | [ytedy:?] | kalt im Zubereitungsrahmen, Grad III	[dyteey:?]; [otedaiin:?]; kalte Drogenfraktion I im Ansatz; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; trocken in der Mitte des Grades, abgeschlossen; [ted:?]; kalte Drogenfraktion I; [oteodar:?]; ein Maß kalten Ansatzes; [ytedy:?]; kalt im Zubereitungsrahmen, Grad III	False
f106v	f106v.12	otam	1	ycheey qoeeda chodain otalchdy qokaiin chokaiin chody qokal otal otam	[ycheey:?] | [qoeeda:?] | [chodain:?] | [otalchdy:?] | heiß, Grad III | [chokaiin:?] | [chody:?] | Rohstoffklasse I, heiß am Gradanfang | Rohstoffklasse I im Ansatz, kalt am Gradanfang | [otam:?]	[ycheey:?] | [qoeeda:?] | [chodain:?] | [otalchdy:?] | heiß, Grad III | [chokaiin:?] | [chody:?] | Rohstoffklasse I, heiß am Gradanfang | Rohstoffklasse I im Ansatz, kalt am Gradanfang | ein Maß kalten Ansatzes	[ycheey:?]; [qoeeda:?]; [chodain:?]; [otalchdy:?]; heiß, Grad III; [chokaiin:?]; [chody:?]; Rohstoffklasse I, heiß am Gradanfang; Rohstoffklasse I im Ansatz, kalt am Gradanfang; ein Maß kalten Ansatzes.	False
f107r	f107r.41	otam	1	qokaiin ar ockhey qokal otal otam	heiß, Grad III | Drogenfraktion I | Ansatz eines Arzneikompositums in der Gradmitte | Rohstoffklasse I, heiß am Gradanfang | Rohstoffklasse I im Ansatz, kalt am Gradanfang | [otam:?]	heiß, Grad III | Drogenfraktion I | Ansatz eines Arzneikompositums in der Gradmitte | Rohstoffklasse I, heiß am Gradanfang | Rohstoffklasse I im Ansatz, kalt am Gradanfang | ein Maß kalten Ansatzes	heiß, Grad III; Drogenfraktion I; Ansatz eines Arzneikompositums in der Gradmitte; Rohstoffklasse I, heiß am Gradanfang; Rohstoffklasse I im Ansatz, kalt am Gradanfang; ein Maß kalten Ansatzes.	True
f107v	f107v.12	otam	1	qokeey lcheol chol kaiin olkal shedy qokaly odar choty qokaiin otam	heiß am Ende des Grades | [lcheol:?] | trocken; nominal trockenes Gut/Material | heiß, Grad III | [olkal:?] | feucht in der Mitte des Grades, abgeschlossen | [qokaly:?] | [odar:?] | [choty:?] | heiß, Grad III | [otam:?]	heiß am Ende des Grades | [lcheol:?] | trocken; nominal trockenes Gut/Material | heiß, Grad III | [olkal:?] | feucht in der Mitte des Grades, abgeschlossen | [qokaly:?] | [odar:?] | [choty:?] | heiß, Grad III | ein Maß kalten Ansatzes	heiß am Ende des Grades; [lcheol:?]; trocken; nominal trockenes Gut/Material; heiß, Grad III; [olkal:?]; feucht in der Mitte des Grades, abgeschlossen; [qokaly:?]; [odar:?]; [choty:?]; heiß, Grad III; ein Maß kalten Ansatzes.	False
f108r	f108r.44	otam	1	ychey chey okar charam otam cheody	[ychey:?] | trocken in der Mitte des Grades | heiße Drogenfraktion I im Ansatz | [charam:?] | [otam:?] | getrockneter Ansatz	[ychey:?] | trocken in der Mitte des Grades | heiße Drogenfraktion I im Ansatz | [charam:?] | ein Maß kalten Ansatzes | getrockneter Ansatz	[ychey:?]; trocken in der Mitte des Grades; heiße Drogenfraktion I im Ansatz; [charam:?]; ein Maß kalten Ansatzes; getrockneter Ansatz	False
f108v	f108v.38	otam	1	dsheol qokeedy qokeedy chey qokeedy qokedy sheckhy lkedy qoteedy otam	[dsheol:?] | heiß am Ende des Grades, abgeschlossen | heiß am Ende des Grades, abgeschlossen | trocken in der Mitte des Grades | heiß am Ende des Grades, abgeschlossen | heiß in der Mitte des Grades, abgeschlossen | feuchtes Arzneikompositum am Gradanfang | [lkedy:?] | kalt am Ende des Grades, abgeschlossen | [otam:?]	[dsheol:?] | heiß am Ende des Grades, abgeschlossen | heiß am Ende des Grades, abgeschlossen | trocken in der Mitte des Grades | heiß am Ende des Grades, abgeschlossen | heiß in der Mitte des Grades, abgeschlossen | feuchtes Arzneikompositum am Gradanfang | [lkedy:?] | kalt am Ende des Grades, abgeschlossen | ein Maß kalten Ansatzes	[dsheol:?]; heiß am Ende des Grades, abgeschlossen; heiß am Ende des Grades, abgeschlossen; trocken in der Mitte des Grades; heiß am Ende des Grades, abgeschlossen; heiß in der Mitte des Grades, abgeschlossen; feuchtes Arzneikompositum am Gradanfang; [lkedy:?]; kalt am Ende des Grades, abgeschlossen; ein Maß kalten Ansatzes.	False
